Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Malta,World,Consumer goods,Export,Export(US$ Mil),           1572.96,           1308.16,           2362.72,           2216.75,           2419.09,           2508.20,           2406.15,           3199.54,           3271.74,           3551.79,           3212.33,           1804.06,            762.74,            945.84,            964.41,            787.00,            717.82,            740.32,            778.18,            709.10,            436.35,            588.25,            583.92,            482.64,            503.50,            546.34,            521.28,            479.27,,,,,,
Malta,World,Minerals,Export,Export(US$ Mil),              0.15,              0.18,              0.14,              0.21,              0.39,              0.57,              0.19,              0.20,              0.13,              0.11,              0.03,              0.23,              0.21,              0.17,              0.05,              0.01,              0.10,              0.01,              0.04,              0.13,              0.03,              0.10,              0.21,              0.02,              0.04,              0.02,              0.00,              0.06,,,,,,
Malta,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            390.23,            544.12,            527.47,            507.77,            412.50,            421.79,            424.65,            424.78,            414.82,            432.30,            390.90,            372.40,            392.30,            401.36,            331.62,            347.30,            489.09,            268.19,            227.94,            238.76,            278.19,            283.94,            278.96,            254.49,            262.84,            357.85,            429.02,,,,,,
Malta,World,Raw materials,Export,Export(US$ Mil),            232.71,            232.29,            221.43,            196.82,            232.20,            199.76,            171.94,            160.05,            180.90,            153.81,            115.08,            118.35,             34.97,            180.88,            172.76,            106.52,             83.76,             72.37,             46.45,             49.93,             20.72,             16.24,             14.91,             14.28,             18.22,             14.81,             16.22,             15.43,,,,,,
Malta,World,Capital goods,Export,Export(US$ Mil),            958.06,           1013.83,           1010.26,           1077.75,           1045.94,            970.73,            998.44,           1261.99,           1422.65,           1594.03,           1646.87,           1539.97,           1314.32,           1722.88,           1865.37,           1817.08,           1478.48,           1679.85,           1526.33,           1271.32,           1219.29,           1740.78,           1275.98,           1211.15,            977.37,           1072.02,           1262.61,            976.96,,,,,,
Malta,World,Plastic or Rubber,Export,Export(US$ Mil),            166.03,            153.16,            161.65,            154.74,            143.45,            120.26,            120.40,            122.00,            130.55,            123.20,            132.28,            111.61,             85.35,            133.84,            126.50,            107.20,             99.30,             98.76,             85.14,             76.67,             70.19,             77.83,             78.44,             68.29,             61.46,             57.73,             54.32,             45.07,,,,,,
Malta,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            502.44,            480.65,           1516.97,            594.00,            464.93,            384.19,            464.87,            507.54,            407.71,            472.72,            501.15,            474.33,            484.59,            666.63,            688.55,            433.45,            416.54,            458.08,            314.91,            295.34,            273.27,,            309.07,            330.23,            376.94,            398.86,            457.67,            373.74,,,,,,
Malta,World,Vegetable,Export,Export(US$ Mil),              5.89,              5.60,              4.56,              5.25,             21.39,             11.92,             24.63,              9.77,             24.52,             25.69,             11.89,              9.08,              3.40,             27.03,             13.80,              4.11,             11.47,              4.69,              3.43,              3.61,              3.80,              4.05,              4.83,              4.53,              7.27,              5.16,              5.54,              3.48,,,,,,
Malta,World,Footwear,Export,Export(US$ Mil),              4.74,              4.03,             36.45,             24.00,             26.74,              7.12,              8.02,             10.65,              6.13,              7.45,              4.85,              4.50,              2.93,              4.65,              5.18,              5.19,             13.19,             17.89,             22.83,             27.17,             30.76,             28.86,             32.14,             31.55,             28.82,             35.30,             33.53,             26.44,,,,,,
Malta,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            460.45,,,,,            643.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta,World,Miscellaneous,Export,Export(US$ Mil),            292.15,            297.64,            317.35,            332.87,            280.32,            284.25,            236.43,            280.79,            280.95,            270.40,            275.63,            215.84,            194.37,            210.40,            228.53,            232.03,            206.43,            201.76,            158.42,            136.26,            103.35,            123.79,            131.55,            120.50,            126.73,            130.08,            137.03,             97.67,,,,,,
Malta,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            151.65,,,,,            190.36,,,            436.95,            395.79,,            147.65,,,,,,,,,,,,,,,,,,,,,
Malta,...,...,Import,No. Of Import products,           3963.00,           3780.00,           3824.00,           3779.00,           3709.00,           3724.00,           3750.00,           3713.00,           3716.00,           3731.00,           3788.00,           3843.00,           3783.00,           3771.00,           3812.00,           3987.00,           4026.00,           4097.00,           4109.00,           4093.00,           4119.00,           4095.00,           4155.00,           4160.00,           4180.00,           4288.00,           4328.00,           4270.00,,,,,,
Malta,...,...,Export,No. Of Export products,           1847.00,           1789.00,           1830.00,           1778.00,           1736.00,           1700.00,           1615.00,           1541.00,           1502.00,           1582.00,           1457.00,           1431.00,           1450.00,           1489.00,           1438.00,           1507.00,           1486.00,           1492.00,           1542.00,           1625.00,            662.00,           1621.00,           1745.00,           1654.00,           1852.00,           1881.00,           1791.00,           1623.00,,,,,,
Malta,...,...,Export,No. Of Export partners,            161.00,            165.00,            179.00,            174.00,            173.00,            176.00,            169.00,            166.00,            168.00,            179.00,            161.00,            153.00,            148.00,            153.00,            146.00,            155.00,            153.00,            151.00,            141.00,            137.00,            112.00,            137.00,            112.00,            129.00,            128.00,            135.00,            100.00,            104.00,,,,,,
Malta,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            422.17,            487.85,            553.88,            496.84,            453.59,            430.88,            370.78,            408.22,            462.63,            459.07,            451.29,            372.95,            304.22,            389.41,            421.47,            357.11,            293.13,            284.44,            253.04,            216.29,            241.61,            234.38,            248.69,            230.95,            220.32,            250.76,            287.04,            220.78,,,,,,
Malta,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            472.65,            388.27,            488.62,            348.86,            333.86,,,,            375.20,            471.23,            520.70,            448.30,            299.28,            412.04,            580.61,            511.56,            361.20,            706.68,            581.30,            474.56,            409.08,            642.19,            542.80,            474.91,            422.66,            443.34,            245.56,            205.11,,,,,,
Malta,World,Intermediate goods,Export,Export(US$ Mil),            285.67,            270.03,            509.28,            340.56,            344.38,            328.92,            307.32,            312.64,            296.34,            317.03,            277.93,            227.71,            142.41,            154.02,            133.29,            117.26,            129.96,            123.01,            112.28,             93.46,             80.39,             95.19,            102.06,             91.78,             94.62,            114.68,            112.50,             85.52,,,,,,
Malta,World,Textiles and Clothing,Export,Export(US$ Mil),             63.00,             58.49,             65.57,             63.40,             55.82,             43.31,             49.11,             60.49,             76.59,             91.01,             96.56,             84.93,             77.00,            103.80,            121.42,            129.71,            174.84,            181.84,            209.13,            191.38,            158.85,            164.13,            189.01,            173.43,            182.71,            182.72,            180.56,            156.10,,,,,,
Malta,World,Food Products,Export,Export(US$ Mil),            104.83,            109.21,            137.62,            131.85,            126.95,            124.98,            147.52,            165.29,            150.73,            135.64,            106.70,             93.72,             84.99,             81.30,             73.49,             78.94,             73.72,             83.31,             95.06,             85.91,             41.87,             53.20,             49.98,             46.57,             54.24,             44.96,             30.97,             25.90,,,,,,
Malta,World,Consumer goods,Import,Import(US$ Mil),           3807.38,           3123.38,           5187.83,           4491.88,           4207.93,           3970.17,           4184.02,           5749.73,           5011.77,           5404.24,           4626.88,           3060.30,           1920.74,           2496.08,           2153.12,           1679.48,           1608.97,           1534.33,           1271.17,           1072.02,           1003.31,           1024.17,            956.83,            765.05,            779.12,            965.36,            934.15,            698.77,,,,,,
Malta,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            296.29,,            269.35,,,,,,            501.69,            270.20,,,,,,,,,,,
Malta,World,Transportation,Export,Export(US$ Mil),            134.80,            188.98,            207.58,            131.12,            146.06,            186.35,            167.37,            150.88,            133.09,            247.83,            202.30,             81.56,             48.15,             64.38,            123.15,            142.20,             88.03,             76.20,             55.04,             50.19,              3.03,             23.08,             38.13,             60.37,             39.89,             23.60,             71.49,             31.21,,,,,,
