Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Myanmar,World,Consumer goods,Export,Export(US$ Mil),           9027.70,           9814.86,          11079.89,           9510.50,           7710.07,           6588.40,           6320.37,           5820.04,           5160.20,           3398.49,           3847.01,           3525.84,,,,,,,,,,,,,,,,,,             80.89,,,,
Myanmar,World,Minerals,Export,Export(US$ Mil),             22.65,             64.81,             73.46,             30.17,             28.08,             26.23,             23.59,             54.62,             45.19,             29.86,             16.46,              7.00,,,,,,,,,,,,,,,,,,              3.21,,,,
Myanmar,World,Raw materials,Export,Export(US$ Mil),           2854.20,           3291.41,           3249.39,           2972.57,           2714.01,           1917.37,           1966.89,           2414.28,           3185.87,           3456.90,           1799.70,           1061.97,,,,,,,,,,,,,,,,,,            319.68,,,,
Myanmar,World,Capital goods,Export,Export(US$ Mil),            449.27,            833.44,            540.54,            667.87,            738.33,            489.77,             18.26,             20.60,             33.20,             21.66,              6.98,              4.30,,,,,,,,,,,,,,,,,,              4.23,,,,
Myanmar,World,Plastic or Rubber,Export,Export(US$ Mil),            509.85,            379.66,            327.64,            289.56,            280.80,            179.07,            136.02,            137.79,            268.12,            192.55,            320.07,            134.51,,,,,,,,,,,,,,,,,,             11.50,,,,
Myanmar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1055.10,           1254.70,           1534.61,           1647.90,           1589.39,            885.65,            400.52,,,,,,,,,,            389.76,,,,,,,,,            246.93,,,,
Myanmar,World,Vegetable,Export,Export(US$ Mil),           3902.23,           3688.77,           3137.53,           2658.20,           2879.77,           2681.20,           2754.40,           2450.67,           2650.50,           2316.37,           1839.41,           1113.43,,,,,,,,,,,,,,,,,,            194.69,,,,
Myanmar,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2068.13,           1926.66,           2195.89,           2600.31,           2166.68,           1985.91,           1958.06,           1586.85,           1031.31,            769.48,            760.82,            467.80,,,,,,,,,,,,,,,,,,,,,,
Myanmar,World,Footwear,Export,Export(US$ Mil),            570.59,            520.79,            517.42,            411.00,            261.47,            148.53,             81.54,             75.26,             81.95,             67.77,             56.53,             53.99,,,,,,,,,,,,,,,,,,              0.09,,,,
Myanmar,World,Miscellaneous,Export,Export(US$ Mil),            124.15,            138.91,            162.98,            198.45,            234.55,            213.60,            630.03,            729.96,            912.97,             53.83,             44.93,           1542.76,,,,,,,,,,,,,,,,,,              2.27,,,,
Myanmar,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            567.36,,,,,,,            552.76,           1591.88,,,,,,,,,,,,,,,,,,             56.10,,,,
Myanmar,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3492.85,           3008.44,           3256.79,           3057.14,           2698.66,           2241.50,           3346.49,           3746.02,           4598.12,           2394.64,           3216.93,           3179.64,,,,,,,,,,,,,,,,,,,,,,
Myanmar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4470.85,           5375.50,           5753.62,           5573.04,           5398.07,           4766.68,           4511.61,           4016.64,           3053.06,           1382.90,           1515.28,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,...,...,Import,No. Of Import products,           3539.00,           3687.00,           3818.00,           3876.00,           3850.00,           3607.00,           3516.00,           3519.00,           3493.00,           3272.00,           3137.00,           2718.00,,,,,,,,,           3296.00,,,,,,,,,           2614.00,,,,
Myanmar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            858.00,,,            574.14,            708.12,           1038.11,            958.23,            835.58,            811.53,           2763.50,            929.21,            958.17,,,,,,,,,,,,,,,,,,            100.63,,,,
Myanmar,...,...,Export,No. Of Export products,           1456.00,           1454.00,           1617.00,           1708.00,           1465.00,           1045.00,            727.00,            702.00,            738.00,            583.00,            432.00,            198.00,,,,,,,,,,,,,,,,,,            144.00,,,,
Myanmar,...,...,Export,No. Of Export partners,            124.00,            145.00,            149.00,            137.00,            136.00,            167.00,            128.00,            119.00,             99.00,             94.00,             79.00,             78.00,,,,,,,,,,,,,,,,,,             52.00,,,,
Myanmar,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            641.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,           1405.31,,            541.21,            252.56,,,,,,,,,            361.28,,,,,,,,,             28.22,,,,
Myanmar,World,Intermediate goods,Export,Export(US$ Mil),           2811.42,           2987.47,           3233.77,           3495.30,           2517.71,           2535.82,           2515.37,           2480.34,           2169.48,           2158.47,           2453.80,           2729.57,,,,,,,,,,,,,,,,,,             44.59,,,,
