Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mongolia,World,Consumer goods,Export,Export(US$ Mil),            103.96,            125.04,            145.45,            156.71,             87.29,             84.47,             56.76,             53.57,             55.63,,,,,,             38.22,            104.43,            116.59,            149.14,            123.23,,            109.31,            108.62,             59.62,             39.83,             40.43,             34.64,,,,,,,,
Mongolia,World,Minerals,Export,Export(US$ Mil),           4453.96,           2974.55,           2892.36,           2859.95,           2284.77,           2167.36,           2728.47,           3295.38,           1845.46,,,,,,           1131.18,            823.17,            414.05,            328.11,            200.70,,            173.54,            186.07,            145.39,            155.43,            251.08,            242.65,,,,,,,,
Mongolia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            222.74,,,,,,            124.43,,,,,,,,             70.71,,,,             38.03,,             31.11,             29.73,,,,             33.33,,,,,,,,
Mongolia,World,Raw materials,Export,Export(US$ Mil),           7917.19,           5532.72,           6775.02,           6484.71,           5311.14,           3799.45,           3969.23,           5074.76,           3723.46,,,,,,           1413.53,           1004.95,            500.37,            392.76,            262.07,,            229.88,            282.13,            226.33,            214.98,            336.77,            315.77,,,,,,,,
Mongolia,World,Capital goods,Export,Export(US$ Mil),             45.73,             36.41,            109.10,             50.55,             27.95,            135.95,             70.28,             94.82,             62.42,,,,,,             17.16,             15.12,              8.18,              2.56,              6.84,,              3.18,              2.44,              8.57,              7.47,              8.27,              3.18,,,,,,,,
Mongolia,World,Plastic or Rubber,Export,Export(US$ Mil),              1.18,              0.63,              1.28,              1.60,              2.98,              7.62,              2.43,              2.17,              2.90,,,,,,              1.39,              1.88,              1.36,              1.04,              0.33,,              0.19,              1.50,              0.14,              0.24,              0.10,              0.85,,,,,,,,
Mongolia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            453.16,            406.71,            585.48,            561.04,            363.15,            330.61,            274.64,            367.46,            444.20,,,,,,            107.39,             97.63,             75.50,             74.96,             63.42,,             55.80,             73.32,            114.37,             59.20,             34.65,             52.81,,,,,,,,
Mongolia,World,Vegetable,Export,Export(US$ Mil),             90.29,             11.65,             13.12,             22.55,             68.04,             55.81,             37.90,             22.33,              9.16,,,,,,              3.06,              9.04,              1.06,              6.12,              1.20,,              1.11,              0.28,              0.07,              0.40,              0.38,              2.10,,,,,,,,
Mongolia,World,Footwear,Export,Export(US$ Mil),              2.26,              1.87,              2.54,              2.32,              2.49,              2.03,              1.43,              1.36,              1.38,,,,,,              0.19,              0.52,              0.28,              0.87,              0.06,,              0.04,              0.06,              0.16,              0.14,              0.08,              0.05,,,,,,,,
Mongolia,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             26.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,World,Miscellaneous,Export,Export(US$ Mil),              3.67,              3.12,              3.67,              6.12,              3.56,              3.80,              4.47,              6.26,              3.97,,,,,,              2.17,              2.75,              1.47,              0.64,              1.64,,              0.37,              0.81,              1.31,              0.51,              0.53,              0.17,,,,,,,,
Mongolia,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,              6.08,,,,,,,,
Mongolia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7633.17,           5489.99,           6772.66,           6505.53,           5268.94,           3883.13,           3897.42,           5070.11,           3700.27,,,,,,           1399.80,           1046.08,            512.38,            407.20,            284.24,,            231.54,            267.00,            204.45,            194.90,            234.34,             75.99,,,,,,,,
Mongolia,...,...,Import,No. Of Import products,           3434.00,           3379.00,           3502.00,           3470.00,           3435.00,           3427.00,           3416.00,           3272.00,           3473.00,,,,,,           3224.00,           3210.00,           3166.00,           3066.00,           3121.00,,           3239.00,           3080.00,           2935.00,           2846.00,           2688.00,           2366.00,,,,,,,,
Mongolia,...,...,Export,No. Of Export products,            899.00,           1025.00,           1178.00,           1153.00,           1159.00,           1160.00,           1057.00,           1153.00,            981.00,,,,,,            941.00,           1255.00,            873.00,            823.00,            702.00,,            665.00,            627.00,            681.00,            504.00,            642.00,            457.00,,,,,,,,
Mongolia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            869.74,           1681.59,             74.99,,,,            109.17,             28.07,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,...,...,Export,No. Of Export partners,             64.00,             74.00,             78.00,             76.00,             69.00,             74.00,             69.00,             68.00,             60.00,,,,,,             71.00,             70.00,             68.00,             66.00,             63.00,,             49.00,             46.00,             40.00,             49.00,             44.00,             26.00,,,,,,,,
Mongolia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             43.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            308.74,            235.77,            266.97,            262.37,            197.70,            197.89,            258.70,            350.60,            507.36,,,,,,            118.26,             82.51,             63.72,             61.19,             67.65,,             58.35,             55.57,             35.36,             37.59,,,,,,,,,,
Mongolia,World,Intermediate goods,Export,Export(US$ Mil),           1174.25,           1882.14,            590.18,            319.78,            774.21,            896.46,            572.99,            551.18,            427.54,,,,,,            417.64,            417.81,            439.25,            311.54,            223.72,,            180.74,            142.41,             63.68,             82.79,             65.97,             70.67,,,,,,,,
Mongolia,World,Textiles and Clothing,Export,Export(US$ Mil),            370.66,            279.48,            434.67,            409.80,            335.47,            300.22,            302.65,            338.75,            283.00,,,,,,            217.81,            246.68,            191.43,            197.00,            165.02,,            170.94,            192.28,            127.38,             77.87,             96.57,            103.50,,,,,,,,
