Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mozambique,World,Consumer goods,Export,Export(US$ Mil),            493.59,            377.97,            492.11,            477.86,            488.21,            378.54,            373.99,            740.66,            626.70,            339.84,            324.89,            210.69,            165.22,             98.41,            188.30,            217.73,            178.90,            107.44,             70.33,             23.86,             30.72,             13.74,,,,,,,,,,,,
Mozambique,World,Minerals,Export,Export(US$ Mil),            523.05,            284.94,            356.03,            296.00,            227.60,            199.23,            159.87,            192.56,            162.70,            239.76,            185.73,             22.15,             65.34,             43.46,             11.87,              3.16,              3.43,              3.06,              2.84,              2.05,              2.02,              1.53,,,              2.46,              2.80,              1.97,              1.88,,,,,,
Mozambique,World,Raw materials,Export,Export(US$ Mil),           2070.85,           1317.32,           1959.12,           1423.66,            812.08,            617.44,            626.42,            788.65,            698.50,            675.23,            776.00,            364.33,            468.54,            488.78,            258.17,            382.88,            254.80,            244.98,            180.12,            200.59,            139.78,            154.89,,,,,,,,,,,,
Mozambique,World,Capital goods,Export,Export(US$ Mil),             52.71,             28.91,             40.89,             72.17,             71.28,            143.22,             95.55,            116.43,            428.49,            252.64,            209.35,             40.50,            178.40,            104.48,             85.24,             73.37,             63.75,             46.32,             42.75,             34.25,             15.05,             13.38,,,,,,,,,,,,
Mozambique,World,Plastic or Rubber,Export,Export(US$ Mil),              3.54,              2.24,              2.16,              4.16,              1.52,              0.95,              2.57,              3.56,              9.08,              1.27,              4.19,              1.01,              2.92,              2.59,              4.58,              1.56,              6.27,              2.14,             14.43,              2.72,              5.24,              0.59,,,              1.03,              2.35,              3.15,              3.02,,,,,,
Mozambique,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            373.37,,,,,,,,,,,,,,,,,,             36.15,,,,,,
Mozambique,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             89.22,,             53.21,,,             33.89,,             36.79,             45.67,,,,,,
Mozambique,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2252.48,           1884.53,           2131.17,           1772.62,           1648.12,           1587.40,           2380.23,           2891.89,           3298.89,           1940.50,           2121.38,           1226.80,           1333.78,           1164.86,            970.80,            947.94,            980.80,            666.86,            587.72,            448.81,            380.67,            451.00,,,            271.50,            270.32,            213.17,            163.49,,,,,,
Mozambique,World,Vegetable,Export,Export(US$ Mil),            447.37,            306.79,            361.51,            133.59,            175.39,            152.07,            139.84,            257.57,            163.44,            142.29,            395.30,            125.65,            165.68,            105.36,             77.36,             74.60,             71.62,             64.24,             35.20,             44.11,             25.33,             36.37,,,             57.45,             51.45,             21.59,             24.97,,,,,,
Mozambique,World,Footwear,Export,Export(US$ Mil),             42.62,             39.41,             29.74,             21.10,              3.40,             15.47,             18.00,             25.97,             16.44,              5.54,              9.30,              4.36,              3.76,              2.46,              1.61,              0.38,              0.03,              0.04,              0.14,              0.03,              0.22,              0.61,,,              0.71,              0.14,              0.12,              0.03,,,,,,
Mozambique,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            716.75,            429.73,            733.77,            518.87,            531.21,            379.29,,            478.58,            862.18,            454.06,            401.08,,,,,            114.18,,,,,,,,,,,,,,,,,,
Mozambique,World,Miscellaneous,Export,Export(US$ Mil),             40.07,             28.47,             37.21,             40.93,              2.44,              8.26,             19.33,             19.97,             68.21,            106.40,              8.53,             85.28,            880.54,            209.19,             21.60,             41.67,              2.34,             11.23,             11.47,             34.41,             25.50,              4.05,,,              0.84,              0.84,              0.60,              1.53,,,,,,
Mozambique,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            124.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            489.43,            255.17,            323.80,            301.89,            252.61,            142.71,,,            104.98,            637.34,            167.69,             79.57,             74.48,             51.60,             44.04,,,,,,,,,,,,,,,,,,,
Mozambique,...,...,Import,No. Of Import products,           3840.00,           3794.00,           3794.00,           3820.00,           3823.00,           3815.00,           3899.00,           3949.00,           3902.00,           3773.00,           3458.00,           3604.00,           3843.00,           3864.00,           3774.00,           3808.00,           3733.00,           3690.00,           3650.00,           3494.00,           3407.00,           3720.00,,,,,,,,,,,,
Mozambique,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            803.16,            423.06,            803.89,           1435.78,           1621.70,            675.84,            327.01,            387.58,            679.57,            155.07,,,,,,,,,,,,,,,,             26.78,,,,,,,,
Mozambique,...,...,Export,No. Of Export products,           1778.00,           1630.00,           1689.00,           1568.00,           1381.00,           1286.00,           1205.00,           1239.00,           1186.00,            827.00,            951.00,           1005.00,           1383.00,           1471.00,           1358.00,           1614.00,           1228.00,           1303.00,           1626.00,           1340.00,           1076.00,            869.00,,,,,,,,,,,,
Mozambique,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             52.64,,,,,,,,,,,,,,,,,,
Mozambique,...,...,Export,No. Of Export partners,            124.00,            126.00,            138.00,            126.00,            133.00,            117.00,            121.00,            118.00,            118.00,            107.00,            113.00,            106.00,            108.00,            113.00,             92.00,             96.00,             91.00,             89.00,             87.00,             83.00,             70.00,             73.00,,,             56.00,             44.00,             51.00,             33.00,,,,,,
Mozambique,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             34.75,,,,,,,,
Mozambique,World,Intermediate goods,Export,Export(US$ Mil),           2459.24,           1709.73,           2196.28,           3073.51,           3270.39,           2212.91,           2134.76,           3079.51,           2268.91,           2202.12,           2293.87,           1543.90,            467.26,           1762.64,           1862.64,           1669.56,           1247.80,           1093.99,            742.26,            519.42,            494.11,            167.58,,,,,,,,,,,,
Mozambique,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            739.75,            619.84,            464.07,            490.29,            450.86,            325.47,,,,,            300.52,            201.70,            244.68,,            131.82,            136.84,             96.72,             63.72,             68.04,             79.30,,,,,,             35.80,,,,,,,,
Mozambique,World,Textiles and Clothing,Export,Export(US$ Mil),             39.20,             30.55,             52.54,             14.65,             18.36,             26.50,             42.47,             88.36,            107.35,             50.84,             44.02,             41.71,             33.44,             57.24,             41.06,             53.07,             65.53,             34.21,             51.96,             25.16,             31.61,             33.40,,,             32.38,             16.60,             22.48,             19.53,,,,,,
Mozambique,World,Food Products,Export,Export(US$ Mil),            276.60,            237.15,            352.46,            427.55,            293.42,            322.55,            462.65,            393.47,            466.71,            403.84,            291.40,            164.87,            267.28,            207.46,            119.42,            193.07,             86.66,             81.46,             44.98,             52.07,             34.63,             19.08,,,             22.89,             17.20,             11.35,             13.24,,,,,,
Mozambique,World,Consumer goods,Import,Import(US$ Mil),           3422.87,           2538.96,           3108.60,           2916.09,           2327.52,           2111.52,           2679.16,           3425.39,           4490.75,           2487.34,           2336.09,           1254.79,           1324.68,           1481.06,           1193.61,            946.19,            604.01,            747.60,            637.19,            437.48,            292.86,            356.46,,,,,,,,,,,,
Mozambique,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             88.44,            321.16,           1584.05,           1522.61,            109.83,             57.58,            634.71,            399.82,            418.24,             71.03,,,,,,             14.76,,,,,,
Mozambique,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            532.43,            362.88,            513.13,,,            426.35,,,            629.22,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,Malawi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             49.39,             49.53,             32.84,             40.57,,,,,,,,,,,,,,
Mozambique,World,Transportation,Export,Export(US$ Mil),             18.69,              9.43,             12.03,             27.60,             50.48,            100.05,             38.49,             54.29,            278.33,             99.82,            142.81,             11.58,             84.95,             39.12,             38.11,             43.75,             22.58,             16.17,             13.69,             11.20,             10.35,              5.14,,,              4.28,              7.86,              3.48,              2.13,,,,,,
Mozambique,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            946.36,            694.57,            861.51,            799.46,            493.35,            417.90,            986.86,            700.02,            644.12,,            373.85,            130.04,            173.12,            156.09,,,,,,,,,,,,,,,,,,,,
Mozambique,World,Raw materials,Import,Import(US$ Mil),            706.86,            550.02,            493.61,            374.06,            252.57,            388.66,            414.00,            453.55,            421.73,            258.77,            328.06,            180.25,            241.66,            255.55,            158.22,            187.97,            138.74,            121.24,            121.39,             76.74,             47.08,             73.48,,,,,,,,,,,,
Mozambique,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            517.98,            490.88,,            574.71,            599.29,,            572.92,            676.14,            642.91,            488.16,            697.99,            447.85,            371.11,            300.41,,,,,,,,,,,,,,,,,
Mozambique,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             29.19,,,,             19.34,,             24.82,             24.07,,,,,,
Mozambique,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            855.24,            731.13,            890.79,            895.88,            883.87,            703.26,            627.96,            948.16,            901.55,            666.80,            583.95,            467.22,            460.31,            265.54,            429.34,            361.71,            280.37,            211.43,            169.64,            127.05,            107.63,             53.26,,,             40.44,             43.91,             41.17,             28.96,,,,,,
Mozambique,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            372.26,            373.43,,,,,,            209.90,,            177.19,            198.72,,,,,,,,,,,,,,,,,,,,,,,
