Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mauritania,World,Consumer goods,Export,Export(US$ Mil),            335.90,            194.08,             10.31,              8.06,              5.24,              4.98,             12.09,             73.67,             69.46,             81.17,              7.30,              4.92,              2.79,              3.95,              7.19,,              5.92,              1.13,              1.17,              0.61,              0.90,              0.85,,,,,,,,,,,,
Mauritania,World,Minerals,Export,Export(US$ Mil),           2049.63,           1194.46,           1095.75,            736.44,            815.39,            687.54,            745.63,           1072.45,           1573.13,           1323.62,            179.71,            640.24,            154.65,            902.20,            729.09,,            381.58,            260.38,            185.76,            198.07,            204.47,            193.87,,,,,,,,,,,,
Mauritania,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             27.30,             21.70,             23.08,             31.60,,,,,,,,,,,,
Mauritania,World,Raw materials,Export,Export(US$ Mil),           2378.48,           1553.88,           1525.62,           1171.61,           1097.83,            940.34,           1113.88,           1417.15,           1780.44,           1800.36,            430.89,           1044.76,            608.70,           1413.08,           1235.76,,            513.40,            400.92,            280.15,            271.76,            286.04,            227.10,,,,,,,,,,,,
Mauritania,World,Capital goods,Export,Export(US$ Mil),             13.59,             18.00,              0.03,              0.01,              0.12,              0.12,,,,,,,,,              0.18,,,,,,,,,,,,,,,,,,,
Mauritania,World,Plastic or Rubber,Export,Export(US$ Mil),              6.43,              3.34,              0.16,              0.42,              0.26,              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            198.75,,,,,,,            147.17,,,,,,            315.03,,,,,,,,,,,,,,,,,
Mauritania,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             22.37,,,,,,,,,,,,,,,
Mauritania,World,Vegetable,Export,Export(US$ Mil),             24.28,             37.38,             40.82,             45.79,             34.87,             25.16,             37.77,             18.41,             14.48,              5.74,              1.94,              0.69,              0.06,              0.21,,,              0.07,              0.03,              0.04,              0.07,              0.17,              0.19,,,,,,,,,,,,
Mauritania,World,Footwear,Export,Export(US$ Mil),              0.02,              0.00,,,,              0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,Andorra,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            125.31,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            539.72,            390.21,            468.31,            458.26,            313.83,            258.38,            447.95,            674.93,            752.42,            696.82,            634.37,            206.79,,,,,,,,,,,,,,,,,,,,,,
Mauritania,World,Miscellaneous,Export,Export(US$ Mil),              1.22,              0.31,              0.03,              0.00,              0.03,             75.67,,              0.00,              0.00,,           1398.31,            406.36,            607.20,             89.03,             72.91,,,              1.22,              0.54,              0.69,,              0.74,,,,,,,,,,,,
Mauritania,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            186.38,,,,,,,,,,,,,,,,,,,
Mauritania,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1354.26,            959.79,            875.59,            654.17,            698.32,            599.50,            579.76,            700.46,           1242.74,           1155.81,            908.03,            716.49,            231.32,            126.93,,,,,,,,,,,,,,,,,,,,
