Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Montserrat,World,Consumer goods,Export,Export(US$ Mil),,              0.29,              0.56,              0.77,              0.82,              0.20,              0.33,              0.40,              0.61,              0.09,,,              0.15,              0.26,              0.19,              0.20,              0.53,              0.83,              0.94,              0.67,              0.34,              0.26,              0.23,,,,,,,,,,,
Montserrat,World,Minerals,Export,Export(US$ Mil),,              4.51,              4.59,              4.16,              3.27,              2.62,              2.72,              1.97,              1.09,              1.11,,,              1.08,              1.49,              1.91,              0.76,              0.13,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,
Montserrat,World,Raw materials,Export,Export(US$ Mil),,              4.63,              4.59,              4.17,              3.29,              2.64,              2.74,              2.01,              1.12,              1.16,,,              1.09,              1.49,              1.92,              0.76,              0.13,              0.01,              0.01,              0.01,              0.01,              0.01,              0.01,,,,,,,,,,,
Montserrat,World,Capital goods,Export,Export(US$ Mil),,              0.77,              0.42,              0.78,              1.30,              1.13,              0.19,              0.85,              3.09,              0.43,,,              1.52,              1.03,              0.40,              0.18,              0.53,              3.20,              0.63,              0.41,              0.19,              0.70,              0.92,,,,,,,,,,,
Montserrat,World,Plastic or Rubber,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.02,              0.01,              0.00,              0.00,              0.00,              0.01,,,,              0.01,              0.00,              0.00,              0.00,              0.07,              0.01,              0.00,              0.00,              0.00,              0.01,,,,,,,,,,,
Montserrat,Jamaica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,              0.79,,,              0.65,,,,,,,,,,,,,,,,,,,,,
Montserrat,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,              1.67,              2.17,              2.54,              2.00,              2.12,              3.02,              1.72,              1.61,              1.61,              4.29,,              1.67,              1.81,              1.96,              1.52,              2.31,              4.08,              5.74,              2.89,              1.57,              2.13,              1.90,,,,,,,,,,,
Montserrat,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,              0.84,              1.01,              1.15,              1.40,,              0.95,              0.79,              0.64,              2.30,,              1.52,              1.51,              1.34,              1.45,              1.42,              1.59,              1.27,              1.37,              1.33,              1.90,              2.02,,,,,,,,,,,
Montserrat,World,Vegetable,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.01,              0.01,              0.01,              0.00,              0.00,,,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,,,,,,,,,,,
Montserrat,World,Footwear,Export,Export(US$ Mil),,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,,,              0.00,              0.00,              0.00,,,,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,,,,,,
Montserrat,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              0.10,              0.21,,,,              0.11,,,              0.03,,,,,,,,,,,
