Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Malawi,World,Consumer goods,Export,Export(US$ Mil),            103.93,             96.57,            103.38,            120.64,            104.29,            172.45,            145.60,            131.76,            137.19,            170.08,            207.03,            137.74,            151.35,             92.85,            126.92,            130.66,            115.33,            118.11,            106.74,             99.65,             91.25,             76.17,             92.83,,,,             66.34,             65.35,,,             53.11,             59.17,,
Malawi,World,Minerals,Export,Export(US$ Mil),              1.00,              0.24,              0.21,              0.34,              0.17,              8.98,              0.63,             41.34,            135.59,            131.28,            125.50,            108.29,              9.26,              1.37,              0.24,              0.71,              0.02,              0.27,              0.03,              0.24,              0.31,              0.15,              0.28,,,,              0.27,              0.30,,,              0.04,              0.05,,
Malawi,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             36.72,,,,             46.60,             21.70,,,             27.58,             35.68,,
Malawi,World,Raw materials,Export,Export(US$ Mil),            673.99,            498.66,            601.82,            584.72,            610.98,            648.01,            645.07,            870.23,            840.83,            883.38,            898.39,            766.81,            855.67,            663.97,            621.65,            483.90,            306.19,            269.14,            305.42,            253.48,            281.11,            253.69,            317.13,,,,            319.19,            218.53,,,            384.17,            300.50,,
Malawi,World,Capital goods,Export,Export(US$ Mil),             35.02,             12.40,             24.92,             18.09,             30.37,             40.72,             60.33,            171.77,             36.04,             17.17,             38.21,             28.00,             29.31,             13.77,             12.34,             15.89,             16.31,             11.18,             11.88,             21.42,             10.69,             10.68,              1.80,,,,              5.87,              8.85,,,              6.06,             10.61,,
Malawi,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            130.02,,,,,            194.53,            112.34,,,,,            122.58,,,,            100.34,             65.99,,,,,,,,,,,,,,,,,
Malawi,World,Plastic or Rubber,Export,Export(US$ Mil),             13.75,             10.04,             12.47,             10.97,             12.24,             17.48,             36.46,             23.40,             29.04,             27.95,             42.07,             27.30,             20.87,             11.20,             24.50,              8.09,              3.35,              4.71,              3.73,              3.80,              3.02,              2.03,              2.30,,,,              3.46,              3.45,,,              1.84,              2.33,,
Malawi,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            122.86,            220.22,            224.14,            135.09,,,,,,,,            107.64,,,             70.65,             54.77,             47.30,             41.57,             36.18,             43.41,             60.05,            100.88,,,,             78.90,             82.11,,,            132.67,            132.41,,
Malawi,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             26.30,             29.10,,,,             24.89,             35.10,,,             47.62,             43.54,,
Malawi,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            546.20,            548.75,            483.05,            496.54,            452.70,            399.09,            411.17,            522.05,            616.40,            572.80,            598.91,            634.29,            708.70,            560.82,            393.36,            441.85,            374.98,            294.28,            316.57,            291.39,            240.75,            218.12,            216.99,,,,            159.72,            174.00,,,            229.32,            183.72,,
