Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),         599114.11,         472178.93,         550465.97,         551285.89,         521031.81,         488588.34,         506214.22,         569763.53,         552093.59,         529975.84,         496572.04,         420092.40,         342671.86,         440138.30,         389669.05,         355405.78,         325735.44,         283955.02,         252413.10,         233238.61,         237760.68,         244341.82,         208620.12,         195031.82,         192841.78,         176730.28,         162708.34,         150360.48,         132104.67,         119529.05,         106502.76,          27134.34,          25591.52,
,World,Minerals,Export,Export(US$ Mil),          30280.35,          21998.26,          21289.58,          19984.52,          17871.57,          15406.52,          17423.51,          21095.59,          19595.44,          19872.07,          20787.00,          15179.08,          11254.76,          17957.95,          14304.13,          12472.44,           9559.40,           6319.62,           5350.73,           5010.20,           5184.80,           5412.76,           4962.01,           5271.44,           6134.88,           5797.84,           6307.15,           4845.44,           4509.44,           5661.68,           5912.78,           4041.73,           3942.54,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         153351.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          32519.14,          30147.57,           3302.26,           3156.42,
,World,Raw materials,Export,Export(US$ Mil),         395074.31,         289196.51,         318941.01,         309810.98,         260531.79,         218973.02,         231401.35,         304104.81,         285269.59,         287394.82,         288631.62,         228803.91,         180989.75,         248469.31,         179121.44,         144886.82,         119064.62,         104713.85,          90264.93,          78890.25,          78843.47,          81129.95,          68751.21,          71528.28,          84065.47,          88597.18,          84696.30,          68112.38,          63798.58,          68522.58,          66705.23,          20101.15,          17840.42,
,World,Capital goods,Export,Export(US$ Mil),         604984.67,         534628.82,         610735.84,         620678.25,         591758.45,         568761.08,         591352.91,         611294.29,         590837.23,         592473.24,         564341.16,         511239.68,         432498.51,         604932.08,         595611.91,         556231.18,         448963.27,         416017.63,         405965.84,         399372.78,         430911.45,         479692.06,         420119.39,         400237.68,         393486.03,         342726.38,         314642.43,         280400.27,         249031.84,         236527.83,         220333.40,          32183.52,          30223.58,
,World,Plastic or Rubber,Export,Export(US$ Mil),         108141.64,          86909.68,          94579.29,          97891.29,          91574.38,          86947.11,          90108.49,          95318.35,          92734.68,          91360.46,          90301.15,          80326.80,          64545.60,          78972.03,          74751.53,          68496.27,          61832.52,          54545.42,          46848.87,          43955.79,          43305.80,          45032.08,          38683.73,          36723.65,          36748.22,          32427.20,          30366.80,          25762.75,          21941.03,          20663.03,          19446.77,           3200.58,           2638.31,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           4153.38,           3855.06,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,         132587.05,         159403.96,         158915.09,         153244.10,         146998.84,         146592.92,         149554.20,         151920.83,         161474.75,         145758.37,         136824.74,         109269.97,         157769.06,         163884.02,         165783.42,         154097.67,         143951.80,         131121.54,         134400.81,         135930.35,         157655.64,         144992.48,         134527.18,         133350.67,         125620.93,         136034.62,         130788.71,         118702.26,         109125.61,         104661.66,           8154.77,           8063.96,
,World,Vegetable,Export,Export(US$ Mil),         123098.94,         103737.17,          89913.64,          94409.19,          96086.23,          95285.75,          92220.23,         104305.51,          99043.13,         101631.24,          97633.46,          82581.84,          73022.76,          88612.11,          65085.46,          47870.41,          41424.34,          42338.08,          38182.79,          33783.49,          32537.98,          32316.77,          32061.47,          34325.84,          38587.42,          42661.14,          38515.33,          30399.59,          28630.37,          30081.73,          27352.55,           5280.26,           4657.81,
,World,Footwear,Export,Export(US$ Mil),           1935.54,           1791.82,           2499.46,           2457.75,           2257.19,           2214.07,           2341.28,           2277.59,           2166.71,           2085.63,           2005.14,           1746.64,           1527.45,           1714.60,           1487.36,           1394.78,           1246.52,           1110.19,           1101.22,           1124.62,           1235.28,           1298.95,           1240.47,           1240.74,           1334.67,           1265.12,           1161.83,           1127.21,           1020.99,            958.91,            876.49,             96.38,             78.29,
,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         367714.75,         279188.43,         330153.36,         325780.87,         308857.33,         285954.80,         305164.48,         357623.77,         334513.20,         326503.11,         322003.02,         284342.64,         230569.85,         342656.67,         321037.77,         310753.91,         297348.01,         263011.36,         227944.43,         215837.55,         220822.53,         235354.31,         201433.19,         177916.43,         171361.91,         159691.18,         148304.42,         131916.20,         113580.38,         101241.40,          93585.01,,,
,World,Miscellaneous,Export,Export(US$ Mil),         230162.99,         201933.14,         225821.73,         225082.58,         210666.93,         202869.28,         322392.24,         315765.01,         298746.00,         282824.11,         255639.54,         238581.58,         220283.23,         168863.55,         162595.23,         148398.37,         188014.62,         168101.67,         109729.55,         107171.39,         113737.11,         117445.75,          99460.84,          93960.30,          88971.10,          80151.63,          73352.84,          66820.92,          60191.17,          57379.67,          53818.63,           8929.18,           4991.33,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         173469.96,         143509.46,         124172.93,         141524.58,         147983.45,         131419.86,         131855.40,         141123.41,         141621.10,         129899.73,         121106.00,         104765.39,          79372.90,          81337.87,          74111.23,          62103.59,          47152.44,,,,,,,,,,,,,,,           1418.02,,
,...,...,Import,No. Of Import products,           4553.00,           4553.00,           4554.00,           4555.00,           4549.00,           4578.00,           4578.00,           4581.00,           4577.00,           4581.00,           4608.00,           4608.00,           4609.00,           4608.00,           4607.00,           4867.00,           4872.00,           4869.00,           4869.00,           4871.00,           4942.00,           4940.00,           4953.00,           4955.00,           4958.00,           4950.00,           5026.00,           5021.00,           5024.00,           5024.00,           5024.00,           4986.00,           4995.00,
,...,...,Export,No. Of Export products,           4538.00,           4542.00,           4543.00,           4544.00,           4534.00,           4576.00,           4569.00,           4571.00,           4574.00,           4574.00,           4606.00,           4609.00,           4606.00,           4607.00,           4608.00,           4867.00,           4868.00,           4868.00,           4868.00,           4867.00,           4938.00,           4938.00,           4953.00,           4947.00,           4949.00,           4950.00,           5018.00,           5020.00,           5015.00,           5013.00,           5019.00,           4687.00,           4578.00,
,...,...,Export,No. Of Export partners,            231.00,            233.00,            231.00,            231.00,            232.00,            232.00,            231.00,            232.00,            231.00,            231.00,            230.00,            229.00,            230.00,            230.00,            229.00,            229.00,            227.00,            229.00,            227.00,            229.00,            228.00,            228.00,            215.00,            213.00,            214.00,            215.00,            219.00,            217.00,            216.00,            214.00,            194.00,            179.00,            181.00,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1990.76,           1664.21,
,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         415359.43,         351204.32,         389205.66,         377603.30,         343087.12,         321245.90,         323596.42,         322929.73,         306461.51,         303125.41,         289931.21,         253718.85,         192856.53,         234927.74,         228930.43,         214634.80,         184440.22,         168220.94,         148404.22,         144148.50,         139165.27,         144065.12,         117491.04,         101249.07,          92187.97,          78535.28,          66646.77,          53607.78,          43505.88,          38143.09,          34018.88,,,
,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2061.20,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2085.68,,
,World,Intermediate goods,Export,Export(US$ Mil),         503025.48,         387705.01,         413650.88,         433900.72,         397876.07,         382158.37,         402056.78,         436466.85,         444260.63,         440665.77,         449452.56,         380105.53,         297061.00,         407611.74,         363658.57,         319656.63,         267092.02,         239709.58,         208882.46,         193643.41,         201108.73,         211488.25,         191203.05,         189633.53,         195105.84,         180985.36,         180166.20,         149935.56,         136620.49,         130185.45,         127795.73,          39359.79,          38528.90,
,World,Textiles and Clothing,Export,Export(US$ Mil),          28981.93,          25477.86,          29419.62,          30465.93,          29001.86,          26651.64,          28093.35,          29378.85,          29929.68,          29826.27,          31983.16,          26614.50,          20972.06,          25839.24,          25893.63,          26791.80,          26161.41,          26329.13,          24566.73,          23343.49,          23971.07,          26172.50,          23114.49,          24769.99,          24655.23,          21985.32,          21011.26,          17461.46,          14623.36,          13997.98,          13192.74,           1068.40,            881.20,
,World,Food Products,Export,Export(US$ Mil),          68726.01,          59895.59,          60781.91,          61549.95,          57787.02,          56670.55,          57538.45,          58302.55,          56466.40,          51916.43,          48424.08,          41426.63,          35982.44,          37468.19,          32922.54,          29679.40,          26840.81,          25609.76,          24352.35,          22799.77,          24171.66,          23936.04,          22964.69,          24243.92,          25020.64,          23456.35,          21594.60,          20994.14,          19061.18,          18629.04,          16994.60,           1958.30,           1614.19,
,World,Consumer goods,Import,Import(US$ Mil),        1247874.86,        1048012.57,        1110587.75,        1114366.04,        1040934.25,         993826.34,        1013010.94,        1017789.92,         960752.13,         938579.17,         925386.54,         846708.83,         705104.71,         901458.70,         885752.02,         834580.38,         768774.15,         677542.98,         602654.45,         549434.72,         505956.12,         508626.26,         439713.71,         395274.64,         361937.52,         321377.40,         304710.59,         284266.61,         253615.72,         233588.68,         213989.02,          33764.25,          33467.56,
,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1353.76,
