Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Namibia,World,Consumer goods,Export,Export(US$ Mil),            557.29,            337.08,            397.81,            408.72,            392.48,            461.26,            531.88,            649.69,            786.57,            740.12,           1286.23,           1435.93,           1981.85,           1272.85,            745.49,            620.08,            578.13,            723.15,            475.42,            229.41,            299.93,            279.94,,,,,,,,,,,,
Namibia,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            740.44,            374.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,World,Minerals,Export,Export(US$ Mil),           1025.45,            803.48,            903.74,            889.43,            689.00,            898.09,            503.63,            826.70,           1062.99,            977.48,            842.45,            937.12,            953.22,            896.58,            520.19,            230.87,             55.04,            309.81,             70.07,            133.56,            115.42,            129.43,,,,,,,,,,,,
Namibia,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            448.41,            610.56,            703.05,            639.02,            676.77,           1032.69,            993.80,            868.60,            364.69,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            449.96,,,,,,,            241.58,,,            131.16,            162.36,            213.88,,             83.91,             62.44,             48.19,             44.32,             33.21,             40.87,             29.62,             27.96,,,,,,,,,,,,
Namibia,World,Raw materials,Export,Export(US$ Mil),           3069.82,           2530.19,           3066.15,           3425.27,           3055.79,           2895.24,           2479.29,           2948.23,           3212.14,           3070.72,           2962.99,           3049.82,           2631.38,           2439.34,           1965.34,           1813.91,           1399.54,           1342.86,            618.72,            888.39,            937.46,            919.72,,,,,,,,,,,,
Namibia,World,Capital goods,Export,Export(US$ Mil),            575.95,            236.43,            443.46,           1131.09,            384.64,            412.12,            313.62,           1320.72,           1441.04,            536.65,            423.88,            283.59,            326.82,            214.56,            229.49,             89.49,            126.51,             99.93,             76.33,             59.72,             45.71,             40.74,,,,,,,,,,,,
Namibia,Botswana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            338.03,            413.17,            456.19,            180.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Zambia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1558.02,           1302.35,           1204.74,           1169.31,            321.46,            277.56,,,,,            132.87,,,,,,,,,,,,,,,,,,,,,,,
Namibia,World,Plastic or Rubber,Export,Export(US$ Mil),            129.04,             83.78,             69.10,             70.15,             35.44,              9.40,             18.39,             36.61,             33.01,             44.40,             30.12,             32.61,             34.14,             20.43,             15.71,             13.02,             15.95,             19.38,             15.03,             12.31,              4.91,              9.57,,,,,,,,,,,,
Namibia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            172.86,            229.82,            299.97,            316.28,            373.31,,             23.60,,             62.53,,             34.07,             17.63,             28.07,,,,,,,,,,,,
Namibia,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3528.08,           2467.99,           3490.75,           3683.65,           3736.16,           3843.07,           4900.00,           4774.80,           4677.87,           4968.61,           4892.55,           4331.18,           4336.35,           3179.80,           3142.97,           2305.29,           2099.81,           2063.61,           1138.39,           1006.47,           1290.90,           1222.99,,,,,,,,,,,,
Namibia,World,Vegetable,Export,Export(US$ Mil),            102.27,             77.99,             85.96,             80.88,             62.04,             51.33,             63.54,             64.33,             69.05,             63.82,             64.46,             85.87,            100.41,             64.63,             61.60,             48.37,             42.96,             38.88,             23.17,             18.53,             13.02,             15.92,,,,,,,,,,,,
Namibia,World,Footwear,Export,Export(US$ Mil),              0.71,              0.83,              1.14,              1.21,              1.77,              1.72,              1.68,              3.80,              3.15,              3.46,              4.96,              4.66,              7.42,              2.68,              1.84,              1.23,              1.01,              1.65,              1.64,              1.65,              1.08,              1.48,,,,,,,,,,,,
Namibia,Bulgaria,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            247.00,,            441.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,World,Miscellaneous,Export,Export(US$ Mil),             29.88,             21.53,             35.53,             83.61,             32.52,             27.73,             46.72,             87.37,            132.83,             88.36,             81.34,             87.20,            131.28,             76.14,             57.10,             43.41,             43.44,             51.06,             43.33,             28.00,             13.93,             22.80,,,,,,,,,,,,
Namibia,Marshall Islands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            307.68,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           1910.77,           1499.28,           1247.97,            252.63,,,,,,,,            289.38,,,,,,,,,,,,,,,,,,,,,
Namibia,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            186.83,,            438.79,            426.80,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,...,...,Import,No. Of Import products,           4073.00,           4020.00,           4096.00,           4109.00,           4135.00,           4140.00,           4166.00,           4137.00,           4091.00,           4167.00,           4137.00,           4156.00,           4107.00,           4105.00,           4191.00,           4397.00,           4473.00,           4440.00,           4268.00,           4313.00,           4344.00,           4357.00,,,,,,,,,,,,
Namibia,...,...,Export,No. Of Export products,           2823.00,           2733.00,           2981.00,           2901.00,           2980.00,           2923.00,           3090.00,           3263.00,           3259.00,           3285.00,           3334.00,           3417.00,           3399.00,           3325.00,           3228.00,           3405.00,           3487.00,           3538.00,           3313.00,           3361.00,           3162.00,           2985.00,,,,,,,,,,,,
Namibia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            496.98,            904.51,            707.61,            725.25,            556.77,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            206.76,            435.85,            466.23,            500.91,            492.01,            558.96,            663.75,            405.62,            260.86,            192.87,            194.52,            244.58,            321.26,            185.32,             79.77,             92.71,,,,,,,,,,,,
Namibia,...,...,Export,No. Of Export partners,            121.00,            157.00,            165.00,            163.00,            163.00,            167.00,            165.00,            156.00,            162.00,            144.00,            156.00,            154.00,            154.00,            159.00,            148.00,            157.00,            154.00,            154.00,            125.00,            127.00,            131.00,            136.00,,,,,,,,,,,,
Namibia,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            334.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            562.18,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            114.09,,,,,,,              8.86,,,,,,,,,,,,
Namibia,World,Intermediate goods,Export,Export(US$ Mil),           3032.41,           2472.35,           2331.19,           2436.88,           1345.37,           1040.33,           1297.41,           1056.29,            890.32,           1021.46,           1221.77,           1062.51,            890.90,            779.49,           1080.37,            840.68,            608.41,            359.11,            108.25,             87.11,             73.11,             69.66,,,,,,,,,,,,
Namibia,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            128.42,            162.36,,,,             21.37,,,,,,,,,,,,,,,,
Namibia,World,Textiles and Clothing,Export,Export(US$ Mil),              6.38,              4.36,              4.87,              5.46,              5.42,              6.20,             10.83,             23.74,             25.19,             24.96,             25.97,             25.93,             30.61,             16.72,             20.09,             33.00,             68.59,            102.56,             10.27,              5.61,             10.66,              6.92,,,,,,,,,,,,
Namibia,World,Food Products,Export,Export(US$ Mil),            144.57,            102.87,            163.73,            191.51,            155.38,            161.82,            230.70,            259.64,            304.73,            349.88,            337.04,            326.10,            342.35,            264.88,            203.11,            166.01,            172.64,            155.51,            191.96,            128.78,            101.10,             95.83,,,,,,,,,,,,
Namibia,World,Consumer goods,Import,Import(US$ Mil),           3249.86,           2287.97,           3119.77,           3059.36,           2889.60,           2959.58,           3624.86,           3203.83,           3256.84,           3335.16,           3154.81,           3006.53,           3051.46,           2456.85,           2137.14,           1444.33,           1313.22,           1259.90,            721.98,            633.95,            802.36,            732.51,,,,,,,,,,,,
Namibia,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            546.73,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4099.53,            316.04,            362.52,            492.51,            412.52,            298.22,,,            254.13,,,            282.62,,,,,,,,,,,,,,,,,,,,,,
Namibia,World,Transportation,Export,Export(US$ Mil),            607.56,            137.13,            311.25,           1017.75,            308.93,            322.58,            145.18,           1111.56,           1245.29,            366.92,            316.58,            206.59,            234.32,            144.34,            204.52,             59.42,             75.51,             74.58,             46.10,             33.06,             24.72,             14.96,,,,,,,,,,,,
Namibia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            581.84,            307.13,            316.02,            468.83,            349.08,            197.19,            493.28,            335.98,            235.25,            287.69,            267.02,            204.94,            330.72,            153.27,            101.48,             96.85,             40.06,             28.34,             18.10,,             16.38,,,,,,,,,,,,,
Namibia,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            429.95,,,            167.26,            295.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,World,Raw materials,Import,Import(US$ Mil),           1597.01,           1235.94,           1394.44,           1010.40,           1283.11,           1028.52,            826.65,            886.98,           1213.38,           1047.21,            710.84,            554.64,            494.29,            429.00,            253.59,            158.89,            157.50,            144.02,            131.10,            101.66,            101.95,            105.79,,,,,,,,,,,,
Namibia,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            109.47,,            161.65,,,,,,,,,,,,,,,,,,,,
Namibia,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            322.65,            813.47,           1016.35,           1131.97,           1139.45,            772.39,            903.01,            777.52,           1690.94,            933.39,           1717.82,           1693.90,           1985.66,           1505.02,           1172.27,            829.65,            768.77,            637.51,            406.12,            323.82,            420.63,            334.31,,,,,,,,,,,,
Namibia,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            631.65,            848.76,            735.88,            608.78,            709.71,            682.88,            865.19,            514.28,            529.35,            134.15,            312.84,            480.80,            430.56,,,,,,,,,,,,
Namibia,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            444.24,,,,            174.87,,,            261.54,            191.69,,,,,,,,,             29.00,,             14.00,,,,,,,,,,,,,
Namibia,World,Hides and Skins,Export,Export(US$ Mil),             12.27,              9.40,             14.60,             21.92,             24.11,             23.85,             31.68,             38.36,             37.86,             32.50,             29.30,             25.20,             23.97,             26.19,             29.76,             23.17,             20.54,             18.59,              9.34,             12.35,             17.84,             14.66,,,,,,,,,,,,
Namibia,...,...,Development,Trade Balance (current US$ Mil),,           -913.19,          -1287.37,          -1377.11,          -1802.49,          -2567.62,          -3003.52,          -3114.57,          -2736.34,          -2621.02,          -1391.30,          -1315.58,          -1844.67,          -1061.96,           -465.75,            312.05,              9.91,           -149.79,           -447.99,            -69.58,           -230.24,           -143.55,           -318.75,           -363.71,           -313.66,           -228.78,           -166.43,            -47.02,            -93.91,           -203.84,           -175.93,           -185.20,             85.17,             37.51
Namibia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            250.01,,             81.79,,             53.31,,,,,,,,,,,,
Namibia,...,...,Tariff,No. Of Tariff Agreement,             11.00,              9.00,              9.00,              9.00,              9.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              4.00,              3.00,              3.00,              3.00,,              4.00,              2.00,,,,,,,,,,,,,
Namibia,Zambia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1310.69,,,,,            303.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
