Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Niger,World,Consumer goods,Export,Export(US$ Mil),            220.11,            237.21,            315.53,            753.33,           1190.21,            397.63,            243.01,            372.12,            479.19,            417.40,            119.44,             43.31,             35.85,             79.73,             82.91,             96.24,             61.01,             46.86,             20.54,             24.14,             44.59,             26.36,             71.15,             92.98,             95.86,            130.42,             60.38,,,,,,,
Niger,World,Minerals,Export,Export(US$ Mil),            153.34,            286.25,            227.80,            226.57,            248.15,            299.98,            401.88,            481.78,            659.68,              0.41,            671.29,            242.84,            348.82,            441.64,            300.07,            153.85,            150.69,            135.90,            114.94,             90.39,             86.91,             91.09,            106.93,            133.56,            129.58,            136.87,            151.52,,,,,,,
Niger,World,Raw materials,Export,Export(US$ Mil),            191.33,            318.97,            317.02,            485.87,            595.14,            434.86,            430.84,            520.14,            704.47,            126.88,            749.38,            308.68,            520.70,            850.13,            432.09,            283.39,            277.75,            277.01,            180.46,            146.45,            150.05,            175.10,            172.50,            192.00,            177.30,            205.49,            183.90,,,,,,,
Niger,World,Capital goods,Export,Export(US$ Mil),             24.79,             35.59,             16.56,             26.24,             69.67,             24.45,             53.60,             97.25,             44.09,             22.70,             64.14,             38.99,             10.36,             15.69,             28.30,             23.99,             45.03,             13.46,              2.66,              3.88,              1.80,              9.38,              9.99,             18.32,             17.29,             15.56,              5.69,,,,,,,
Niger,World,Plastic or Rubber,Export,Export(US$ Mil),              1.56,              1.45,              1.03,              1.59,              1.82,              1.00,              1.02,              0.53,              0.95,              0.77,              1.02,              0.32,              0.44,              3.18,              1.30,              0.73,              0.86,              1.30,              0.53,              0.16,              0.20,              0.40,              0.84,              1.55,              2.16,              1.45,              0.22,,,,,,,
Niger,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            149.66,            118.42,,,,,,,,,,,,,,             53.23,             18.81,,,,,,,
Niger,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,             94.58,,            100.32,,,             70.39,,             45.97,,,,,,,,             22.04,,,,,,,,,,,
Niger,World,Vegetable,Export,Export(US$ Mil),             40.29,             41.15,            132.43,            539.67,           1006.62,            287.49,             67.41,             66.25,             64.98,            137.19,             73.58,             25.82,             45.55,             93.10,             80.47,             71.05,             64.37,             71.45,             30.18,             24.97,             22.45,             35.84,             34.08,             30.77,             21.08,             32.19,             22.94,,,,,,,
Niger,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            178.81,            221.66,            225.49,            183.54,            107.76,,            101.31,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,World,Footwear,Export,Export(US$ Mil),              0.32,              0.27,              0.15,              0.71,              0.99,              0.51,              0.32,              0.16,              0.46,              2.41,              1.36,              0.55,              0.98,              1.81,              1.22,              1.17,              1.12,              0.64,              0.05,              0.15,              0.18,              0.20,              3.53,              3.86,              3.20,              3.28,              1.91,,,,,,,
Niger,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             47.64,,            199.70,            178.97,            753.76,             87.97,             98.75,            133.21,            205.63,            148.39,             53.99,             53.56,            139.06,            178.49,             41.17,             48.61,             49.78,             60.79,             65.00,             63.84,             66.17,             80.63,            129.69,            136.08,            139.85,            195.00,             74.78,,,,,,,
