Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nicaragua,World,Consumer goods,Export,Export(US$ Mil),           3074.75,           2374.06,           2719.55,           2649.12,           2523.26,           2484.22,           2442.65,           2526.64,           2328.05,           2074.98,            316.18,            288.94,            258.89,            966.80,            200.80,             97.87,            136.26,            108.56,            114.27,             79.69,            105.68,            106.72,             80.87,             60.78,            113.38,            127.20,             67.88,             30.20,             21.59,,,,,
Nicaragua,World,Minerals,Export,Export(US$ Mil),              3.60,              2.45,              2.01,              2.98,              4.34,              3.92,              4.22,              1.88,              0.37,              0.79,              2.32,              1.87,              1.04,              3.59,              1.72,              0.89,              0.74,              0.30,              1.57,              1.72,              0.13,              0.05,              0.08,              0.31,              0.34,              0.16,              0.27,              0.27,              0.21,,,,,
Nicaragua,World,Raw materials,Export,Export(US$ Mil),           1918.85,           1554.56,           1584.37,           1512.75,           1630.78,           1352.18,           1464.89,           1518.95,           1339.39,           1531.88,           1250.41,            989.74,            757.61,            822.78,            661.90,            490.12,            501.34,            459.47,            349.23,            330.54,            302.67,            440.52,            336.77,            367.08,            319.09,            318.61,            309.42,            249.71,            167.52,,,,,
Nicaragua,World,Capital goods,Export,Export(US$ Mil),             39.84,             29.74,             36.88,             43.56,             30.31,             29.74,             22.72,             27.03,             21.49,             20.86,             18.66,             14.33,             16.72,             19.05,             13.25,              8.81,              9.60,              6.44,              6.54,              5.93,              6.84,              4.03,              5.70,              8.78,             66.69,             63.02,             32.23,              7.36,              2.91,,,,,
Nicaragua,World,Plastic or Rubber,Export,Export(US$ Mil),             22.11,             12.23,             12.40,             12.03,             10.93,             12.26,             15.60,             15.46,             11.76,             10.95,             10.58,              9.13,              9.39,             11.79,              8.50,              3.47,              4.75,              4.55,              4.11,              3.83,              4.74,              3.74,              2.44,              2.93,              2.67,              1.56,              2.56,              1.42,              1.10,,,,,
Nicaragua,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             99.76,,             82.79,,             60.97,             60.45,,,,,
Nicaragua,World,Vegetable,Export,Export(US$ Mil),            971.67,            849.15,            817.24,            801.30,            877.05,            709.75,            758.92,            813.51,            681.56,            904.81,            691.45,            562.33,            443.70,            527.14,            360.00,            297.42,            258.61,            234.31,            179.02,            151.86,            178.07,            231.87,            200.43,            229.82,            197.57,            193.58,            178.68,            122.14,             59.38,,,,,
Nicaragua,World,Footwear,Export,Export(US$ Mil),              3.13,              8.40,             23.50,             21.16,             17.30,             22.22,             31.27,             23.50,             12.73,             38.05,              2.58,              2.53,              1.95,              1.68,              1.65,              1.47,              1.39,              0.98,              1.20,              1.59,              2.13,              2.70,              3.39,              3.29,              2.46,              1.12,              0.62,              0.68,              0.60,,,,,
Nicaragua,World,Miscellaneous,Export,Export(US$ Mil),             24.63,             19.86,             23.26,             21.68,             14.56,             16.01,             12.95,             13.58,              6.39,              4.96,              4.55,              3.42,              4.57,            316.08,              3.60,              3.02,              2.72,              2.28,              2.47,              2.53,              9.41,              1.46,              2.82,              1.92,             68.74,             94.29,             51.39,             10.43,              0.65,,,,,
Nicaragua,...,...,Import,No. Of Import products,           3638.00,           3651.00,           3660.00,           3717.00,           3806.00,           3827.00,           3731.00,           3719.00,           3734.00,           3704.00,           3674.00,           3650.00,           3664.00,           3670.00,           3684.00,           3796.00,           3796.00,           3813.00,           3839.00,           3727.00,           3633.00,           3467.00,           3793.00,           3790.00,           3813.00,           3508.00,           3499.00,           3633.00,           3631.00,,,,,
Nicaragua,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             17.49,,,,,,,
Nicaragua,...,...,Export,No. Of Export products,           1968.00,           1945.00,           2125.00,           2148.00,           2022.00,           1999.00,           1939.00,           2044.00,            398.00,            407.00,           1933.00,           1952.00,           1919.00,           1950.00,           1820.00,           1622.00,           1585.00,           1581.00,           1620.00,           1481.00,           1485.00,           1110.00,           1226.00,           1083.00,           1040.00,            880.00,            833.00,            898.00,            798.00,,,,,
Nicaragua,Guatemala,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             44.75,,,             23.22,,,,,,,,,,,,,,
Nicaragua,...,...,Export,No. Of Export partners,            127.00,            113.00,            111.00,            121.00,            118.00,            122.00,            123.00,            117.00,            114.00,            116.00,            104.00,            105.00,             89.00,            105.00,            109.00,             91.00,            104.00,             88.00,             75.00,             81.00,             80.00,             73.00,             77.00,             73.00,             69.00,             62.00,             57.00,             55.00,             54.00,,,,,
Nicaragua,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             55.07,             53.46,             61.20,             60.53,             61.06,             57.99,             44.12,             24.26,,,,,
Nicaragua,Honduras,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            462.93,            607.91,            566.91,            514.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Mexico,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            868.43,            690.90,            695.32,            740.41,            849.81,            836.55,            610.12,            545.84,            461.98,,            406.34,            320.91,            243.62,            386.02,            464.68,            406.88,            215.74,            164.56,            154.98,            113.32,            136.69,,,,             82.99,,,,,,,,,
Nicaragua,El Salvador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             99.83,,,,,,,,,,,
Nicaragua,World,Intermediate goods,Export,Export(US$ Mil),           1461.53,           1128.73,            931.49,            807.97,            740.75,            725.23,            736.39,            900.17,            905.21,            922.13,            694.87,            553.99,            359.04,            418.49,            318.01,            161.37,            218.31,            184.80,            134.52,            141.38,            109.13,             77.95,             81.24,            113.42,            161.09,            147.04,             97.27,             60.97,             73.99,,,,,
Nicaragua,World,Textiles and Clothing,Export,Export(US$ Mil),           1646.84,           1284.31,           1547.34,           1459.34,           1343.89,           1318.42,           1322.49,           1402.26,           1310.06,           1167.82,              2.55,              2.15,              2.14,            567.61,              3.61,              5.67,              2.10,              1.91,              1.72,              1.55,              2.23,              3.31,              3.53,              2.64,              6.22,             13.16,              5.04,              8.19,              2.78,,,,,
Nicaragua,World,Food Products,Export,Export(US$ Mil),            742.24,            612.34,            594.30,            610.08,            558.20,            444.62,            496.24,            552.29,            507.23,            471.89,            291.19,            267.11,            230.48,            272.15,            188.01,            114.63,            143.56,             97.88,             76.02,             69.20,             82.50,             74.76,             67.05,             80.52,            120.51,             65.34,             47.54,             28.32,             26.92,,,,,
Nicaragua,World,Consumer goods,Import,Import(US$ Mil),           5079.23,           3313.38,           3682.35,           3695.12,           3887.73,           3763.53,           2951.18,           2764.81,           2657.29,           3109.74,           2337.79,           2004.28,           1793.19,           1867.76,           1742.05,           1224.64,           1229.54,           1080.69,            898.99,            845.12,            829.10,            786.27,            698.32,            586.82,            557.17,            418.72,            344.08,            283.34,            258.87,,,,,
Nicaragua,Costa Rica,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            189.33,            152.71,            158.68,            155.32,            155.03,            145.65,,,,,            117.48,             87.15,             86.86,,             86.87,,             53.62,             50.85,             49.28,             48.34,             36.62,             37.74,             27.46,             25.46,,,,             25.49,             22.92,,,,,
Nicaragua,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            387.37,,,,,,,,,,,,,,,,,,,,
Nicaragua,World,Transportation,Export,Export(US$ Mil),              7.66,              3.57,              7.10,             12.77,              7.85,              5.91,              3.81,              3.95,              6.56,              6.81,              4.15,              3.69,              3.24,              2.10,              2.73,              1.19,              1.20,              1.01,              1.02,              1.72,              1.18,              0.79,              1.11,              1.22,              1.15,              1.54,              3.66,              1.81,              0.66,,,,,
Nicaragua,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1223.88,            900.89,            893.85,            973.55,           1172.35,           1149.02,            845.54,            857.87,            630.84,            578.58,            465.36,            365.45,            260.46,,            280.31,            208.96,,,,,,,,,,,,,,,,,,
Nicaragua,World,Raw materials,Import,Import(US$ Mil),            913.88,            565.74,            613.11,            720.30,            576.63,            508.81,            545.37,            732.62,            781.18,            688.35,            845.01,            651.64,            530.61,            643.56,            578.63,            472.73,            295.41,            300.80,            263.75,            226.25,            261.73,            284.45,            203.39,            221.07,            181.95,            120.02,            191.15,            146.39,            145.98,,,,,
Nicaragua,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            724.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            456.00,,            806.92,            794.40,            742.87,            587.78,            450.82,,            185.96,            173.75,            275.59,            179.00,            198.08,            165.86,            202.34,,,,,            130.79,            101.67,             93.62,,,,,
Nicaragua,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             24.40,,,,,,,,
Nicaragua,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            835.53,,,,,,,,,,,,,,,,,,,,
Nicaragua,Mexico,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            768.63,            398.61,            293.32,            282.03,            323.75,            631.35,            519.07,            617.45,            607.66,            484.20,,,,            186.64,,             46.93,,             40.71,             27.88,,,,,,,,,,,,,,,
Nicaragua,World,Hides and Skins,Export,Export(US$ Mil),              9.97,              4.57,              7.41,             14.42,             21.80,             19.99,             28.14,             36.76,             29.29,             28.98,             26.80,             13.31,              5.37,             11.28,             12.89,              6.80,              8.03,              7.86,              5.50,              5.70,              2.66,              5.16,              4.02,              5.19,              5.87,              6.05,              5.36,              4.29,              3.58,,,,,
Nicaragua,...,...,Development,Trade Balance (current US$ Mil),,           -609.49,           -565.64,          -1228.27,          -1889.00,          -2132.39,          -2299.61,          -1981.94,          -2257.63,          -2131.55,          -2130.14,          -1701.78,          -1579.24,          -2366.68,          -1996.69,          -1675.69,          -1446.41,          -1221.45,          -1105.21,          -1065.58,          -1059.11,          -1076.74,          -1237.10,           -850.33,           -841.40,           -637.12,           -490.63,           -494.54,           -481.80,           -645.68,           -456.82,           -215.96,           -330.85,          -1059.97
Nicaragua,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             42.59,,,,,,,,,,,,,
Nicaragua,...,...,Tariff,No. Of Tariff Agreement,             18.00,             17.00,             16.00,             13.00,             10.00,             11.00,             11.00,             10.00,              9.00,              7.00,              7.00,              7.00,              7.00,              5.00,              2.00,              4.00,              1.00,              4.00,              7.00,              4.00,              4.00,              4.00,              4.00,              4.00,              1.00,              1.00,              2.00,,,,,,,
Nicaragua,World,Wood,Export,Export(US$ Mil),             30.60,             20.41,             19.48,             25.47,             24.04,             20.16,             30.53,             34.00,             29.00,             27.80,             32.79,             44.25,             13.03,             38.46,             11.71,             11.39,             20.50,             18.25,             19.13,             19.52,             18.13,             17.64,             12.72,             14.89,             21.29,             19.48,             12.18,              6.12,              2.16,,,,,
Nicaragua,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             34.41,,,,,,,,             23.45,             60.04,             73.26,             39.51,             13.59,,,,,,
Nicaragua,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,            808.81,            552.31,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,World,Mach and Elec,Export,Export(US$ Mil),            607.46,            403.95,            525.73,            555.60,            605.21,            675.85,            581.76,            579.91,            590.03,            468.70,             14.16,             10.49,             13.66,            150.84,              9.51,              7.53,              7.98,              5.49,              5.62,              4.49,              5.70,              3.28,              4.51,              7.57,             41.89,             63.68,             17.10,              3.84,              1.55,,,,,
Nicaragua,Guatemala,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            718.52,            554.61,            459.47,            454.78,,            470.05,            407.44,,,,,,,,            216.82,,            173.05,            152.00,            132.16,            135.29,            142.90,            142.03,            133.48,            112.81,             97.43,             90.34,             79.59,             69.19,             66.76,,,,,
Nicaragua,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            124.39,            121.68,            101.68,             97.79,             66.17,             56.89,,,,,,,
Nicaragua,...,...,Development,GDP (current US$ Mil),,          12621.48,          12611.22,          13025.21,          13785.91,          13286.08,          12756.71,          11880.43,          10982.98,          10532.05,           9774.35,           8758.64,           8298.68,           8497.00,           7423.37,           6763.36,           6321.34,           5795.57,           5322.45,           5224.21,           5323.15,           5107.33,           4855.72,           4635.27,           4389.97,           4308.35,           4140.47,           3863.19,           1756.45,           1792.80,           1488.80,           1009.46,           1013.18,           2630.90
Nicaragua,World,Metals,Export,Export(US$ Mil),             73.48,             33.65,             38.15,             44.13,             30.04,             23.03,             21.96,             35.57,             32.72,             33.21,             34.71,             36.40,             23.28,             45.34,             36.46,             14.57,             12.74,             12.34,              9.21,              9.08,             11.33,              4.90,              3.24,              4.12,              4.59,              8.01,              6.03,              6.97,              6.15,,,,,
Nicaragua,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        6403859.21,        4870836.89,        5286884.06,        5532597.46,        5283898.38,        5499399.99,        4439467.88,        4294096.07,        4154863.17,        3123083.76,        2889777.75,        3046544.45,        2396563.88,        1957205.73,        2137788.05,        1384648.09,        1007311.12,        1341218.40,        1226988.02,        1147772.61,        1134412.53,        1110399.60,          43848.19,         632176.07,         686566.90,          80840.14,         228087.57,,,,,,,
Nicaragua,Honduras,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            337.00,            190.10,            248.91,            220.04,            173.61,            150.07,            174.32,,,,,,            100.58,            120.37,            111.40,             33.71,             69.74,             58.03,             43.38,             38.43,             38.61,             36.17,             34.45,,             28.43,,,,,,,,,
Nicaragua,El Salvador,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            386.38,            332.52,            294.65,            285.61,            276.06,            261.68,            259.35,            228.47,            218.86,            250.81,            198.88,            198.18,            199.35,            194.96,            168.33,,            122.80,            109.59,            104.29,             86.67,             75.85,             70.76,             68.15,             57.64,             56.74,             58.09,             41.28,             37.10,             15.25,,,,,
Nicaragua,World,Stone and Glass,Export,Export(US$ Mil),            959.10,            731.47,            555.57,            424.95,            364.88,            387.46,            340.30,            406.25,            458.98,            454.08,            382.95,            233.70,            102.32,             90.64,             79.98,             70.37,             56.34,             61.15,             46.67,             46.01,             39.20,             29.35,             37.39,             37.73,             38.37,             48.05,             22.76,             16.52,             48.45,,,,,
Nicaragua,World,Intermediate goods,Import,Import(US$ Mil),           2381.82,           1733.97,           1859.49,           1902.37,           1871.13,           1754.97,           1040.69,           1003.93,            993.27,           1026.71,            910.72,            699.59,            558.70,            658.95,            583.50,            479.30,            455.15,            393.93,            317.76,            292.72,            282.85,            302.49,            327.99,            284.24,            334.62,            244.60,            236.03,            201.14,            164.82,,,,,
Nicaragua,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3671.22,           3032.11,           3253.71,           3063.90,           2888.15,           2528.65,           2507.04,           2405.53,           2079.25,           2100.45,            694.15,            606.56,            457.60,           1028.38,            372.10,            353.02,            306.77,            293.17,            220.91,            218.45,            156.13,            247.09,            184.51,            210.81,            305.38,            296.28,            214.42,            150.27,            117.19,,,,,
Nicaragua,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,            250.32,            326.97,            321.84,            273.36,            157.39,,,             69.45,             45.17,,,,,,,,,,,,,             28.41,,,,,
Nicaragua,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2443.05,           1656.49,           1981.94,           2041.60,           1808.02,           1664.33,           1056.77,            935.71,            905.97,           1088.34,            949.29,            868.55,            701.68,            810.87,            814.66,            624.74,            525.36,            499.13,            507.44,            482.00,            477.49,            418.30,            571.33,            466.79,            549.13,            365.21,            304.34,            214.62,            200.64,,,,,
Nicaragua,World,All Products,Import,Imports (in US$ Mil),           9826.38,           6545.00,           6985.48,           7351.00,           7703.84,           7475.81,           5866.30,           5746.42,           5498.84,           6029.66,           5047.26,           4190.76,           3478.61,           4744.43,           3537.99,           2740.66,           2535.55,           2249.69,           1904.59,           1788.09,           1773.38,           1720.60,           1723.04,           1532.11,           1469.73,           1076.15,           1009.20,            852.46,            755.11,,,,,
Nicaragua,World,Capital goods,Import,Import(US$ Mil),           1451.40,            931.00,            829.11,           1031.45,           1364.78,           1444.61,           1324.72,           1239.87,           1061.84,           1199.35,            948.49,            829.75,            592.47,            742.13,            628.85,            522.51,            486.49,            407.47,            381.14,            384.56,            352.55,            346.21,            446.91,            386.64,            339.11,            244.47,            198.06,            200.82,            169.20,,,,,
Nicaragua,World,All Products,Export,Exports (in US$ Mil),           6494.98,           5087.34,           5272.55,           5013.91,           4925.58,           4591.96,           4667.37,           4973.50,           4594.15,           4550.65,           2280.87,           1847.63,           1393.05,           2537.60,           1194.54,            758.64,            866.02,            759.85,            605.20,            558.70,            532.24,            629.35,            508.48,            552.82,            666.61,            660.18,            509.21,            351.11,            267.49,,,,,
Nicaragua,Venezuela,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            290.30,            390.10,            383.97,            444.03,            302.65,            248.57,            119.19,,,,,,,,,,,,,,,,,,,,,
Nicaragua,...,...,Import,No. Of Import partners,            174.00,            162.00,            159.00,            168.00,            178.00,            174.00,            166.00,            164.00,            157.00,            153.00,            164.00,            162.00,            157.00,            153.00,            157.00,            144.00,            140.00,            143.00,            142.00,            129.00,            117.00,            101.00,             89.00,            102.00,             90.00,             80.00,             77.00,             84.00,             84.00,,,,,
Nicaragua,Costa Rica,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            488.56,            485.34,            478.99,            464.53,            477.49,            462.45,            432.74,            343.79,            318.68,            322.11,            303.51,            147.80,            235.32,            189.29,            164.97,            150.94,            188.08,            198.78,            207.62,            162.52,            120.06,             90.53,             82.19,             68.19,             77.78,,,,,
Nicaragua,World,Fuels,Export,Export(US$ Mil),             38.95,             22.24,             16.03,             13.40,             11.56,              8.35,             14.59,             19.06,             21.04,             50.50,             16.15,             23.17,             13.33,             11.73,             12.25,              6.68,             13.58,              9.24,              8.82,              9.57,              9.36,             10.81,              4.76,              3.29,              6.56,              4.55,              3.14,              3.55,              4.74,,,,,
Nicaragua,World,Chemicals,Export,Export(US$ Mil),             56.79,             38.80,             59.81,             46.46,             40.62,             33.64,             18.61,             22.75,             21.55,             18.53,             21.00,             21.35,             29.97,             26.27,             42.66,             15.20,             21.35,             18.40,             15.10,             10.17,             10.21,              7.70,              4.39,              5.58,              4.74,              3.95,              4.41,              3.95,              3.68,,,,,
Nicaragua,World,Animal,Export,Export(US$ Mil),           1296.75,           1039.93,           1023.23,            948.13,            993.30,            890.36,            985.99,           1012.78,            874.89,            862.76,            742.93,            612.72,            495.59,            460.90,            419.24,            198.34,            310.43,            283.91,            228.01,            220.17,            155.26,            231.83,            156.61,            151.80,            143.63,            135.68,            148.47,            132.62,            104.88,,,,,
Nicaragua,World,Fuels,Export,Export Product share(%),              0.60,              0.44,              0.30,              0.27,              0.23,              0.18,      0.31,      0.38,      0.46,      1.11,      0.71,      1.25,      0.96,      0.46,      1.03,      0.88,      1.57,      1.22,      1.46,      1.71,      1.76,      1.72,      0.94,      0.59,      0.98,      0.69,      0.62,      1.01,      1.77,,,,,
Nicaragua,El Salvador,All Products,Export,Partner share(%)-Top 5 Export Partner,              5.95,              6.54,              5.59,              5.70,              5.60,              5.70,      5.56,      4.59,      4.76,      5.51,      8.72,     10.73,     14.31,      7.68,     14.09,,     14.18,     14.42,     17.23,     15.51,     14.25,     11.24,     13.40,     10.43,      8.51,      8.80,      8.11,     10.57,      5.70,,,,,
Nicaragua,Guatemala,All Products,Import,Partner share(%)-Top 5 Import Partner,              7.31,              8.47,              6.58,              6.19,,              6.29,      6.95,,,,,,,,      6.13,,      6.82,      6.76,      6.94,      7.57,      8.06,      8.26,      7.75,      7.36,      6.63,      8.39,      7.89,      8.12,      8.84,,,,,
Nicaragua,World,All Products,Trade Indicator,Country Growth (%),             15.07,             -2.61,              3.68,              3.97,             -1.34,              2.49,     -2.24,     -0.30,      3.48,      0.94,     22.38,     11.28,     -2.09,      4.61,      7.36,      6.95,     12.63,     11.72,      6.04,      0.95,      4.69,      8.18,     -0.34,      1.77,     11.13,     11.13,     21.71,     27.66,     -1.01,,,,,
