Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Netherlands,World,Consumer goods,Export,Export(US$ Mil),         239884.38,         194697.37,         211852.85,         210476.21,         186063.59,         167160.29,         165246.89,         210409.79,         212083.85,         198651.11,         199863.46,         152615.53,         132738.09,         165118.33,         138289.64,         115857.77,          99047.00,          88868.62,          74956.51,          60589.09,          58219.19,          63908.60,          52659.85,          50881.61,          61107.88,          54753.93,          54990.26,          46114.67,          42441.69,          45811.77,,,,
Netherlands,World,Minerals,Export,Export(US$ Mil),           3225.23,           2480.10,           2769.23,           2777.15,           2127.09,           1741.57,           2120.21,           2577.54,           2491.95,           2340.36,           2596.95,           1511.12,           1217.57,           2102.53,           2125.08,           1828.54,           1716.43,           1430.06,            833.96,            671.09,            586.85,            546.23,            609.51,            615.38,            646.39,            687.36,            638.44,            558.73,            595.08,            603.24,,,,
Netherlands,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         108104.45,          85522.49,          87905.14,          91644.72,          83979.47,          73922.46,          72793.10,          83355.37,          84312.09,          79488.93,          84792.35,          78104.31,          73281.54,          95216.95,          84579.79,          69729.45,          59126.33,          55828.06,          46470.13,          37702.36,          36055.70,          35433.27,          28374.10,          27150.24,          29075.77,          32895.99,          34168.20,          28787.66,          25124.14,          33437.92,,,,
Netherlands,World,Raw materials,Export,Export(US$ Mil),          62158.56,          52045.00,          51061.00,          51682.57,          48209.63,          43978.15,          43259.74,          51941.03,          51480.90,          50560.31,          51990.81,          40831.11,          36180.08,          41938.17,          38258.72,          30893.28,          26524.37,          24786.97,          20323.89,          15820.75,          14854.40,          14876.59,          15281.07,          14560.95,          15075.20,          17681.67,          18844.69,          17273.67,          15536.79,          17007.20,,,,
Netherlands,World,Capital goods,Export,Export(US$ Mil),         205676.29,         174128.34,         175542.13,         172805.21,         152121.12,         135159.58,         131254.61,         154685.69,         147759.44,         142767.88,         156286.26,         131645.20,         113366.61,         144080.17,         141916.13,         117479.71,         106434.55,          96986.25,          78136.73,          57546.16,          57999.80,          64588.18,          59140.71,          53941.46,          55550.63,          47454.55,          44070.10,          34446.89,          30627.86,          31342.19,,,,
Netherlands,World,Plastic or Rubber,Export,Export(US$ Mil),          38319.56,          28276.57,          28788.70,          31029.90,          28550.44,          25989.03,          26494.63,          31181.57,          30475.56,          29113.45,          31128.99,          23148.84,          19802.94,          25194.47,          23825.49,          20369.11,          17963.72,          16888.64,          13520.76,          10820.50,           9982.65,           9236.49,           9487.15,          10771.26,          11653.05,          11511.10,          12240.37,           9584.61,           8392.76,           9413.41,,,,
Netherlands,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          31334.75,          22881.68,          27619.95,          31002.64,          26294.23,          23331.70,          22798.69,          33772.71,          36482.08,          35204.28,          34091.32,          29336.73,          24616.21,          31272.70,          26854.41,          22783.61,          19357.50,          18248.00,          16999.88,          15558.47,          17429.01,          19015.85,          15515.74,          14407.49,          16240.41,          14364.96,          14614.26,          11379.50,          10056.68,          11394.99,,,,
Netherlands,World,Vegetable,Export,Export(US$ Mil),          48051.62,          40802.40,          38083.87,          38406.33,          36408.69,          33498.57,          31382.94,          36986.11,          37752.49,          35552.19,          36049.12,          27743.04,          26960.49,          31387.52,          25605.56,          20557.19,          18218.82,          17747.93,          16072.64,          12180.21,          10705.37,          10729.94,          11888.88,          11707.09,          11306.45,          12780.24,          13413.44,          12194.00,          10158.92,          10989.82,,,,
Netherlands,World,Footwear,Export,Export(US$ Mil),           5191.95,           3997.43,           4500.96,           4436.34,           3982.14,           3683.09,           3373.19,           3996.57,           3737.93,           3333.11,           3569.22,           2627.94,           2433.41,           2426.11,           1988.60,           1741.48,           1659.17,           1487.87,           1236.65,            838.80,            970.82,            842.11,            764.27,            707.83,            651.82,            682.79,            686.69,            584.67,            584.42,            532.81,,,,
Netherlands,World,Miscellaneous,Export,Export(US$ Mil),          78616.53,          65571.50,          64227.42,          62731.81,          49228.92,          47626.29,          45180.76,          49859.07,          47149.13,          44496.85,          42294.24,          96258.03,          91451.21,         113069.32,          80509.35,          81550.49,          70881.34,          63677.83,          54809.68,          57506.32,          59299.09,          46537.09,          12245.41,          10664.17,          12093.19,          16554.18,          16564.93,          14687.58,          12366.45,          13270.27,,,,
Netherlands,...,...,Import,No. Of Import products,           4521.00,           4503.00,           4503.00,           4506.00,           4496.00,           4532.00,           4519.00,           4515.00,           4526.00,           4532.00,           4546.00,           4519.00,           4518.00,           4525.00,           4526.00,           4786.00,           4784.00,           4781.00,           4792.00,           4766.00,           4821.00,           4820.00,           4855.00,           4884.00,           4890.00,           4859.00,           4931.00,           4933.00,           4942.00,           4928.00,,,,
Netherlands,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,          17670.84,          20995.49,          21240.83,          21162.57,          18050.72,          15526.07,          18987.38,,,,
Netherlands,...,...,Export,No. Of Export products,           4499.00,           4463.00,           4472.00,           4465.00,           4458.00,           4493.00,           4484.00,           4489.00,           4490.00,           4485.00,           4508.00,           4476.00,           4464.00,           4463.00,           4476.00,           4729.00,           4730.00,           4727.00,           4699.00,           4630.00,           4682.00,           4644.00,           4665.00,           4829.00,           4836.00,           4681.00,           4778.00,           4789.00,           4813.00,           4800.00,,,,
Netherlands,...,...,Export,No. Of Export partners,            232.00,            231.00,            234.00,            234.00,            232.00,            235.00,            233.00,            231.00,            235.00,            229.00,            228.00,            227.00,            225.00,            228.00,            230.00,            228.00,            228.00,            224.00,            223.00,            225.00,            226.00,            216.00,            209.00,            210.00,            208.00,            206.00,            212.00,            211.00,            210.00,            207.00,,,,
Netherlands,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         160431.58,         121983.77,         128001.85,         133402.35,         120674.25,         107318.60,         109257.78,         138757.28,         141981.27,         136461.77,         137940.81,         119690.61,         104921.01,         133509.59,         112490.19,          99146.67,          83272.32,          75773.81,          64216.03,          53348.20,          55260.69,          54912.53,          41687.65,          39611.19,          46094.98,          45896.31,          46123.32,          38267.22,          34730.92,          37946.68,,,,
Netherlands,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,          12863.38,          11178.84,          11300.79,          11335.80,          10256.47,          10227.49,          11244.62,          10924.52,          10937.06,           9395.36,           8081.92,          10545.54,,,,
Netherlands,World,Intermediate goods,Export,Export(US$ Mil),         151409.19,         106839.88,         109668.94,         118020.80,         115498.61,          94278.52,          95870.82,         117707.75,         117104.33,         119240.26,         121956.11,          96075.76,          79822.81,         106549.23,          99234.75,          80662.23,          68896.18,          64112.43,          53183.77,          40920.32,          38024.92,          36321.91,          35456.96,          41133.62,          43959.53,          41737.21,          45260.77,          34809.44,          30099.52,          33261.06,,,,
Netherlands,World,Textiles and Clothing,Export,Export(US$ Mil),          21074.60,          17235.99,          17202.52,          16590.43,          14509.91,          13121.41,          12435.87,          15358.49,          14038.51,          12858.07,          14298.82,          10264.45,           9753.62,          10799.79,          10009.34,           8474.79,           7623.14,           7983.35,           6831.34,           5264.15,           4786.83,           4889.23,           5748.82,           6816.69,          13617.41,           6122.69,           6199.11,           5268.21,           4811.90,           5609.10,,,,
Netherlands,World,Food Products,Export,Export(US$ Mil),          44987.23,          39867.30,          38764.04,          39272.87,          37021.95,          35158.05,          34219.68,          40730.54,          39558.65,          36004.51,          37817.15,          30187.88,          28889.41,          30352.89,          26428.73,          21931.90,          20232.36,          19563.22,          17490.14,          14833.13,          12615.15,          12131.33,          12936.59,          12225.08,          13283.04,          14511.45,          15167.16,          12753.37,          11465.62,          11651.35,,,,
Netherlands,World,Consumer goods,Import,Import(US$ Mil),         201961.25,         158452.14,         170518.52,         169981.13,         150717.84,         136494.84,         136679.37,         165186.51,         170169.00,         163131.48,         169979.37,         126392.46,         111904.19,         134879.15,         114204.45,         101807.75,          86183.04,          78029.46,          66802.29,          56036.07,          53001.92,          52592.87,          50939.34,          46859.46,          50782.99,          48643.48,          47674.45,          41436.13,          38091.69,          44023.50,,,,
Netherlands,World,Transportation,Export,Export(US$ Mil),          34428.65,          28911.77,          31768.45,          32015.64,          28664.02,          27046.08,          24271.54,          25118.96,          22861.20,          22280.30,          23840.43,          17234.31,          15603.51,          22861.68,          21308.35,          16634.18,          15262.09,          14651.39,          12393.73,          11121.35,          10378.78,          10712.30,          11181.95,          10870.07,           9830.55,           9588.39,          10125.08,           6943.91,           7241.59,           8172.49,,,,
Netherlands,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          63542.65,          51227.91,          48168.52,          46277.10,          40790.61,          35979.81,          35955.09,          47037.45,          42219.30,          41012.72,          42957.01,          41097.21,          30604.22,          36833.04,          36183.26,          28903.83,          23690.32,          18082.78,,,,,,,,,,,,,,,,
Netherlands,World,Raw materials,Import,Import(US$ Mil),          83239.56,          61977.30,          74205.73,          76886.29,          66676.62,          55889.33,          60104.20,          85711.34,          91764.20,          93093.87,          88726.53,          68386.29,          54353.85,          78459.55,          59646.87,          52422.90,          44244.06,          35236.81,          27952.41,          22244.00,          22740.08,          23951.14,          19862.85,          17899.18,          21273.13,          24361.05,          22784.05,          20000.91,          18037.33,          20451.70,,,,
Netherlands,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          45084.22,          39909.63,          44606.96,          47390.15,          44297.08,          42895.47,          40459.47,          48817.62,          48518.68,          44548.08,          44969.45,          39323.54,          36107.42,          49490.83,          43508.16,          35714.63,          32219.56,          32052.95,          27099.92,          24116.27,          24080.59,          23074.34,          16896.27,          15035.30,          17810.64,          14846.77,          15182.98,          12533.84,          10918.54,          11921.20,,,,
Netherlands,World,Hides and Skins,Export,Export(US$ Mil),           2557.72,           2228.85,           2724.31,           2784.72,           2453.25,           2207.61,           2093.57,           2308.28,           2199.44,           1989.80,           2016.79,           1300.39,           1133.25,           1247.79,           1223.34,           1037.71,            924.28,            845.57,            752.56,            643.77,            627.15,            648.75,            643.65,            621.47,            739.54,            766.65,            806.47,            783.77,            723.70,            858.29,,,,
