Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Norway,World,Consumer goods,Export,Export(US$ Mil),          82578.29,          23260.48,          33850.29,          48376.17,          37057.30,          28994.02,          39317.36,          52643.73,          60467.40,          62473.41,          54764.33,          40157.81,          38351.16,          55512.17,          38456.33,          36128.51,          26970.53,          19357.31,          15823.28,          13180.49,          12510.64,          11643.47,           6805.04,           7040.90,           7652.68,           6885.06,           5661.63,           5018.26,           4449.46,,,,,
Norway,World,Minerals,Export,Export(US$ Mil),            886.84,            719.33,            690.14,            679.90,            629.30,            535.70,            651.40,            896.39,            919.96,           1009.76,            823.84,            628.19,            447.99,            568.80,            515.02,            429.49,            435.90,            416.93,            341.79,            306.50,            278.73,            247.77,            252.38,            276.03,            283.93,            320.59,            310.24,            289.72,            274.56,,,,,
Norway,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          10975.63,           9261.01,           9293.00,           9522.80,           9486.93,           8712.64,           8620.18,          10566.33,          11129.27,          10816.25,          10880.85,           9506.89,           8726.24,          11812.07,          10839.28,           8633.92,           7456.78,           6572.37,           5280.04,           4551.48,           4166.86,           4095.72,           4389.09,           5048.68,           4842.86,           4592.26,           4557.97,           3802.82,           3254.68,,,,,
Norway,World,Raw materials,Export,Export(US$ Mil),          56441.89,          33929.27,          41586.18,          45290.09,          37475.44,          33816.16,          34483.79,          57697.08,          60826.48,          64245.09,          69042.21,          56719.20,          46636.15,          72291.03,          60118.59,          56327.14,          51970.12,          41007.24,          32521.58,          29156.51,          30078.47,          32726.18,          20446.66,          15279.53,          22507.75,          24172.85,          18214.14,          15584.15,          14578.47,,,,,
Norway,World,Capital goods,Export,Export(US$ Mil),          11667.19,           9353.59,          10568.92,           9963.98,           9923.87,          11281.24,          13050.31,          14688.90,          14211.10,          13735.66,          12718.85,          12694.26,          14112.45,          15726.11,          12613.82,          10252.99,           8562.23,           7362.76,           7672.21,           7010.42,           6690.37,           5611.00,           6606.26,           6321.64,           5976.06,           5530.51,           5715.53,           4330.01,           4278.40,,,,,
Norway,World,Plastic or Rubber,Export,Export(US$ Mil),            682.06,            534.21,            553.94,            595.12,            593.34,            538.75,            532.56,            675.19,            647.66,            606.95,            614.36,            556.55,            526.75,            643.14,            590.17,            476.79,            457.70,            410.20,            392.49,            331.15,            328.20,            343.08,            363.24,            408.38,            400.92,            408.53,            427.52,            326.30,            282.14,,,,,
Norway,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4596.13,           4432.56,,,,,           4895.45,           5787.19,           5751.08,           5348.74,           5075.30,           4580.21,,           5235.94,           5506.85,           4112.18,           4034.43,           3180.60,           2852.98,           2537.47,           2593.72,           2797.08,           3145.39,           3701.63,           3369.61,           3191.22,           3203.62,           2830.53,           2197.39,,,,,
Norway,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12600.42,           8064.09,           7988.39,           8208.33,           6738.53,           5757.00,           6127.33,           8185.13,           9013.79,          10204.87,          10377.64,           9168.88,           6853.02,          10622.10,           8878.11,           7841.80,,,,,           4775.79,           5065.38,           4256.73,           3950.77,           4268.66,           4540.62,           4119.11,           3260.20,           2777.78,,,,,
Norway,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1923.25,,,,,
Norway,World,Vegetable,Export,Export(US$ Mil),            352.62,            324.10,            269.33,            254.67,            238.39,            244.05,            236.44,            259.45,            275.36,            286.68,            278.82,            228.20,            200.83,            282.02,            207.65,            167.89,            142.03,            135.16,            113.39,             96.28,             82.24,             78.10,             62.99,             64.81,             68.50,             73.05,             68.43,             53.93,             48.09,,,,,
Norway,World,Footwear,Export,Export(US$ Mil),             70.12,             51.89,             29.65,             27.07,             24.33,             22.33,             23.67,             29.57,             34.66,             36.04,             35.25,             26.53,             31.94,             43.29,             36.36,             26.87,             22.72,             22.28,             19.57,             18.91,             15.25,             15.02,             14.90,             16.70,             22.58,             26.55,             23.58,             16.85,             18.02,,,,,
Norway,World,Miscellaneous,Export,Export(US$ Mil),           7898.33,           6167.21,           6848.28,           6953.71,           6616.95,           6102.90,           7168.06,           8049.61,           8331.15,           8294.99,           8557.12,           7409.72,           6175.01,           9662.42,           7685.44,           6415.58,           5543.92,           5303.38,           4440.46,           3893.29,           3891.05,           3757.08,           3822.11,           3992.75,           3913.64,           4127.74,           3999.23,           3251.95,           2914.46,,,,,
Norway,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           6335.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,...,...,Import,No. Of Import products,           4370.00,           4358.00,           4356.00,           4355.00,           4367.00,           4374.00,           4377.00,           4357.00,           4366.00,           4361.00,           4385.00,           4350.00,           4353.00,           4390.00,           4410.00,           4660.00,           4656.00,           4650.00,           4640.00,           4658.00,           4748.00,           4752.00,           4784.00,           4790.00,           4770.00,           4778.00,           4833.00,           4861.00,           4845.00,,,,,
Norway,Denmark,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           4840.59,           4795.77,,           4064.54,,,           5470.07,           5420.21,           5741.38,           4801.04,           4615.50,           6055.35,           5115.63,           4425.23,           4061.57,           3550.00,           3128.65,           2746.42,           2329.08,           2197.71,           2335.43,           2493.23,           2518.05,           2654.52,           2473.20,           2015.51,,,,,,
Norway,...,...,Export,No. Of Export products,           3628.00,           3610.00,           3630.00,           3634.00,           3661.00,           3664.00,           3656.00,           3648.00,           3639.00,           3638.00,           3581.00,           3579.00,           3493.00,           3557.00,           3563.00,           3775.00,           3792.00,           3801.00,           3804.00,           3756.00,           3868.00,           3902.00,           3942.00,           3928.00,           3927.00,           3923.00,           3972.00,           3970.00,           3867.00,,,,,
Norway,...,...,Export,No. Of Export partners,            206.00,            199.00,            211.00,            206.00,            207.00,            210.00,            212.00,            206.00,            210.00,            207.00,            204.00,            204.00,            206.00,            201.00,            199.00,            195.00,            196.00,            194.00,            194.00,            196.00,            203.00,            200.00,            195.00,            195.00,            199.00,            199.00,            197.00,            200.00,            192.00,,,,,
Norway,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          35548.04,           9970.85,          15056.59,          19687.01,          15822.79,          12774.56,          18451.94,          24476.88,          26702.19,          19279.13,          17041.11,          14453.96,          14578.34,          21009.45,          16701.04,          15028.56,          13085.21,          10823.06,           8841.50,           7562.02,           7176.75,           6309.58,           4565.48,           4986.13,           5283.65,           5456.73,           4981.02,           4322.30,           4149.23,,,,,
Norway,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           5787.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,World,Intermediate goods,Export,Export(US$ Mil),          18726.19,          12468.87,          13638.89,          14794.45,          13336.82,          12041.36,          12766.29,          14882.61,          14849.63,          15600.19,          18439.52,          16484.98,          13772.06,          19161.64,          19660.37,          15217.39,          12711.70,          11162.18,           9106.51,           7846.98,           7292.68,           7716.83,           7185.79,           7495.88,           7490.75,           7480.74,           7742.50,           5972.61,           5168.74,,,,,
Norway,World,Textiles and Clothing,Export,Export(US$ Mil),            438.65,            341.02,            264.68,            271.95,            264.69,            244.72,            236.78,            294.83,            300.94,            299.64,            293.85,            251.17,            240.95,            301.84,            332.55,            283.36,            263.84,            253.45,            238.72,            228.36,            210.43,            209.92,            257.87,            265.12,            267.49,            273.17,            274.12,            250.97,            180.98,,,,,
Norway,World,Food Products,Export,Export(US$ Mil),           1299.48,           1035.25,           1013.69,            988.92,            807.64,            733.55,            671.48,            750.37,            660.30,            668.20,            635.02,            552.64,            493.71,            578.14,            555.33,            504.76,            504.86,            498.30,            468.28,            482.11,            430.65,            438.08,            521.91,            583.97,            522.21,            556.44,            491.62,            481.54,            419.97,,,,,
Norway,World,Consumer goods,Import,Import(US$ Mil),          41469.73,          33190.62,          33461.57,          34383.01,          33772.17,          29898.61,          30463.84,          35907.57,          36636.12,          34925.17,          34573.19,          30137.61,          26441.74,          31770.71,          29605.51,          24488.91,          21567.46,          19169.47,          15986.17,          13514.12,          11978.16,          12096.32,          12044.85,          12587.07,          12059.61,          11780.91,          11162.24,           9444.99,           8188.43,,,,,
Norway,World,Transportation,Export,Export(US$ Mil),           3709.93,           2193.18,           2929.04,           2887.03,           3094.41,           3333.13,           2597.73,           2773.29,           2668.12,           2485.10,           2859.17,           2454.69,           2869.22,           3717.79,           3358.09,           3173.13,           2704.24,           2338.85,           3167.27,           2732.71,           2758.92,           1785.72,           2488.52,           2114.97,           2162.40,           1756.02,           2307.72,           1761.25,           2003.94,,,,,
Norway,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          13121.71,           9740.30,           8751.03,           8788.33,           8409.85,           8011.72,           8049.03,           8484.22,           8260.52,           8077.56,           8290.99,           6565.41,           5307.96,           5691.05,           4826.92,           3659.33,           3110.61,           2402.20,,,,,,,,,,,,,,,,
Norway,World,Raw materials,Import,Import(US$ Mil),           5919.86,           4874.04,           5815.57,           6106.51,           4734.16,           3611.99,           3909.43,           4956.37,           5621.74,           5351.11,           5398.60,           4464.54,           3701.98,           4933.12,           4515.71,           3168.49,           3177.92,           2744.65,           2359.86,           2107.45,           2120.17,           2082.24,           2229.71,           2281.99,           2220.88,           2237.14,           2168.07,           1760.85,           1419.66,,,,,
