Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Nepal,World,Consumer goods,Export,Export(US$ Mil),           1315.59,            604.34,            633.99,            434.90,            409.38,            436.97,            361.01,            431.11,            384.92,            394.19,            430.20,            379.05,            373.65,,,,,,            407.64,,,            483.63,            379.85,            275.67,,,,            325.96,,,,,,
Nepal,World,Minerals,Export,Export(US$ Mil),              5.88,              0.10,              0.11,              0.03,              0.04,              0.05,              0.07,             17.03,              9.43,             12.48,             16.23,             11.19,             28.82,,,,,,              7.33,,,              1.31,              0.98,              0.54,,,,              0.54,,,,,,
Nepal,World,Raw materials,Export,Export(US$ Mil),             43.86,             36.83,             37.86,             46.69,             43.86,             33.92,             46.04,             92.77,             65.59,             58.55,             65.45,             59.36,             84.82,,,,,,             20.88,,,              5.98,             12.39,              9.20,,,,             15.99,,,,,,
Nepal,World,Capital goods,Export,Export(US$ Mil),              9.47,             10.39,             15.09,             13.23,             14.23,             10.69,             11.76,              8.98,             11.34,             10.14,             11.58,             20.00,             20.96,,,,,,              6.87,,,              6.51,              6.69,              3.80,,,,             15.47,,,,,,
Nepal,World,Plastic or Rubber,Export,Export(US$ Mil),              8.58,              7.03,              8.08,              7.71,              8.45,              8.45,             10.17,             14.36,             16.89,             19.57,             17.19,             22.52,             25.46,,,,,,             18.64,,,              0.27,              4.45,              0.00,,,,              0.28,,,,,,
Nepal,Bhutan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,             18.64,,,,,,,,,,,,,,,,,,,,,,
Nepal,World,Vegetable,Export,Export(US$ Mil),           1010.70,            380.20,            362.59,            143.22,            109.08,            102.40,            110.72,            142.08,            101.61,            150.38,            126.24,            152.00,            175.85,,,,,,             99.79,,,             22.10,             92.14,             29.03,,,,             20.70,,,,,,
Nepal,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            110.06,,,,             88.49,            101.13,            102.14,,,,,,,,,,,,,,,,,,,,,,
Nepal,World,Footwear,Export,Export(US$ Mil),             10.28,              7.15,             11.75,             19.36,             18.52,             22.58,             23.25,             27.87,             29.18,             25.15,             27.34,             16.81,             11.00,,,,,,              4.97,,,              2.23,              4.64,              0.00,,,,              0.45,,,,,,
Nepal,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            415.53,            182.29,            255.35,            242.31,            175.09,            210.02,            266.31,            417.82,            391.13,            374.24,            328.78,            193.69,,,,,,,,,,,             58.79,             65.74,,,,,,,,,,
Nepal,World,Miscellaneous,Export,Export(US$ Mil),             16.20,             11.43,             15.78,             18.49,             13.40,             10.35,             11.90,             17.42,             50.75,             10.11,             12.94,             11.58,             23.08,,,,,,             10.03,,,            165.63,              7.76,             85.74,,,,              3.36,,,,,,
Nepal,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             28.01,             20.23,             21.91,,,             23.87,,,,,,             22.43,,,,              8.79,,,,,,,,,,,
Nepal,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            111.67,,,,,,,,,,,,,,,            143.37,,,,,,,,,,,,
Nepal,...,...,Import,No. Of Import products,           4137.00,           4072.00,           4164.00,           4163.00,           4146.00,           4192.00,           4066.00,           4134.00,           4004.00,           4062.00,           4070.00,           4022.00,           3892.00,,,,,,           4167.00,,,           2096.00,           3492.00,            256.00,,,,           4250.00,,,,,,
Nepal,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1333.73,            623.92,            659.58,            461.82,            420.18,            394.60,            419.09,            584.11,            578.09,            601.18,            614.38,            570.59,            562.81,,,,,,            341.80,,,            317.79,            186.60,            136.44,,,,             44.17,,,,,,
Nepal,...,...,Export,No. Of Export products,            764.00,            670.00,            928.00,           1035.00,           1093.00,           1106.00,            897.00,           1151.00,           1175.00,           1051.00,           1019.00,           1088.00,           1167.00,,,,,,           1086.00,,,            329.00,            789.00,            120.00,,,,           1359.00,,,,,,
Nepal,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,             11.71,,,,,,
Nepal,...,...,Export,No. Of Export partners,            126.00,            122.00,            121.00,            109.00,            124.00,            132.00,            127.00,            128.00,            135.00,            132.00,            133.00,            146.00,            146.00,,,,,,             78.00,,,             68.00,             54.00,             58.00,,,,             56.00,,,,,,
Nepal,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             29.86,             23.64,             28.32,             29.46,             29.10,             29.44,             26.76,             32.34,             33.53,             29.51,             40.90,             35.73,             35.97,,,,,,             22.12,,,            105.52,            115.55,            103.15,,,,            202.41,,,,,,
Nepal,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            293.07,            155.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
