Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
New Zealand,World,Consumer goods,Export,Export(US$ Mil),          10618.06,           9822.75,          10457.59,          10838.60,          10312.70,           8722.18,           8397.54,           9618.86,           9020.64,           8665.83,          11083.17,           7650.76,           6082.25,           7275.68,           6685.25,           5477.41,           5309.33,           4702.22,           3785.89,           3171.52,           2941.92,           2756.25,           2680.10,           2579.78,           2911.77,           2906.12,           2634.47,           2373.60,           1976.20,           1779.09,           1645.53,           1546.69,           1371.13,
New Zealand,World,Minerals,Export,Export(US$ Mil),             86.82,             62.78,             52.09,             52.60,             71.62,             62.29,             55.82,             61.85,            132.09,            138.73,             84.25,             73.17,             52.46,             76.71,             52.95,             57.50,             75.05,             55.53,             38.93,             36.55,             32.54,             35.19,             42.07,             40.86,             32.64,             45.58,             42.25,             46.21,             45.60,             46.39,             39.68,             28.18,             23.97,
New Zealand,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2410.20,           1748.84,           2378.62,           2207.35,           2142.50,           1747.37,           1710.86,           2043.48,           1826.64,,,           1256.38,           1069.82,,,,           1269.49,           1206.97,            982.61,            773.91,            641.24,            590.98,            588.56,,,            689.60,            664.41,            542.56,            416.53,            383.50,            355.07,            440.68,            368.15,
New Zealand,World,Raw materials,Export,Export(US$ Mil),          16103.71,          13292.47,          13573.74,          13480.03,          12520.97,          11167.95,          11355.88,          12805.00,          12020.39,          11619.33,          15101.15,           9756.81,           7999.48,           9721.75,           8085.55,           6766.89,           6956.00,           6593.73,           5402.29,           4726.12,           4372.33,           4396.24,           4250.15,           4136.13,           5018.90,           5342.59,           5201.75,           4731.07,           4355.28,           4193.03,           4109.48,           4070.53,           4052.11,
New Zealand,World,Capital goods,Export,Export(US$ Mil),           3562.30,           3358.63,           2881.43,           2856.86,           2773.35,           2806.89,           2809.65,           2976.21,           2941.72,           3045.78,           3834.20,           2603.65,           2354.83,           2789.23,           2638.40,           2573.43,           2367.19,           2205.34,           1725.35,           1368.09,           1196.74,           1318.42,           1270.32,           1123.63,           1216.39,           1106.91,           1090.52,            937.83,            739.50,            688.62,            673.39,            618.13,            551.98,
New Zealand,World,Plastic or Rubber,Export,Export(US$ Mil),            409.41,            371.99,            385.70,            405.75,            399.91,            374.62,            382.66,            441.54,            433.26,            427.14,            539.57,            381.75,            314.03,            378.06,            382.61,            367.16,            415.48,            379.29,            297.54,            244.10,            218.73,            223.39,            222.38,            211.66,            240.28,            239.59,            235.73,            203.82,            169.24,            140.41,            123.68,            108.16,            105.81,
New Zealand,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            547.63,            737.90,            770.52,            818.08,            737.54,            562.42,            581.58,            546.90,            691.78,            776.42,
New Zealand,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3122.59,           2043.98,           2761.54,           3032.83,           2960.72,           2556.77,           2389.22,           2833.25,           2530.47,           2473.65,           2921.30,           2245.58,           1895.10,           2802.55,           2911.17,           2407.55,           2872.26,           2587.67,           2171.11,           1803.12,           1467.44,           1558.66,           1771.01,           1342.40,           1705.06,           2103.21,           1935.93,           1826.35,           1565.72,           1353.16,           1323.75,           1472.47,           1616.90,
New Zealand,World,Vegetable,Export,Export(US$ Mil),           3612.61,           3307.33,           2958.83,           2897.28,           2594.83,           2548.78,           2234.44,           2228.62,           1985.67,           2018.29,           2540.26,           1711.27,           1536.66,           1682.33,           1550.19,           1254.81,           1299.44,           1406.80,           1032.12,            862.47,            761.69,            833.51,            959.34,            848.25,            916.30,            982.97,           1035.35,            810.40,            703.39,            744.87,            725.80,            771.66,            609.35,
New Zealand,World,Footwear,Export,Export(US$ Mil),             32.43,             25.56,             40.65,             40.84,             42.26,             41.94,             44.62,             44.60,             46.20,             49.07,             71.96,             54.90,             47.45,             53.49,             58.27,             48.61,             49.46,             51.71,             36.97,             32.94,             32.26,             29.02,             33.86,             28.66,             34.59,             33.59,             35.97,             32.63,             23.93,             21.80,             21.53,             23.10,             13.76,
