Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Other Asia, nes",World,Consumer goods,Export,Export(US$ Mil),          67962.18,          53625.22,          58614.86,          59233.12,          53516.86,          49760.61,          53152.23,          63985.71,          63248.46,          63113.15,          58345.49,          50532.40,          39349.24,          51092.01,          49022.57,          44272.46,          40010.66,          34639.98,          29499.20,          25980.74,          26015.67,          30302.18,          27254.06,          26419.87,          29982.44,,,,,,,,,
"Other Asia, nes",World,Minerals,Export,Export(US$ Mil),           2108.01,           1279.15,           1195.53,            812.40,            928.98,           1141.48,            333.68,            403.79,            510.68,            457.51,            482.08,            447.17,            396.34,            554.06,            390.34,            336.13,            311.04,            208.97,            160.20,            116.49,            116.84,            110.22,            103.78,            103.86,            161.65,,,,,,,,,
"Other Asia, nes",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           9956.50,           9206.26,           8641.67,           8600.52,,,,,,,,,,,           5854.32,           4986.23,           4421.31,           4245.67,           5541.54,           5326.43,           5154.50,           5359.29,,,,,,,,,
"Other Asia, nes",World,Raw materials,Export,Export(US$ Mil),           5576.26,           4120.74,           4467.89,           4200.82,           3978.64,           3819.69,           3000.14,           3451.28,           3035.87,           3606.99,           3604.40,           2806.43,           2233.07,           3004.51,           2621.69,           2428.17,           2368.19,           2220.31,           1876.61,           1695.20,           1605.86,           1751.24,           1574.02,           1608.28,           2093.38,,,,,,,,,
"Other Asia, nes",World,Capital goods,Export,Export(US$ Mil),         284012.42,         224691.37,         196313.75,         192797.03,         187272.51,         163097.77,         156139.64,         167148.96,         158358.13,         154811.98,         159671.07,         147484.12,         105907.39,         125027.46,         130563.39,         122759.19,          98938.06,          95155.57,          84470.40,          72349.67,          66876.29,          83209.63,          64500.99,          57150.52,          58995.89,,,,,,,,,
"Other Asia, nes",World,Plastic or Rubber,Export,Export(US$ Mil),          30051.85,          21427.66,          22655.16,          25312.86,          23061.36,          19991.12,          21032.71,          24138.26,          24670.72,          24161.15,          25102.57,          22189.81,          16530.73,          18790.29,          18899.42,          15908.27,          14601.02,          12561.56,          10032.68,           8798.60,           7992.41,           9055.49,           7418.16,           6897.67,           7703.75,,,,,,,,,
"Other Asia, nes",Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          56274.24,          46149.04,          44065.75,          44073.53,          41999.29,          40662.69,          38644.40,          41678.07,          43069.30,          47650.05,          52167.51,          51940.36,          36312.87,          44619.76,          46016.71,          46283.56,          45940.30,          43842.43,          32719.52,          27276.75,          25847.74,          38556.95,          30654.44,          27004.75,          29003.74,,,,,,,,,
"Other Asia, nes",World,Vegetable,Export,Export(US$ Mil),           1025.24,            957.39,            946.72,            883.78,            793.51,            775.49,            772.42,            706.33,            660.39,            638.91,            611.02,            510.45,            417.88,            446.70,            393.25,            344.78,            322.52,            348.94,            341.22,            309.10,            312.30,            360.97,            397.08,            327.43,            375.71,,,,,,,,,
"Other Asia, nes",World,Footwear,Export,Export(US$ Mil),            427.07,            305.21,            358.89,            378.76,            388.88,            382.56,            406.25,            436.72,            325.33,            471.70,            490.82,            443.38,            373.84,            441.77,            468.37,            506.21,            529.29,            616.11,            609.53,            651.72,            741.06,            920.48,            963.72,           1044.48,           1397.06,,,,,,,,,
"Other Asia, nes",World,Miscellaneous,Export,Export(US$ Mil),          32008.42,          25814.13,          24227.61,          24082.09,          24378.80,          22190.69,          25009.93,          27833.65,          31295.70,          29552.87,          29782.88,          28969.08,          20921.87,          25733.49,          24917.21,          23324.31,          18526.85,          16039.07,          12671.77,           8699.42,           7595.58,           9566.53,           8038.36,           7575.13,           8565.72,,,,,,,,,
"Other Asia, nes","Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          63161.94,          49263.14,          40369.86,          41552.19,          41278.67,          38394.88,          38016.51,          42526.67,          39211.75,          37857.54,          39918.17,          37687.14,          29428.63,          31236.27,          37932.72,          37380.41,          30720.71,          29879.04,          30868.19,          30847.54,          26964.26,          31335.63,          26341.52,          25389.34,          28759.77,,,,,,,,,
"Other Asia, nes",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         126253.72,         102974.75,          91878.85,          96733.34,          89059.27,          73848.22,          71112.16,          82086.04,          81325.49,          80556.92,          83591.91,          76692.93,          54163.16,          63773.04,          62359.55,          51808.18,          40879.07,          34072.73,          22890.76,           9960.86,           4754.72,,,,,,,,,,,,,
"Other Asia, nes",...,...,Import,No. Of Import products,           4375.00,           4394.00,           4392.00,           4402.00,           4407.00,           4434.00,           4436.00,           4420.00,           4408.00,           4445.00,           4452.00,           4443.00,           4443.00,           4686.00,           4692.00,           4682.00,           4694.00,           4689.00,           4715.00,           4705.00,           4684.00,           4706.00,           4709.00,           4701.00,           4711.00,,,,,,,,,
"Other Asia, nes",...,...,Export,No. Of Export products,           4066.00,           4111.00,           4108.00,           4158.00,           4172.00,           4238.00,           4211.00,           4231.00,           4198.00,           4223.00,           4272.00,           4248.00,           4242.00,           4451.00,           4462.00,           4427.00,           4368.00,           4392.00,           4501.00,           4435.00,           4360.00,           4362.00,           4492.00,           4544.00,           4464.00,,,,,,,,,
"Other Asia, nes",...,...,Export,No. Of Export partners,            218.00,            219.00,            216.00,            221.00,            215.00,            216.00,            213.00,            217.00,            218.00,            222.00,            223.00,            222.00,            223.00,            222.00,            224.00,            219.00,            216.00,            220.00,            193.00,            213.00,            217.00,            216.00,            185.00,            183.00,            184.00,,,,,,,,,
"Other Asia, nes",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           4480.22,,           4022.49,           4104.09,,,,,,,,,,
"Other Asia, nes","Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30719.66,          20683.89,          17760.69,          19539.31,          16913.96,          14636.79,          13012.61,          14781.43,          15732.54,          15098.31,          17840.96,          16050.14,          10529.92,          12622.88,          15183.73,          14999.44,          13203.48,          11684.68,           8738.16,           7711.04,           6704.91,           8987.94,           7208.96,           5666.32,           5026.85,,,,,,,,,
"Other Asia, nes",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,           5312.32,           4794.30,,,,,,,,,
