Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Oman,World,Consumer goods,Export,Export(US$ Mil),          12149.85,           9125.29,          10057.45,          12146.99,           9437.06,          11814.83,          10643.43,          10543.61,          11099.22,          10041.46,           5605.80,           5293.19,           5284.47,           8852.28,           6338.96,           4303.35,           3243.11,           2442.95,           1273.37,           2500.58,           2416.11,           1460.03,            969.70,           1079.51,           1106.39,            748.66,            674.02,            787.64,            741.91,            608.76,            485.37,            331.81,            164.73,
Oman,World,Minerals,Export,Export(US$ Mil),           1417.39,           1025.45,            888.87,           1233.31,           1225.78,            376.25,            592.07,            889.46,           1588.33,           1102.08,            435.43,            244.91,            201.24,            275.71,            188.19,            137.79,             90.81,             76.83,              0.19,             56.40,             49.10,             40.99,             27.41,             13.97,             14.54,             10.03,              6.93,              4.14,              1.35,              0.98,              0.59,              0.29,              0.30,
Oman,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            847.37,            551.38,            605.56,            424.37,,,            245.30,            187.40,            183.99,,            267.00,            236.03,            215.61,            192.13,            181.49,            200.60,            166.89,            130.05,            124.02,
Oman,World,Raw materials,Export,Export(US$ Mil),          20773.18,          14670.57,          21018.85,          21775.99,          16656.85,          13687.94,          18373.30,          31419.94,          33970.16,          32069.14,          28414.79,          21362.13,          14317.00,          22348.61,          14727.56,          14623.56,          13404.37,           9278.46,           8323.19,           7587.56,           7780.65,           8838.49,           5500.70,           3732.08,           5816.46,           5914.58,           4765.12,           4227.78,           4256.85,           4623.36,           4173.40,           4992.29,           3579.83,
Oman,World,Capital goods,Export,Export(US$ Mil),           2236.63,           3230.99,           2171.84,           1850.77,            826.57,            541.59,           2052.88,            691.67,            416.07,            573.70,            497.44,            540.28,            607.24,            412.33,            294.87,            208.59,            180.37,            183.14,            161.57,            597.98,            432.74,            286.07,            446.77,            446.82,            420.37,            353.63,            291.96,            224.90,            163.12,            120.76,            100.23,             65.77,             68.98,
Oman,World,Plastic or Rubber,Export,Export(US$ Mil),           2380.14,           1382.11,            586.91,            734.56,            599.23,            399.33,            756.54,            956.47,            781.18,            682.85,            807.93,            678.01,            663.86,            499.95,            307.37,             93.36,             96.02,             86.64,              6.08,             56.94,             53.02,             43.94,             54.28,             48.41,             42.67,             40.34,             28.33,             20.31,             19.93,             13.31,             13.81,              6.80,              5.15,
Oman,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            426.45,,            364.40,            348.24,            293.31,            319.58,            413.51,            371.44,            403.80,            444.70,            346.22,            343.20,            319.80,            320.67,            308.35,            263.28,
Oman,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           1605.40,           2260.99,,           3323.03,,           2985.58,           3307.08,           2681.34,           3568.49,           2520.31,           1883.03,           1388.76,           1206.83,            621.71,            968.76,            892.12,            912.53,            711.79,            894.08,            831.15,            786.50,            671.35,            779.02,            859.72,            876.91,            654.01,            455.35,            354.43,
Oman,World,Vegetable,Export,Export(US$ Mil),            537.39,            463.66,            386.54,            403.00,            416.28,            474.76,            404.38,            384.25,            480.69,            287.94,            308.17,            275.26,            242.61,            305.09,            149.57,            114.92,            123.71,             98.85,             12.89,             82.03,             81.00,             85.86,             66.50,             84.80,             76.82,             49.51,             57.40,             47.27,             37.65,             32.28,             21.74,             19.52,             16.77,
Oman,World,Footwear,Export,Export(US$ Mil),             27.13,             23.48,             31.09,             35.49,             28.17,              6.81,              8.15,             12.38,             10.18,             27.11,             18.73,             16.07,             17.91,             19.74,             20.44,             11.16,              2.91,             16.83,             16.53,              3.95,              2.04,              1.90,              2.79,              4.64,              5.61,              1.59,              0.52,              0.20,              0.13,              0.16,              1.54,              1.56,              0.60,
