Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Panama,World,Consumer goods,Export,Export(US$ Mil),            147.13,           5168.10,           6380.21,           6889.14,           6514.96,           6525.51,           7543.73,           8696.30,           9017.13,           9992.89,           9438.23,           6986.48,           6380.70,           6889.71,           6110.64,           5645.56,            104.75,            119.14,            115.35,            157.25,            198.10,            205.67,            122.67,            120.92,            112.30,            107.20,            117.36,,,,,,,
Panama,World,Minerals,Export,Export(US$ Mil),           2946.63,            252.98,              0.31,              0.47,              0.09,              0.21,              0.31,              1.18,              0.78,              1.29,              2.62,             13.20,              0.39,              3.87,              0.50,              0.44,              0.01,              0.08,              0.02,              0.00,              2.27,,              0.02,              0.07,              0.10,              0.03,              0.05,,,,,,,
Panama,World,Raw materials,Export,Export(US$ Mil),           3444.71,            658.66,            410.95,            445.56,            464.87,            429.01,            459.74,            514.27,            501.81,            452.76,            438.66,            478.94,            639.45,            906.15,            846.30,            787.73,            740.83,            664.76,            580.33,            497.36,            470.07,            444.44,            424.24,            435.25,            393.80,            337.77,            365.24,,,,,,,
Panama,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            236.72,            244.15,            185.21,            108.74,            166.80,            107.38,            134.03,,,,,,,
Panama,World,Capital goods,Export,Export(US$ Mil),             13.96,           2131.03,           2162.13,           1981.12,           1857.51,           1563.46,           1420.81,           1600.57,           1736.38,           1875.77,           1658.34,           1163.89,            982.44,           1186.24,           1022.51,           1082.77,             23.06,             17.60,             25.16,             21.43,             42.80,             23.30,             15.85,             11.62,             22.50,             15.83,              6.81,,,,,,,
Panama,World,Plastic or Rubber,Export,Export(US$ Mil),              8.30,            273.48,            326.92,            297.25,            298.70,            354.79,            341.60,            369.27,            356.27,            374.40,            359.71,            240.72,            169.06,            192.14,            165.83,            155.80,              6.10,              6.47,              7.67,              8.02,             10.48,             11.13,              8.46,              8.08,              6.38,              6.42,              6.07,,,,,,,
Panama,Sweden,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             54.26,             57.99,             49.87,             46.12,             30.31,             66.41,,             50.90,             54.41,             57.78,             28.01,,,,,,,
Panama,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,            646.55,            570.11,,            188.22,            189.83,            193.23,            164.64,,            187.46,            254.09,            304.22,            210.70,            167.93,            126.79,,,,,,,
Panama,World,Vegetable,Export,Export(US$ Mil),            294.79,            256.09,            234.32,            198.96,            201.43,            179.74,            196.45,            218.19,            218.39,            203.21,            184.91,            177.89,            203.51,            423.82,            427.59,            358.77,            279.81,            220.75,            195.93,            186.33,            179.68,            204.39,            234.80,            213.15,            243.20,            223.43,            247.93,,,,,,,
Panama,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            496.99,            475.19,            255.74,,,,,,,,,,,,,,,,
Panama,World,Footwear,Export,Export(US$ Mil),              0.05,            602.76,            889.15,            863.00,            848.60,            881.85,           1009.88,           1164.91,           1183.29,           1383.23,           1350.02,            976.38,            858.83,            931.70,            834.14,            778.00,              0.09,              0.19,              0.07,              0.03,              0.03,              0.14,              0.41,              1.00,              0.67,              0.52,              0.32,,,,,,,
