Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Palau,World,Consumer goods,Export,Export(US$ Mil),,,,              0.15,              0.50,              0.83,              0.61,              1.33,,              0.52,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Minerals,Export,Export(US$ Mil),,,,              0.05,              0.04,              0.00,              0.00,              0.03,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Raw materials,Export,Export(US$ Mil),,,,              7.79,              1.51,              0.50,              0.63,              5.60,,              7.65,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Capital goods,Export,Export(US$ Mil),,,,              0.64,              4.37,              5.07,              3.87,              3.13,,              0.56,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Plastic or Rubber,Export,Export(US$ Mil),,,,              0.02,              0.02,              0.05,              0.11,              0.06,,              0.02,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,             15.59,             19.79,             19.96,             17.39,             20.08,             35.21,             13.71,             20.33,             13.17,              7.50,             11.77,             10.30,,,,,,,,,,,,,,,,,,,
Palau,World,Vegetable,Export,Export(US$ Mil),,,,              0.00,              0.00,              0.02,              0.01,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,              0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Footwear,Export,Export(US$ Mil),,,,              0.00,              0.00,              0.00,              0.00,              0.00,,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Palau,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              0.12,              0.13,              0.24,,              0.25,,,,,,,,,,,,,,,,,,,,,,,,
Palau,World,Miscellaneous,Export,Export(US$ Mil),,,,              0.01,              1.19,              3.64,              2.28,              1.42,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
