Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Poland,World,Consumer goods,Export,Export(US$ Mil),         140580.68,         117315.74,         113747.33,         118573.77,         100589.63,          90911.20,          88240.89,          95105.96,          89215.34,          78391.35,          83377.03,          72051.99,          64873.21,          75030.98,          61257.90,          48862.48,          39485.51,          31638.03,          23056.11,          17483.86,          15617.66,          13801.34,          12263.32,          12817.06,          11783.39,          10829.66,           9299.20,           6695.76,,,,,,
Poland,World,Minerals,Export,Export(US$ Mil),            492.02,            397.33,            409.33,            595.25,            362.30,            372.21,            299.27,            409.57,            363.19,            346.04,            335.63,            276.60,            262.09,            488.98,            394.96,            350.15,            241.88,            192.86,            140.73,            159.79,            133.90,            150.62,            177.57,            214.08,            280.33,            354.99,            416.82,            369.99,,,,,,
Poland,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          70635.85,          55799.65,          52736.10,          59956.98,          49468.65,          43177.70,          42886.47,          47026.90,          44229.67,          40068.80,          46426.28,          37784.40,          33418.47,          48555.43,          39434.62,          30144.30,          25053.38,          21479.22,          16543.81,          13362.47,          12003.27,          11661.47,          11583.02,          12441.09,          10180.00,           9166.32,           7736.57,           5843.93,,,,,,
Poland,World,Raw materials,Export,Export(US$ Mil),          20770.28,          16540.36,          15970.33,          16844.12,          14075.81,          12317.95,          12949.50,          14762.47,          14940.35,          12112.62,          11578.80,           9898.17,           8524.70,          10473.21,           8651.04,           7249.84,           6379.68,           5185.16,           3504.34,           2774.77,           2576.24,           2219.99,           2290.26,           2553.44,           2604.54,           2541.15,           2718.35,           2294.19,,,,,,
Poland,World,Capital goods,Export,Export(US$ Mil),          94830.47,          76112.92,          76390.65,          78732.34,          65396.10,          58842.07,          58380.22,          63955.28,          59175.98,          50749.83,          52344.17,          44127.30,          38558.22,          50158.26,          39371.53,          29639.52,          24618.86,          20681.85,          14938.70,          11435.99,           9446.88,           7619.32,           5804.84,           5910.36,           4275.95,           4509.58,           3866.35,           2701.24,,,,,,
Poland,World,Plastic or Rubber,Export,Export(US$ Mil),          22233.98,          17094.04,          17075.35,          18975.68,          15587.35,          13776.59,          13397.54,          14867.06,          14627.78,          12622.82,          13276.96,          10257.14,           8345.34,          10541.03,           8793.48,           6773.58,           4969.82,           3790.87,           2809.53,           2045.68,           1657.28,           1377.78,           1083.44,           1047.89,            937.05,            821.24,            736.38,            432.85,,,,,,
Poland,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           2105.61,           2055.99,           2145.04,           2105.46,           2304.72,           2320.01,           2186.88,           1502.69,           1102.93,,,,,,
Poland,World,Vegetable,Export,Export(US$ Mil),           8579.59,           7176.44,           5845.04,           5710.26,           5006.33,           5145.87,           5656.45,           6178.48,           6164.04,           4806.30,           4031.94,           3525.36,           3596.53,           3617.23,           2997.98,           2134.84,           1909.40,           1532.63,           1165.79,            862.65,            732.43,            690.03,            841.57,            822.57,            705.03,            653.32,            732.52,            571.91,,,,,,
Poland,World,Footwear,Export,Export(US$ Mil),           3448.53,           2863.41,           2676.04,           2298.33,           1636.87,           1352.42,           1174.19,           1167.44,           1081.16,            839.64,            759.47,            617.45,            490.92,            585.34,            500.47,            425.50,            386.82,            343.96,            320.78,            309.07,            290.23,            283.31,            281.16,            293.88,            309.21,            331.99,            272.36,            204.89,,,,,,
Poland,World,Miscellaneous,Export,Export(US$ Mil),          28704.61,          23423.19,          23538.79,          23653.91,          20077.96,          16827.00,          15477.21,          15734.45,          13962.67,          11895.98,          12583.77,          10301.53,           9482.70,          11829.65,          10066.19,           8179.19,           7324.30,           6290.56,           4804.89,           3524.36,           3038.66,           2695.30,           3097.35,           2467.23,           2437.68,           2097.46,           1738.54,           1192.89,,,,,,
Poland,Czech Republic,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19029.90,          15029.81,          15503.21,          16657.34,          14051.81,          12749.50,          12687.29,          13421.23,          12521.86,          11140.72,          11674.79,           9319.73,           8005.68,           9803.72,           7683.77,           6066.94,           4076.86,           3188.53,,,,,,,,,,,,,,,,
Poland,...,...,Import,No. Of Import products,           4470.00,           4479.00,           4387.00,           4499.00,           4505.00,           4520.00,           4523.00,           4529.00,           4520.00,           4529.00,           4554.00,           4561.00,           4556.00,           4568.00,           4558.00,           4812.00,           4802.00,           4820.00,           4181.00,           4141.00,           4150.00,           4138.00,           4153.00,           4152.00,           4126.00,           4073.00,           4038.00,           4163.00,,,,,,
Poland,...,...,Export,No. Of Export products,           4313.00,           4289.00,           4323.00,           4405.00,           4389.00,           4408.00,           4422.00,           4409.00,           4407.00,           4394.00,           4425.00,           4391.00,           4375.00,           4395.00,           4394.00,           4578.00,           4556.00,           4646.00,           3233.00,           3140.00,           3106.00,           3072.00,           3045.00,           3121.00,           3050.00,           3035.00,           2975.00,           3102.00,,,,,,
Poland,...,...,Export,No. Of Export partners,            223.00,            226.00,            226.00,            223.00,            224.00,            224.00,            223.00,            218.00,            222.00,            213.00,            213.00,            210.00,            208.00,            210.00,            209.00,            210.00,            208.00,            216.00,            180.00,            175.00,            172.00,            168.00,            153.00,            163.00,            168.00,            158.00,            164.00,            161.00,,,,,,
Poland,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          91052.40,          73512.69,          69224.85,          73691.77,          60209.65,          53033.75,          52261.45,          55615.02,          50941.99,          44741.11,          48868.86,          40890.94,          35679.59,          43104.49,          35901.25,          29701.29,          25224.69,          22132.31,          17241.53,          13209.20,          12377.32,          11005.32,           9903.80,          10233.28,           8483.64,           8417.33,           8777.55,           6114.64,,,,,,
