Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Portugal,World,Consumer goods,Export,Export(US$ Mil),          35880.94,          29618.97,          32759.10,          36771.17,          30716.99,          27618.15,          27802.69,          32359.24,          32321.92,          29525.02,          30340.86,          24978.10,          22915.45,          27507.21,          25111.53,          22385.34,          19774.11,          19184.41,          17129.37,          14587.55,          14043.09,          14341.02,          15141.31,          15249.96,          14564.32,          14880.01,          14242.77,          10529.27,           9926.68,          11798.12,          10082.25,           9888.92,           7398.91,           6441.36
Portugal,World,Minerals,Export,Export(US$ Mil),           1176.43,            784.12,            902.08,           1057.61,            829.00,            706.42,            874.38,           1049.58,           1024.93,            975.79,           1018.82,            894.69,            696.60,            982.36,           1018.76,            798.84,            497.56,            392.97,            184.81,            154.23,            150.89,            164.94,            172.13,            195.59,            244.85,            268.05,            349.30,            288.23,            259.02,            319.50,            329.10,            388.28,            286.35,             90.77
Portugal,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12210.78,          10385.97,          11871.97,          13241.09,          10761.72,           9130.90,           8542.15,           9654.87,           8615.53,           8220.12,          10173.85,          10761.95,           9478.36,          12621.54,          11443.99,          10076.74,           9160.67,           8086.33,           6893.64,           5988.50,           5434.16,           5474.09,           5863.31,           5513.54,           5120.36,           5285.39,           4952.10,           3760.99,           3642.85,           4607.46,           3955.09,           3641.14,           2760.52,           2615.19
Portugal,World,Raw materials,Export,Export(US$ Mil),           5752.48,           4529.55,           4677.72,           5196.23,           4263.92,           3748.16,           3739.67,           4438.93,           4188.10,           4035.75,           4224.66,           3664.60,           3089.01,           3762.61,           3194.49,           2649.85,           2042.08,           1752.51,           1313.31,           1064.45,            936.46,            920.89,            858.00,            831.03,            982.19,            867.88,           1051.73,            812.32,            706.26,            891.79,            870.58,            855.24,            650.97,            403.21
Portugal,World,Capital goods,Export,Export(US$ Mil),          15607.39,          13982.40,          14860.99,          15430.13,          13123.30,          11414.42,          10868.55,          12289.52,          11816.50,          11007.75,          10786.88,           9094.49,           8736.12,          12814.18,          11750.11,           9447.94,           8100.58,           8135.58,           7113.95,           5154.32,           4559.34,           4338.18,           4097.35,           3834.32,           3418.99,           3464.23,           3647.69,           2524.40,           2008.10,           2645.41,           2298.92,           2297.13,           1834.54,           1433.96
Portugal,World,Plastic or Rubber,Export,Export(US$ Mil),           5791.91,           4381.83,           4677.31,           5439.85,           4707.07,           4216.30,           4076.17,           4605.84,           4368.74,           3984.10,           4029.17,           3306.01,           2736.46,           3161.37,           2912.77,           2332.82,           1990.81,           1772.48,           1386.15,           1006.43,            849.83,            850.43,            773.26,            749.80,            664.28,            577.97,            607.62,            508.00,            360.03,            400.86,            388.13,            397.59,            267.48,            288.18
Portugal,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           2306.02,           2080.39,           1986.88,           2388.62,           2711.39,           2459.30,           2508.10,           2295.04,           2216.13,           1775.06,           1795.24,           2188.21,           1978.73,           1933.26,           1426.89,           1491.00
Portugal,World,Vegetable,Export,Export(US$ Mil),           3218.00,           2734.79,           2568.06,           2858.79,           2347.11,           1913.13,           1804.03,           1980.34,           1768.65,           1562.79,           1584.65,           1284.74,           1202.17,           1326.74,           1020.30,            802.26,            720.07,            635.43,            500.99,            429.73,            367.65,            317.74,            302.20,            338.95,            391.70,            354.10,            354.14,            209.86,            160.94,            236.40,            236.79,            207.35,            146.55,            119.86
Portugal,World,Footwear,Export,Export(US$ Mil),           2129.79,           1826.03,           2138.88,           2609.34,           2328.59,           2234.30,           2177.88,           2597.03,           2424.96,           2173.48,           2260.95,           1902.81,           1824.05,           2088.16,           1894.60,           1690.95,           1621.22,           1707.24,           1655.24,           1513.66,           1527.52,           1490.45,           1702.22,           1739.67,           1833.53,           1876.78,           1863.77,           1717.10,           1493.04,           1629.06,           1383.95,           1320.38,            999.06,            890.28
Portugal,World,Miscellaneous,Export,Export(US$ Mil),           4801.29,           4234.64,           4552.50,           4661.90,           3810.83,           3234.79,           3091.55,           3361.58,           3003.59,           2605.61,           2619.60,           2478.36,           2397.89,           3446.97,           3072.37,           2581.43,           2323.11,           9269.25,           1412.88,            964.90,            837.09,            718.97,            715.18,            754.38,            726.97,            734.38,            735.83,            527.12,            429.35,            487.43,            427.00,            387.20,            274.63,            239.23
Portugal,...,...,Import,No. Of Import products,           4475.00,           4446.00,           4473.00,           4467.00,           4460.00,           4474.00,           4477.00,           4468.00,           4503.00,           4499.00,           4533.00,           4527.00,           4521.00,           4535.00,           4540.00,           4770.00,           4776.00,           4770.00,           4763.00,           4769.00,           4828.00,           4810.00,           4797.00,           4803.00,           4806.00,           4778.00,           4865.00,           4847.00,           4836.00,           4883.00,           4859.00,           4858.00,           4842.00,           4833.00
Portugal,...,...,Export,No. Of Export products,           4215.00,           4171.00,           4212.00,           4208.00,           4205.00,           4198.00,           4217.00,           4211.00,           4214.00,           4196.00,           4165.00,           4154.00,           4128.00,           4101.00,           4127.00,           4326.00,           4271.00,           4238.00,           4185.00,           4157.00,           4155.00,           4139.00,           4099.00,           4076.00,           4193.00,           4133.00,           4178.00,           4028.00,           4033.00,           4083.00,           4063.00,           4092.00,           4083.00,           4010.00
Portugal,Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,           4221.78,           4132.17,           3843.28,           3242.81,           2521.24,           3123.56,           3325.75,,,,,,,,,,,,,,,,,,,,
Portugal,...,...,Export,No. Of Export partners,            215.00,            215.00,            216.00,            214.00,            211.00,            214.00,            206.00,            206.00,            207.00,            206.00,            208.00,            203.00,            201.00,            207.00,            206.00,            220.00,            213.00,            217.00,            214.00,            218.00,            218.00,            210.00,            191.00,            191.00,            198.00,            192.00,            196.00,            193.00,            189.00,            192.00,            174.00,            175.00,            173.00,            177.00
Portugal,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           8292.67,           7296.14,           8040.83,           8511.21,           7066.93,           6460.08,           6523.79,           7462.33,           7312.27,           7195.07,           8072.20,           6408.00,           5705.15,           7200.88,           6697.59,           5772.63,           4738.21,           4909.84,           4704.37,           4565.46,           4573.95,           4390.70,           4837.73,           4788.02,           4664.57,           4413.54,           5033.20,           3400.90,           3012.15,           3547.88,           3119.12,           2727.74,           1995.81,           1611.49
