Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Paraguay,World,Consumer goods,Export,Export(US$ Mil),           1065.10,            928.57,            901.74,            860.03,            840.37,            680.96,            643.63,            632.89,            520.10,            511.94,            445.45,            350.99,            269.45,            274.80,            204.45,            141.25,            110.79,            104.52,             91.16,             76.60,             93.13,             87.62,             70.06,             69.71,             66.99,            107.60,             49.72,             35.91,             21.79,             21.83,             20.64,             36.68,             29.94,
Paraguay,World,Minerals,Export,Export(US$ Mil),              1.03,              0.23,              0.58,              2.53,              5.32,              2.96,              3.80,              5.93,              7.39,              5.53,              6.54,              4.70,              4.84,              3.08,              3.02,              2.38,              2.60,              2.41,              1.36,              0.33,              1.78,              0.70,              0.26,              0.51,              1.90,              1.64,              2.34,              2.04,              1.24,              1.05,              0.51,              0.06,              0.19,
Paraguay,World,Raw materials,Export,Export(US$ Mil),           5645.00,           4137.41,           3522.08,           4069.77,           3959.78,           3781.59,           3691.26,           4538.50,           4575.39,           3604.18,           3828.55,           3201.54,           1983.18,           2692.70,           1737.76,           1176.02,           1081.01,            963.64,            812.06,            527.77,            593.83,            497.87,            445.11,            653.60,            708.59,            613.50,            554.21,            487.56,            452.23,            402.33,            549.12,            785.79,            842.49,
Paraguay,World,Capital goods,Export,Export(US$ Mil),             97.48,             95.22,             60.83,             79.97,             93.49,             74.04,             92.28,             84.15,             70.66,             58.55,             41.34,             33.58,             24.16,             36.64,             26.75,             23.55,             15.89,              7.82,              5.24,              3.71,              4.76,              5.47,              5.90,              9.18,              5.22,              4.31,              7.25,              7.64,              4.65,              1.19,              1.52,              1.42,              0.18,
Paraguay,World,Plastic or Rubber,Export,Export(US$ Mil),             95.74,             89.44,            108.90,            107.56,             98.32,             87.79,             92.31,            112.97,             89.51,             95.30,            119.60,             90.97,             68.99,             62.95,             48.41,             24.67,             20.27,             15.64,             10.56,              5.35,              9.40,              7.12,              4.45,              3.75,              4.95,             14.70,              3.93,              0.19,              0.07,              0.04,              0.06,              0.05,              0.12,
Paraguay,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            998.49,            769.69,            619.34,            626.18,            629.47,            519.22,            591.12,            672.57,            529.22,,            541.43,            604.22,            388.25,            374.55,            202.95,,,,,             49.14,             61.46,             49.90,,             40.03,,,,             32.79,             42.25,             47.38,             47.63,,,
Paraguay,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            356.21,            342.23,            448.01,            258.47,            203.32,,             92.52,,,             96.31,            103.55,            116.98,,            266.91,            204.39,            272.46,            226.53,            204.13,            174.22,            191.89,            208.44,             92.23,
Paraguay,World,Vegetable,Export,Export(US$ Mil),           4664.76,           3492.05,           2881.82,           3369.69,           3272.36,           3139.43,           2944.52,           3636.23,           3992.97,           2943.82,           3385.82,           2534.56,           1639.59,           2609.72,           1550.79,            794.36,            831.36,            806.09,            794.71,            475.23,            468.58,            368.89,            384.24,            559.96,            615.60,            432.07,            274.08,            319.54,            272.94,            187.25,            196.39,            331.39,            462.13,
Paraguay,Panama,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,             54.03,
Paraguay,World,Footwear,Export,Export(US$ Mil),             15.25,             11.90,             15.35,             13.91,             12.17,              8.80,             14.48,             27.13,             33.98,             33.24,             16.64,             17.51,              9.03,              1.07,              0.18,              0.13,              0.19,              0.14,              0.25,              0.10,              0.12,              0.25,              1.14,              0.58,              0.69,              0.20,              0.63,              1.79,              0.32,              0.23,              0.59,              0.22,              0.08,
Paraguay,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             48.88,,,,,,,
Paraguay,World,Miscellaneous,Export,Export(US$ Mil),             51.08,             53.97,             38.83,             40.13,             35.58,             27.80,             37.75,             41.95,             31.26,             23.14,             26.09,             15.19,             12.65,             14.63,             12.31,              8.88,              6.44,              3.10,              2.09,              2.07,              2.89,              3.35,              2.32,              3.12,              3.33,              1.99,              0.93,              0.57,              0.77,              0.61,              0.37,              0.12,              0.01,
Paraguay,Chile,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            416.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            325.70,            479.85,,,            447.48,,,            144.22,,             64.24,             66.98,,,,,,,,,,,,,,
Paraguay,...,...,Import,No. Of Import products,           3751.00,           3738.00,           3685.00,           3746.00,           3699.00,           3736.00,           3726.00,           3731.00,           3730.00,           3702.00,           3754.00,           3707.00,           3618.00,           3640.00,           3584.00,           3642.00,           3593.00,           3527.00,           3450.00,           3650.00,           3742.00,           3713.00,           3645.00,           3799.00,           3728.00,           3712.00,           3784.00,           3725.00,           3314.00,           3002.00,           3079.00,           3276.00,           3296.00,
Paraguay,Cayman Islands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            169.17,            168.03,            203.05,            142.65,             78.10,             64.67,,,,,,,,,,,,,
Paraguay,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            232.62,,            170.68,            249.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,...,...,Export,No. Of Export products,           1530.00,           1465.00,           1445.00,           1470.00,           1375.00,           1390.00,           1389.00,           1258.00,           1202.00,           1211.00,           1154.00,           1154.00,           1186.00,           1203.00,           1269.00,           1204.00,           1164.00,           1040.00,           1123.00,            582.00,            543.00,            548.00,            438.00,            433.00,            352.00,            365.00,            380.00,            371.00,            339.00,            324.00,            282.00,            223.00,            203.00,
Paraguay,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,             65.96,            101.91,,,,,,,,,,,,,             50.06,             73.79,
Paraguay,...,...,Export,No. Of Export partners,            140.00,            138.00,            132.00,            129.00,            135.00,            134.00,            133.00,            127.00,            116.00,            124.00,            124.00,            126.00,            123.00,            123.00,            123.00,            112.00,            110.00,            106.00,            107.00,             85.00,             84.00,             79.00,             70.00,             68.00,             59.00,             60.00,             78.00,             79.00,             71.00,             73.00,             72.00,             70.00,             66.00,
Paraguay,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            434.18,            574.98,,,,            169.56,,,,,,,,,,,,,,,,,             44.48,,
Paraguay,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,            257.09,,,,,,,,,,
Paraguay,World,Intermediate goods,Export,Export(US$ Mil),           3742.84,           3356.70,           3167.39,           4032.37,           3785.32,           3964.57,           3900.38,           4380.19,           4290.10,           3096.19,           3460.98,           2930.42,           2802.82,           3402.98,           2753.24,           2131.53,           1944.87,           1798.48,           1676.07,           1718.96,           1664.52,           1606.89,            218.64,            281.53,            359.53,            311.14,            306.30,            283.64,            244.96,            228.18,            165.05,            134.79,            136.84,
Paraguay,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            451.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,World,Textiles and Clothing,Export,Export(US$ Mil),            281.85,            229.80,            208.56,            191.95,            166.03,            125.60,            140.13,            158.34,            143.71,            154.75,            128.51,            108.24,             81.94,             99.59,            112.39,             94.40,            120.02,            146.53,             82.92,             55.77,            114.76,            117.63,             83.70,            106.89,            112.01,            231.91,            306.08,            175.09,            167.82,            216.15,            325.69,            352.22,            320.00,
Paraguay,World,Food Products,Export,Export(US$ Mil),           1057.31,            962.66,            921.22,           1141.76,            890.04,           1032.35,           1069.99,           1314.66,           1131.23,            416.82,            582.28,            446.65,            466.59,            649.28,            371.88,            194.82,            180.80,            221.56,            189.08,            159.96,            136.26,            113.76,             94.66,             98.34,            138.35,            114.43,             68.51,             47.72,             74.11,             75.04,             50.34,             36.24,             37.77,
Paraguay,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           3219.97,           2387.33,           2635.20,           2977.81,           2731.07,           2344.40,           2551.74,           3277.24,           3075.32,           2672.36,           3045.29,           2416.87,           1611.80,           2426.74,           1707.56,           1029.22,            894.72,            847.86,            655.76,            512.99,            605.53,            539.62,            545.06,            865.99,           1008.51,            981.99,            681.25,            598.68,            369.48,            283.09,            251.25,            222.39,            192.98,
Paraguay,World,Consumer goods,Import,Import(US$ Mil),           5484.56,           4260.34,           5189.58,           6189.62,           5508.96,           4552.38,           4791.01,           5879.79,           5573.85,           5590.49,           5743.94,           4626.72,           3319.08,           4027.25,           2435.15,           2117.02,           1571.93,           1364.14,            977.84,            860.11,           1219.18,           1292.68,            777.57,           1360.43,           1670.01,           1507.72,           1616.62,           1144.09,            738.54,            616.99,            640.69,            539.72,            252.55,
Paraguay,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            386.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,World,Transportation,Export,Export(US$ Mil),             18.15,             22.75,             12.97,             30.92,             63.19,             44.91,             55.01,             34.84,             24.89,              4.82,              1.77,              3.26,              8.26,             12.40,              2.44,              1.32,              2.18,              0.24,              0.32,              0.14,              0.03,              0.12,              0.49,              0.91,              0.72,              0.95,              1.81,              6.56,              2.25,              0.35,              0.18,              0.62,              0.02,
Paraguay,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4067.31,           3013.59,           1923.75,           3764.18,           3671.06,           2645.22,           2417.04,           3078.32,           3434.09,           3183.81,           3662.44,           3433.30,           2053.49,           2473.80,           1625.29,           1269.91,            642.11,            419.94,            266.81,            211.44,            253.29,            260.33,,,,,,,,,,,,
Paraguay,Bermuda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             43.16,,,,,,,,,
