Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Occ.Pal.Terr,World,Consumer goods,Export,Export(US$ Mil),            808.75,            652.48,            677.68,            687.71,            686.99,            604.76,            616.06,            626.53,            553.60,            496.70,            489.79,            375.85,            373.93,            351.26,            325.39,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Minerals,Export,Export(US$ Mil),             45.38,             41.89,             35.88,             36.12,             19.91,             12.73,             11.57,             13.22,             29.16,             18.64,              4.16,             11.50,              2.70,              9.61,              7.33,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            199.08,            154.37,            181.29,            209.32,            214.64,            185.95,            148.49,            138.45,            124.15,            114.04,            108.69,             82.86,             97.29,             61.54,             57.32,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Raw materials,Export,Export(US$ Mil),            229.73,            155.00,            176.19,            217.03,            184.09,            143.05,            161.03,            149.20,            188.97,            119.14,            116.29,             86.87,             43.88,             81.50,             68.39,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Capital goods,Export,Export(US$ Mil),             65.60,             53.41,             48.21,             43.19,             32.80,             34.34,             36.20,             38.94,             38.04,             32.36,             33.16,             31.92,             28.16,             30.04,             25.73,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Jordan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            256.99,            173.57,            296.41,            188.61,            153.21,            131.53,            141.94,            101.77,             91.50,             98.42,             97.47,             67.37,,             47.13,,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Plastic or Rubber,Export,Export(US$ Mil),            144.64,            108.61,             95.71,            102.76,             94.09,             86.04,             81.41,             74.63,             76.67,             64.07,             59.02,             46.15,             34.61,             46.42,             39.68,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,            103.11,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Vegetable,Export,Export(US$ Mil),            141.11,            126.84,            158.65,            174.56,            175.50,            165.83,            166.84,            137.80,            150.20,             99.47,             74.88,             57.28,             46.15,             55.14,             70.36,,,,,,,,,,,,,,,,,,,
Occ.Pal.Terr,World,Footwear,Export,Export(US$ Mil),             28.84,             20.41,             30.19,             36.07,             38.18,             33.49,             39.50,             42.81,             37.72,             31.76,             36.43,             25.81,             26.23,             27.60,             25.02,,,,,,,,,,,,,,,,,,,
