Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Qatar,World,Consumer goods,Export,Export(US$ Mil),          61256.12,              5.02,          50197.57,           7508.75,          45111.17,          37904.18,           3425.38,          92426.50,          95122.73,          90886.59,,          47338.57,,          35435.66,          18761.96,          14832.21,           8959.60,           7752.41,           5512.18,           3992.27,           4254.79,           4074.90,,,,,,,,,,,,
Qatar,World,Minerals,Export,Export(US$ Mil),            564.85,             38.10,            230.48,             76.01,            258.99,            213.57,            337.82,            324.33,            277.04,            392.97,,            178.40,,            267.11,             45.43,             24.10,             29.97,             22.66,             12.98,              8.24,             10.68,             15.68,,,,,,,,,,,,
Qatar,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1617.59,           1582.30,           2083.90,           1909.01,           2075.61,           2965.46,           2403.21,           2171.14,           1739.16,           1632.15,,           1684.00,,           2342.60,           1818.62,           1533.26,            923.63,            315.63,            472.45,,            344.64,            265.67,,,,,,,,,,,,
Qatar,World,Raw materials,Export,Export(US$ Mil),          12971.80,           7315.21,          12743.65,          13944.91,          12046.37,           9125.29,          10930.13,          21840.49,          25189.99,          26576.27,,          20398.29,,          26033.89,          19257.05,          16029.45,          12909.68,           8559.48,           6738.90,           2901.94,           5623.90,           3859.19,,,,,,,,,,,,
Qatar,World,Capital goods,Export,Export(US$ Mil),            193.50,            298.12,            210.00,            544.54,            253.20,             34.15,             19.39,             84.38,             77.86,             58.73,,             36.72,,             17.40,            275.88,            173.87,            173.05,             98.78,             72.59,             88.67,              0.81,             73.06,,,,,,,,,,,,
Qatar,World,Plastic or Rubber,Export,Export(US$ Mil),           3186.03,           2082.95,           2411.05,           2960.09,           2801.61,           2914.93,           3280.54,              2.18,           3997.09,           4342.18,,           1407.24,,           1396.82,           1370.33,           1130.57,            641.00,            442.50,            268.32,            266.67,            221.55,            237.70,,,,,,,,,,,,
Qatar,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1581.46,           1810.09,           1935.77,           1761.94,,,,,,,,,,,,,,,            392.97,            308.69,            302.94,            252.54,,,,,,,,,,,,
Qatar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1582.24,           2136.36,           2114.50,           1954.23,           1893.23,           2043.65,,           1750.87,,           2688.21,           2361.76,           1973.33,           1171.17,,            512.76,            426.53,            357.86,            358.30,,,,,,,,,,,,
Qatar,World,Vegetable,Export,Export(US$ Mil),             13.75,              9.77,              7.61,              9.06,             13.05,             20.80,             18.28,              4.73,             25.58,             17.20,,              3.15,,              1.38,              3.83,              4.20,              3.70,              2.14,              1.63,              1.33,              0.70,              3.78,,,,,,,,,,,,
Qatar,World,Footwear,Export,Export(US$ Mil),              5.33,              5.14,              8.82,              8.46,              4.71,              8.37,              3.84,              0.08,              5.34,              3.34,,              0.00,,,              1.97,              1.12,              2.18,              0.52,              0.51,              0.71,              0.32,              0.89,,,,,,,,,,,,
Qatar,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           1653.15,           2908.45,           2827.88,           2492.67,           1913.27,           1976.76,,           1592.19,,,           1637.64,            990.82,            647.24,            379.48,,            285.53,,            225.22,,,,,,,,,,,,
Qatar,World,Miscellaneous,Export,Export(US$ Mil),            574.55,            859.05,            444.50,            557.79,            442.61,            500.75,            541.26,          17217.00,            430.47,            439.43,,           5736.52,,           4356.11,            295.67,             37.76,             16.31,            466.88,             14.24,             17.46,              0.50,             18.00,,,,,,,,,,,,
