Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Rwanda,World,Consumer goods,Export,Export(US$ Mil),            576.99,            423.21,            451.01,            401.17,            357.14,            275.02,            249.28,            225.03,            228.71,            132.42,            110.33,             56.81,            101.81,            168.71,             43.09,             34.56,             34.82,             22.49,             17.79,              5.27,            144.73,,             15.35,             23.64,             16.97,              1.69,,,,,,,,
Rwanda,World,Minerals,Export,Export(US$ Mil),            169.92,             91.18,            117.85,            210.99,            205.34,             93.67,            126.24,            207.94,            226.64,            136.40,            165.79,             99.21,             68.51,            136.31,             83.97,             46.86,             59.85,             31.54,             11.71,             16.34,             20.99,,              6.38,              3.40,              3.46,              1.21,,,,,,,,
Rwanda,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             12.91,,,,,,,,
Rwanda,World,Raw materials,Export,Export(US$ Mil),            293.49,            201.21,            241.00,            322.40,            309.55,            178.15,            212.68,            294.01,            309.56,            232.04,            261.86,            165.99,            106.65,            209.43,            126.10,            100.27,            101.44,             71.03,             29.51,             18.86,             37.87,,             37.08,             10.11,             23.17,              7.12,,,,,,,,
Rwanda,World,Capital goods,Export,Export(US$ Mil),            118.01,             19.71,             28.42,             32.78,             12.30,             13.82,             24.99,             16.87,             34.23,             11.14,              9.29,              7.31,             34.18,              8.68,              9.92,              5.87,             11.27,              2.60,              2.70,             11.91,              2.64,,              0.03,              0.18,              0.05,              0.70,,,,,,,,
Rwanda,World,Plastic or Rubber,Export,Export(US$ Mil),             24.37,              8.11,              4.68,              4.10,              2.58,              1.67,              2.14,              2.74,              4.95,              2.63,              1.74,              0.99,              0.73,              1.56,              0.67,              0.37,              0.21,              0.05,              0.03,              0.11,              0.12,,              0.06,              0.01,              0.06,              0.05,,,,,,,,
Rwanda,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            281.06,            397.59,            276.82,            175.72,            155.75,            145.66,            142.33,            173.80,            126.81,            127.01,            119.51,            127.88,            123.90,            146.34,             93.89,            170.89,             50.51,             38.84,             29.82,             30.68,             26.96,,             54.55,             71.67,             64.62,             42.17,,,,,,,,
Rwanda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             78.90,,,,,,             18.36,             23.67,             17.68,             15.34,,             12.09,,,,,,,,,,,
Rwanda,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             30.71,,,,,,,,,,,,,,,,,,              0.96,,,,,,,,,,
Rwanda,World,Vegetable,Export,Export(US$ Mil),            411.27,            319.13,            302.37,            308.01,            262.16,            220.11,            210.33,            183.07,            169.17,            172.99,            146.03,             97.29,            112.48,            196.35,             68.17,             78.23,             61.84,             53.20,             26.69,              0.12,             32.73,,             45.32,             27.77,             32.48,              6.10,,,,,,,,
Rwanda,World,Footwear,Export,Export(US$ Mil),             11.68,              9.44,              5.30,              3.64,              3.22,              3.79,              1.70,              1.10,              1.54,              0.46,              1.82,              1.72,              1.50,              1.02,              0.64,              0.06,              0.01,              0.01,              0.05,              0.06,              0.03,,              0.00,,,,,,,,,,,
Rwanda,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            305.79,            257.40,            242.26,            277.64,            290.58,            307.96,            247.41,            214.52,            187.97,             87.11,             95.87,             76.96,             69.47,             91.68,             53.28,             38.16,             33.54,,,,,,             18.04,             17.30,             17.27,             14.36,,,,,,,,
Rwanda,World,Miscellaneous,Export,Export(US$ Mil),             98.91,              7.25,             11.15,             10.73,              4.92,              5.91,             18.84,              7.34,              6.37,              4.34,              2.23,              1.90,             15.26,              3.78,              1.89,              1.82,              1.11,              0.88,              0.40,             26.36,              0.11,,              0.05,              3.31,             12.13,              0.45,,,,,,,,
