Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Saudi Arabia,World,Consumer goods,Export,Export(US$ Mil),          69265.12,           6860.27,           5641.17,           7680.72,           7849.85,          30661.53,          29416.64,          40635.96,          35146.48,          38812.30,          38683.23,          31841.55,          27221.79,          39495.39,          32310.13,          30182.43,          27450.11,          20463.50,          13504.24,          10073.29,          10000.71,           9800.91,           9088.38,           1175.60,,           1182.09,           1074.02,            656.21,           2562.06,           2962.88,           2678.87,,,
Saudi Arabia,World,Minerals,Export,Export(US$ Mil),           1193.18,            848.82,            779.61,            933.43,            487.84,            400.97,            334.09,            263.41,            284.27,            215.14,            282.05,            275.11,            224.25,            381.33,            313.67,            178.27,            129.80,            107.40,            129.37,            175.44,            137.19,            123.28,            116.20,            131.70,,            132.81,            120.25,             79.68,            111.62,            207.87,            117.11,,,
Saudi Arabia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7491.40,           6809.08,           7003.81,           7292.18,           7865.85,           9010.22,          12305.29,          12416.57,          11801.96,          10914.03,           8948.55,           8170.00,           7527.49,           8432.23,           7898.53,           5559.01,           4739.56,           3685.68,           3632.00,           2627.41,           2406.63,           2335.16,           2042.06,           1883.09,,           2082.17,           2209.07,           1930.25,           1977.41,           2473.03,           2274.92,,,
Saudi Arabia,World,Raw materials,Export,Export(US$ Mil),         154406.07,           2312.60,           2085.88,           2814.73,           2552.65,         114163.85,         131784.71,         252697.59,         295999.04,         306836.00,         286375.96,         190604.52,         143298.45,         248283.78,         179537.40,         163090.45,         137767.07,          93322.91,          70979.70,          55323.13,          51075.43,          62192.08,          37276.43,          27700.59,,          42040.88,          36801.45,          32334.35,          32532.78,          40368.19,          37617.78,,,
Saudi Arabia,World,Capital goods,Export,Export(US$ Mil),           8698.52,           7018.27,            774.28,           6308.29,           6029.10,           5716.27,           6263.63,           5879.95,           6058.65,           4896.33,           4430.29,           3561.90,           4734.75,           3995.23,           3578.60,           2644.18,           1981.81,           1728.12,            870.53,            615.63,            478.50,            395.46,            445.91,            469.74,,            406.83,            331.58,            255.15,            322.82,            549.10,            316.69,,,
Saudi Arabia,World,Plastic or Rubber,Export,Export(US$ Mil),          24286.13,          16599.68,          19244.67,          21213.92,          17283.21,          14888.48,          15366.92,          18933.10,          17096.12,          15554.13,          14522.69,          11348.14,           6366.94,           7160.75,           6153.06,           5239.73,           4767.96,           3327.92,           1876.43,           1525.09,           1638.13,           1001.69,            953.68,           1119.40,,           1159.13,           1468.51,            905.40,            688.45,           1473.55,            925.17,,,
Saudi Arabia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,           2599.82,           2445.12,           2250.87,           1822.03,           2033.61,           1802.09,           2257.91,           2546.02,,           2492.47,           2377.49,           1974.71,           3111.47,           3582.82,           3275.46,,,
Saudi Arabia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           6545.79,,,,           9949.20,           9903.37,           9325.86,          10349.75,           8236.10,           7939.58,           7186.92,           9346.55,           7835.37,           5594.03,           5308.23,           4627.76,           4425.63,           3518.83,           3422.49,           3105.88,           2577.59,           2580.97,,           1952.97,           2486.50,           2742.33,           3558.46,           4697.28,           3982.59,,,
Saudi Arabia,World,Vegetable,Export,Export(US$ Mil),            916.81,            668.56,            564.60,            610.30,            639.65,            627.96,            596.34,            558.19,            588.08,            656.78,            712.87,            546.86,            460.86,            459.31,            306.57,            202.25,            194.40,            161.24,            128.71,             98.02,             82.52,            122.11,            147.56,            127.62,,            135.94,            233.57,            186.23,            300.35,            442.57,            203.88,,,
Saudi Arabia,World,Footwear,Export,Export(US$ Mil),             21.75,             13.12,              1.76,             21.41,             15.40,             25.59,             16.76,             18.24,              8.37,              7.50,              8.98,             10.65,             10.29,             10.74,              9.28,             12.50,             12.05,             14.28,              7.17,              3.62,              1.59,              2.05,              3.71,              5.40,,              3.85,              2.34,              1.61,              1.58,              3.53,              3.77,,,
Saudi Arabia,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12471.46,           8979.64,          10364.17,          12080.29,           8754.89,           7561.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          88811.16,          97106.11,         177747.05,         199988.31,         208198.06,         197813.68,         140498.33,         107360.16,         166362.46,         119152.92,         108851.19,          89159.61,          56599.93,          41970.87,          32630.37,          31023.81,          34922.48,          18697.86,,,,,,          15143.64,          17284.02,          14988.44,,,
Saudi Arabia,World,Miscellaneous,Export,Export(US$ Mil),            969.75,            933.44,             83.18,            658.15,            902.09,           1203.19,           1282.06,            347.73,            339.26,            392.45,            400.99,            355.57,            289.22,            305.88,            250.50,            200.34,            160.34,            168.91,            102.08,             75.80,             58.29,             46.58,             78.76,            105.19,,             63.86,             45.91,             37.82,             35.39,             82.32,             85.03,,,
Saudi Arabia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          10957.81,           8181.52,           9339.88,           9724.29,           6216.30,           4948.57,           5729.36,           7318.35,           7424.59,           6348.21,           5976.12,           3604.65,           2341.46,           2130.87,           1673.98,           1409.55,           1272.52,            923.82,,,,,,,,,,,,,,,,
Saudi Arabia,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1388.06,,,,           1410.39,,,
Saudi Arabia,...,...,Import,No. Of Import products,           4306.00,           4225.00,           4223.00,           4216.00,           3970.00,           3927.00,           3947.00,           3951.00,           3974.00,           3953.00,           3966.00,           3936.00,           3943.00,           3984.00,           3937.00,           4014.00,           3987.00,           3931.00,           3943.00,           3805.00,           3856.00,           3856.00,           4749.00,           4758.00,,           4665.00,           4689.00,           4672.00,           4700.00,           4707.00,           4026.00,,,
Saudi Arabia,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           9133.48,           3096.33,           3773.45,           3564.93,           2862.42,           2895.64,           3213.24,           3826.99,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,...,...,Export,No. Of Export products,           3392.00,           2900.00,           1791.00,           3085.00,           2430.00,           2276.00,           2201.00,           2237.00,           2267.00,           2299.00,           2298.00,           2271.00,           2256.00,           2320.00,           2247.00,           2189.00,           2327.00,           2248.00,           2017.00,           1789.00,           1731.00,           1611.00,           3371.00,           3433.00,,           3320.00,           3280.00,           3087.00,           3224.00,           3390.00,           3590.00,,,
Saudi Arabia,...,...,Export,No. Of Export partners,            177.00,            170.00,            170.00,            184.00,            184.00,            163.00,            175.00,            174.00,            167.00,            166.00,            170.00,            165.00,            161.00,            164.00,            155.00,            146.00,            134.00,            138.00,            115.00,            119.00,            121.00,            120.00,             12.00,            166.00,,            159.00,            137.00,            123.00,            131.00,            120.00,             98.00,,,
Saudi Arabia,Qatar,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           1804.58,           1549.85,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           9939.76,           8546.50,           9513.00,           9374.05,           7703.84,           4693.40,           4200.75,           5078.96,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,           5829.76,,,,,,,,,,,,,,,,,,,           1565.31,,,,,,,,,,
Saudi Arabia,World,Intermediate goods,Export,Export(US$ Mil),          53320.28,          37209.72,          40916.46,          45980.44,          34814.11,          32318.94,          35256.31,          42689.54,          38103.14,          36771.18,          34607.28,          24522.29,          16514.30,          21156.59,          17404.08,          14906.91,          13078.74,          10036.62,           7411.11,           6116.30,           6119.11,           4815.71,           3882.85,           4275.37,,           4530.20,           4653.82,           3001.63,           2392.03,           4931.45,           2739.70,,,
Saudi Arabia,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           8073.80,           6367.02,,           5684.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,World,Textiles and Clothing,Export,Export(US$ Mil),            696.94,            539.05,            380.61,            538.33,            534.32,            464.90,            563.54,            586.12,            536.35,            562.85,            606.76,            499.84,            396.04,            462.62,            392.72,            397.50,            380.37,            292.62,            223.28,            219.18,            179.08,            135.83,            172.22,            199.70,,            168.93,            110.60,             49.47,             37.97,             61.12,             82.65,,,
Saudi Arabia,World,Food Products,Export,Export(US$ Mil),           1867.86,           1535.77,           1486.46,           1452.30,           1481.23,           1535.53,           1632.06,           1640.28,           1557.38,           1433.12,           1324.73,           1214.37,           1175.45,           1014.71,            924.17,            605.46,            468.70,            397.00,            358.06,            168.97,            126.07,            132.92,            153.85,            143.31,,            117.66,             95.68,             70.57,             75.04,             80.57,            107.48,,,
Saudi Arabia,World,Consumer goods,Import,Import(US$ Mil),          61808.59,          53697.82,          55000.09,          50035.34,          50339.63,          53524.26,          62953.00,          60644.34,          57491.21,          53228.11,          43384.65,          36925.98,          32028.33,          34207.88,          26738.20,          23016.98,          20278.23,          16969.38,          14933.29,          11673.13,          11257.65,          10228.83,           9327.25,           9972.84,,           9139.62,           9188.81,           7726.84,           9556.74,          11173.71,          10625.50,,,
Saudi Arabia,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         171443.23,         131998.51,         202427.74,         231583.79,         170243.86,          48717.90,          56798.69,         108174.82,         123190.27,         130393.71,         120702.89,          75393.52,          56085.96,         115126.39,          86725.26,          79960.41,          72828.07,          54429.84,          40563.81,          31453.26,          29050.50,          36271.34,           7973.68,          33539.19,,,,,           6373.20,           7565.23,           7528.21,,,
Saudi Arabia,World,Transportation,Export,Export(US$ Mil),           6257.96,           5011.58,            108.11,           4693.11,           4679.06,           4105.53,           4563.56,           4286.11,           4076.49,           3174.81,           2630.45,           2158.55,           3384.87,           3399.98,           3247.49,           2546.46,           1615.18,           1312.98,            487.99,            475.79,            514.20,            190.92,            183.45,            164.87,,            335.70,            189.37,            120.61,            135.49,            257.95,            222.38,,,
Saudi Arabia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30234.80,          26509.17,          27066.62,          22243.71,          20525.72,          19776.83,          24654.97,          23078.15,          20807.22,          19635.04,          17134.23,          12336.69,          10690.18,          12414.05,           8575.24,           5847.15,           4278.88,           2996.56,           2346.40,           1617.09,           1266.73,,,,,,,,,,,,,
Saudi Arabia,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14750.08,           8917.21,           4376.21,           8131.95,           8073.71,           6853.82,           7076.15,           6308.86,           6386.11,           5529.46,           5140.91,           3880.08,           4671.60,           4585.69,           4432.20,           3260.11,           2263.89,           1969.57,           1575.84,            885.23,            857.95,            829.43,,            805.76,,,,,,,,,,
Saudi Arabia,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           7782.66,,,,,,,,,,,,,,,,,,,,,,,            322.49,,,,,,,,,,
Saudi Arabia,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,            502.30,            713.16,            608.21,,,
Saudi Arabia,World,Raw materials,Import,Import(US$ Mil),          11037.52,           9334.88,           8885.92,           9879.40,          10952.55,          10828.13,          12456.97,          12668.26,          13216.70,          12364.32,          11242.60,           9308.01,           7128.32,           9321.40,           6498.71,           4877.78,           4772.01,           3499.80,           3366.22,           2539.56,           2216.76,           2556.78,           2615.22,           2310.91,,           2728.21,           2538.63,           1843.36,           2245.75,           2355.16,           1925.03,,,
Saudi Arabia,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,           5119.09,,,           6934.77,           6039.27,           5215.57,,,,,,
Saudi Arabia,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           7635.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,World,Hides and Skins,Export,Export(US$ Mil),             56.94,             44.47,             62.60,             71.46,             81.81,             66.55,             79.08,            105.79,            124.78,            116.43,            129.26,            121.43,             81.24,             98.86,            121.74,             80.18,             83.98,             70.84,             57.84,             47.25,             40.43,             20.87,             15.03,             20.70,,             55.34,             59.62,             31.38,             24.50,             34.30,             17.41,,,
Saudi Arabia,...,...,Development,Trade Balance (current US$ Mil),,          14582.68,          66919.08,         105327.19,          38017.64,           2749.86,         -29296.86,          99158.38,         157743.14,         184213.71,         178247.20,          87628.27,          39987.20,         146168.80,         104039.23,         112011.75,         105591.26,          69570.13,          47212.53,          32810.93,          28922.13,          35333.33,          18576.27,           4662.13,          21789.59,          21247.80,          13809.61,          10720.16,           1194.93,           4279.31,           2535.38,          10541.52,          -4130.04,          -3423.50
Saudi Arabia,Kuwait,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           1477.37,           1246.75,           1125.64,           1029.67,            746.73,            500.98,            377.98,            431.31,,            503.61,,,,,,,,,,
Saudi Arabia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           2591.99,           2401.02,           2465.19,,,,,,
Saudi Arabia,...,...,Tariff,No. Of Tariff Agreement,,              5.00,,,              5.00,,              1.00,              4.00,              3.00,              3.00,              1.00,,              3.00,              3.00,              3.00,              3.00,              3.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,              1.00,,,,,,
Saudi Arabia,World,Wood,Export,Export(US$ Mil),           1138.05,            976.83,            902.40,           1111.71,            931.06,            966.39,           1055.15,           1166.16,           1172.69,           1215.20,           1181.77,           1041.22,            890.49,            859.23,            839.18,            604.83,            485.18,            421.90,            351.63,            251.10,            165.45,            146.34,            168.60,            161.10,,            160.33,            146.53,            102.93,            105.41,             99.60,             95.60,,,
Saudi Arabia,World,Mach and Elec,Export,Export(US$ Mil),           3970.88,           2873.77,           1025.83,           3141.51,           2743.72,           2714.04,           2812.70,           2648.84,           3042.98,           2799.70,           2778.19,           2507.24,           2829.82,           2890.93,           2326.86,           1519.55,           1237.32,           1031.04,            570.90,            484.97,            405.16,            360.32,            358.51,            397.59,,            375.14,            317.37,            245.44,            271.22,            412.39,            214.68,,,
Saudi Arabia,...,...,Development,GDP (current US$ Mil),,         700117.87,         792966.84,         786521.83,         688586.24,         644935.54,         654269.90,         756350.35,         746647.13,         735974.84,         671238.84,         528207.33,         429097.90,         519796.74,         415964.58,         376900.14,         328459.70,         258742.26,         215807.66,         189605.92,         184137.47,         189514.93,         161716.96,         146775.50,         165963.56,         158662.40,         143343.04,         135174.89,         132967.90,         137087.88,         132223.27,         117630.27,          95344.35,          88256.16
Saudi Arabia,World,Metals,Export,Export(US$ Mil),           5980.03,           4327.06,           4246.09,           5449.59,           4290.72,           3722.63,           3979.54,           4150.76,           3381.32,           2708.28,           2543.14,           2221.82,           2248.45,           3038.29,           2622.51,           2055.29,           1482.28,           1327.94,           1045.59,            710.82,            573.75,            532.19,            629.67,            625.26,,            672.97,            745.65,            282.58,            264.86,            540.59,            314.92,,,
Saudi Arabia,Monaco,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,           2855.56,,,,,,           9345.89,          10608.28,           9491.86,,,
Saudi Arabia,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           4017.56,           2730.00,,,,,,           1163.35,           1181.33,,,           1308.55,,           1097.49,           1427.27,           1650.34,,,,
Saudi Arabia,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,           2012.70,           1799.07,           1625.53,,,,,,
Saudi Arabia,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,       44678779.02,,,       25077428.49,,       36249488.17,       53013530.28,       43519744.11,       43519744.11,       28314123.71,,       17920999.24,       20551982.49,       21603630.67,       12286606.50,       11338031.87,        5254113.76,        4208096.22,        3107629.92,        3016379.05,        3387717.93,        3125136.04,,,,,        2284911.25,,,,,,
Saudi Arabia,World,Stone and Glass,Export,Export(US$ Mil),           2721.30,           2699.09,           1200.69,           1453.21,           1583.90,           1702.55,           1183.68,           1323.12,           1325.54,           1434.56,           1488.91,            931.51,           1309.28,           1256.82,            742.17,           1015.10,            534.41,            736.81,            507.22,            232.55,            205.11,            129.80,            152.06,            178.05,,            121.78,             98.47,             69.84,             57.93,             96.76,             53.64,,,
Saudi Arabia,World,Intermediate goods,Import,Import(US$ Mil),          34104.74,          26444.33,          28978.16,          28085.51,          27259.42,          27947.41,          37138.20,          40537.00,          38898.49,          36502.27,          32529.19,          25354.17,          20221.57,          29822.59,          22330.37,          17840.94,          13953.36,          11084.89,           9265.25,           7356.82,           7855.52,           7822.23,           7985.09,           9807.38,,           9001.42,           9048.68,           7108.09,           9006.54,          11027.47,           9076.20,,,
Saudi Arabia,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            639.62,            550.11,            587.96,            635.88,           9835.99,            578.12,,           9433.08,           7980.12,           7322.51,           7749.67,          11303.24,          11331.49,,,
Saudi Arabia,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          16216.55,          14103.51,          17097.55,          18041.07,          18197.82,          18331.85,          23968.68,          21384.31,          21493.60,          20254.19,          16306.47,          13881.72,          13460.37,          15481.05,          11930.80,           9933.23,           8614.38,           6874.08,           5927.68,           5048.95,           5236.41,           5445.99,           5309.15,           6404.16,,           6080.95,           6043.61,           4969.26,           5801.48,           7496.96,           5875.50,,,
Saudi Arabia,World,All Products,Import,Imports (in US$ Mil),         152695.09,         131313.24,         144334.47,         135211.18,         134519.13,         140169.25,         174785.64,         168239.64,         163013.50,         151260.01,         127962.73,         103621.53,          92457.16,         112273.15,          87816.60,          67681.05,          57232.57,          44944.41,          39569.49,          30466.33,          29154.37,          28398.74,          28031.64,          30012.26,,          27764.92,          28085.11,          23042.63,          28201.40,          33272.64,          29073.80,,,
Saudi Arabia,World,Capital goods,Import,Import(US$ Mil),          37077.51,          35282.62,          42828.79,          38690.37,          38837.71,          40396.22,          55990.86,          54376.58,          53389.92,          49149.70,          40762.29,          32012.31,          33059.80,          38907.89,          32237.45,          21940.76,          18224.94,          13384.69,          12000.40,           8890.56,           7819.96,           7786.09,           8040.33,           7806.76,,           6770.66,           7192.53,           6249.32,           7283.68,           8607.10,           7284.09,,,
Saudi Arabia,World,All Products,Export,Exports (in US$ Mil),         286467.26,         185699.41,         251800.02,         294535.55,         221835.06,         183604.29,         203688.80,         341947.18,         375360.92,         387373.98,         364139.42,         250577.02,         191810.27,         312999.36,         232855.98,         210823.97,         180277.73,         125551.14,          92765.58,          72128.96,          67674.04,          77204.30,          50693.81,          39806.95,,          56509.53,          49029.58,          42874.19,          42395.79,          53486.45,          47053.33,,,
Saudi Arabia,...,...,Import,No. Of Import partners,            216.00,            210.00,            215.00,            213.00,            213.00,            173.00,            216.00,            180.00,            181.00,            180.00,            168.00,            171.00,            167.00,            177.00,            171.00,            155.00,            150.00,            140.00,            147.00,            126.00,            145.00,            140.00,            169.00,            154.00,,            159.00,            155.00,            150.00,            150.00,            147.00,            127.00,,,
Saudi Arabia,World,Fuels,Export,Export(US$ Mil),         212585.26,         132022.03,         202377.26,         231587.24,         170244.95,         136216.80,         153058.93,         284721.34,         321928.14,         337482.10,         317622.01,         215247.46,         163080.62,         281032.22,         205427.32,         188468.43,         161716.35,         110745.84,          82270.09,          63813.88,          59787.72,          70864.90,          44877.05,          33555.13,,          50060.19,          42543.94,          38621.52,          38621.74,          46550.97,          43704.02,,,
Saudi Arabia,World,Chemicals,Export,Export(US$ Mil),          22399.43,          15195.21,          17901.32,          19987.84,          14255.18,          13364.88,          15622.35,          19666.87,          18526.56,          18158.92,          16473.85,          10830.59,           7915.89,           9655.65,           8354.43,           7074.91,           6478.68,           5007.03,           4311.18,           3630.61,           3567.95,           3217.03,           2480.18,           2674.74,,           2803.92,           2729.28,           1990.63,           1568.27,           3022.36,           1499.46,,,
Saudi Arabia,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,           2872.34,           3413.55,           4020.13,           3077.72,,,,           3406.70,           3488.49,           3199.07,           2197.53,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,Special Categories,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,          25977.24,          21403.99,          19261.68,,,,,,
