Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Fm Sudan,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,            208.69,            102.29,            197.55,            275.87,            381.90,           3639.35,           3745.77,           2795.29,           1971.84,            726.14,           1428.42,           1415.36,              4.73,             26.05,              4.95,              4.62,              4.30,,,,,,,
Fm Sudan,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,             12.26,              3.87,              3.81,              8.78,              0.67,              0.43,              2.46,              1.18,              1.14,              1.01,              0.00,              3.21,              0.93,              1.10,              2.11,              0.04,              2.18,,,,,,,
Fm Sudan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,           1110.36,,,,,,,            177.22,            145.06,            138.38,            100.54,,,             86.21,,             72.29,,,,,,,
Fm Sudan,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,           7888.14,          10219.41,           7134.14,          11347.72,           8427.22,           1473.59,            489.46,            503.96,            390.38,            321.17,            237.33,            371.29,            177.77,            377.69,            359.21,            192.83,            438.64,,,,,,,
Fm Sudan,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,              3.91,              3.35,             52.60,             31.19,             29.48,            108.60,            100.97,            191.27,            100.98,             42.20,             47.99,             14.63,              2.09,             13.22,              1.06,              0.52,              0.15,,,,,,,
Fm Sudan,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,              0.93,              0.41,              0.15,              0.13,              0.37,              0.92,              3.06,              3.16,              8.34,              2.71,              0.33,              0.30,              0.25,              0.21,              0.00,              0.09,,,,,,,,
Fm Sudan,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            282.28,            150.68,,,,,,,,,,,,,,,,,,,,,,
Fm Sudan,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            121.84,            157.76,            164.53,             87.36,            329.87,            104.77,             71.77,             74.22,,,,,,,
Fm Sudan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            591.87,            714.56,            789.40,            697.44,            779.36,            691.98,            538.64,            240.66,,,,             99.54,,            145.70,,             59.70,            114.26,,,,,,,
Fm Sudan,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,            328.22,            286.98,            230.76,            297.22,            223.62,            153.29,            242.49,            237.88,            149.96,            123.31,            174.24,            223.53,             96.62,            188.30,            201.09,            100.87,            385.57,,,,,,,
Fm Sudan,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,              0.15,,,              0.00,              0.02,,,              0.02,              0.00,              0.03,              0.00,              0.00,              0.01,              0.01,,              0.00,              0.01,,,,,,,
Fm Sudan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            821.81,           1391.16,            605.11,            731.19,            538.24,            426.23,            438.64,            286.71,            208.57,            178.43,            128.91,,             52.99,,,,,,,,,,,
Fm Sudan,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,              0.71,              0.71,              1.64,              4.72,              0.17,              0.16,              3.28,              1.02,              2.61,              1.56,              0.37,              1.35,              0.66,              0.47,              0.10,              0.03,              0.00,,,,,,,
Fm Sudan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           6323.17,           8302.37,           5698.41,           9703.79,           8018.32,           4309.32,           3321.60,           2319.40,           1618.30,            599.44,           1029.12,            983.86,,,,             22.18,             50.22,,,,,,,
Fm Sudan,...,...,Import,No. Of Import products,,,,,,,,,,,           3412.00,           3468.00,           3323.00,           3407.00,           3483.00,           3483.00,           3269.00,           3198.00,           3026.00,           3057.00,           3001.00,           3019.00,           2972.00,           2901.00,           2835.00,           2532.00,           2460.00,,,,,,,
Fm Sudan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            204.77,,,,,,,,,,,             23.23,,,,,,,,,,
Fm Sudan,...,...,Export,No. Of Export products,,,,,,,,,,,            295.00,            310.00,            286.00,            327.00,            272.00,            250.00,            205.00,            233.00,            251.00,            275.00,            285.00,            282.00,            374.00,            284.00,            194.00,            257.00,            154.00,,,,,,,
Fm Sudan,...,...,Export,No. Of Export partners,,,,,,,,,,,             89.00,            102.00,             99.00,             98.00,             89.00,             89.00,             58.00,             69.00,             70.00,             84.00,             81.00,             78.00,             69.00,             80.00,             64.00,             70.00,             62.00,,,,,,,
Fm Sudan,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             44.12,,,,,,,,,
Fm Sudan,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             57.49,             86.69,,,,,,,
Fm Sudan,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,            880.70,           1203.82,            120.49,            152.82,            104.01,             31.01,            145.72,             95.43,            112.40,            145.88,            105.87,             97.65,             37.47,            117.57,            125.17,             75.15,            242.10,,,,,,,
Fm Sudan,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            622.74,,            493.59,           1168.56,            513.04,            498.74,,,,,,,,            106.53,,,,,,,,,,
Fm Sudan,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,             26.02,             39.48,             38.65,             59.19,             71.64,             70.41,            103.58,             87.72,            106.38,             50.52,             47.61,             63.70,             22.41,            101.20,            105.89,             61.51,            144.19,,,,,,,
Fm Sudan,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,              8.16,             10.02,             17.98,              7.76,              6.66,              3.61,             33.48,             13.78,             20.08,             17.33,             19.13,             23.75,             10.96,             35.95,             38.64,             21.33,             25.34,,,,,,,
Fm Sudan,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,,           3149.50,           4121.91,           2700.71,           3544.84,           3146.79,           2026.07,           1691.93,           1153.10,            901.09,            704.17,            578.77,            528.72,            352.23,            490.99,            428.39,            219.24,            244.35,,,,,,,
Fm Sudan,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             77.51,,,,,,,,,,,,,
Fm Sudan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             12.40,,,,,,,,,,,
Fm Sudan,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,              1.64,              2.46,             12.45,             15.82,             60.74,             85.36,             62.49,            181.97,            100.00,             38.54,             45.32,              7.14,              1.15,             19.31,              1.52,              0.93,              0.09,,,,,,,
Fm Sudan,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            259.95,,            243.94,,            105.99,            123.95,            183.16,            249.93,            172.72,            176.20,,            102.52,             63.47,            128.89,             91.24,             54.81,             95.07,,,,,,,
Fm Sudan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,           2067.33,           2085.15,           1354.00,           2277.16,           1644.82,           1175.10,           1305.01,            557.95,            312.12,            233.42,            202.17,            117.48,             68.53,            268.37,            108.27,,,,,,,,,
Fm Sudan,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            943.52,           1425.15,            337.15,            224.56,            144.51,            200.28,            120.15,             78.43,             85.95,             60.52,,,,,,,,,,,,,,
Fm Sudan,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            132.67,,             49.53,,,,,,,             15.81,             40.06,             30.67,             14.43,,,,,,,,
Fm Sudan,World,Raw materials,Import,Import(US$ Mil),,,,,,,,,,,           1131.27,           1631.03,            561.53,            663.26,            371.73,            411.56,            569.93,            281.57,            253.95,            242.94,            193.90,            212.61,             79.80,            155.55,            113.40,             94.94,            126.34,,,,,,,
Fm Sudan,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,            315.30,            492.93,,            700.75,,            297.80,            371.95,            327.99,            215.04,,             79.40,            130.82,             11.48,,,,,,,,,,,
Fm Sudan,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,             84.55,,             80.31,             77.55,             64.60,             71.63,             28.03,             79.98,             55.47,             41.03,,,,,,,,
Fm Sudan,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             72.17,,,,,,,,,,,
Fm Sudan,World,Hides and Skins,Export,Export(US$ Mil),,,,,,,,,,,             31.48,             28.41,             18.78,             29.43,             31.56,             27.05,             20.66,             26.83,             32.79,             21.75,             22.11,             15.65,              1.57,              4.04,              3.54,              4.63,             43.75,,,,,,,
Fm Sudan,...,...,Development,Trade Balance (current US$ Mil),,             77.15,          -2980.77,          -2263.86,          -2682.26,          -2940.77,          -3610.80,          -3417.20,          -4149.28,          -3985.94,          -1697.69,           1648.31,          -2012.99,           2456.98,           -357.99,          -2721.64,          -2446.55,           -488.03,           -413.26,           -508.99,           -184.25,            314.39,           -978.00,           -953.01,           -837.72,           -695.24,           -668.47,           -669.02,           -266.92,           -645.61,           -956.00,           -377.80,           -612.03,           -600.07
Fm Sudan,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             50.76,,,,,,,
Fm Sudan,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,              5.00,              4.00,              4.00,              4.00,,              5.00,,,,              1.00,,,,,,              2.00,,,,,,,,
Fm Sudan,Yemen,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,            172.58,             64.13,,,,,,,,,,,,,,,,,,,
Fm Sudan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             38.96,             33.97,             15.77,             50.93,,,,,,,
Fm Sudan,World,Wood,Export,Export(US$ Mil),,,,,,,,,,,              0.69,              0.64,              0.50,              0.27,              0.18,              0.17,              0.57,              0.33,              0.37,              0.32,              0.30,              0.49,              0.57,              0.22,              0.04,              0.01,              0.01,,,,,,,
Fm Sudan,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,            405.35,            275.88,            186.82,,,,,,,,,,,,,,,
Fm Sudan,World,Mach and Elec,Export,Export(US$ Mil),,,,,,,,,,,              2.95,              3.82,             39.26,             19.63,              5.83,             26.00,             36.78,             12.46,              3.02,             18.41,             10.17,              7.92,              1.39,              5.02,              0.05,              0.14,              0.10,,,,,,,
Fm Sudan,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,            772.33,            660.75,            624.23,           2153.48,           1180.17,            893.86,            539.58,            440.04,            398.05,            300.94,            199.12,            196.54,            130.96,            221.99,            197.36,            102.94,,,,,,,,
Fm Sudan,...,...,Development,GDP (current US$ Mil),,          26110.83,          32250.45,          34522.59,          45017.18,          52804.07,          64458.52,          61731.30,          51215.34,          48243.20,          57892.24,          65634.00,          49957.20,          54526.58,          45898.95,          35822.41,          26524.54,          21457.47,          17646.50,          14803.19,          13182.98,          12257.42,          10682.05,          11250.33,          11681.49,           9018.24,          13829.74,          12794.19,           8881.79,           7034.22,          11379.22,          12408.65,          15291.51,          15399.17
Fm Sudan,World,Metals,Export,Export(US$ Mil),,,,,,,,,,,             23.82,             25.66,             18.04,             56.37,             31.51,             15.92,             15.90,             20.43,              9.78,              4.22,              3.28,              5.09,              1.93,              8.34,              1.43,              1.15,              0.41,,,,,,,
Fm Sudan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),,,,,,,,,,,        1329431.46,        1759595.46,        2024168.11,        6332403.81,,        3628967.75,,,,         141049.72,,,,,,         462677.95,,,,,,,,
Fm Sudan,World,Stone and Glass,Export,Export(US$ Mil),,,,,,,,,,,            828.25,           1160.48,             81.93,            113.84,             63.23,,            108.13,             74.50,             80.40,            101.43,             54.54,             57.34,             24.60,             40.92,             48.06,             30.07,             18.60,,,,,,,
Fm Sudan,World,Intermediate goods,Import,Import(US$ Mil),,,,,,,,,,,           2500.65,           2321.37,           1772.75,           3196.12,           1501.08,           1308.51,           1859.61,           1000.99,            739.69,            564.46,            504.33,            404.99,            234.99,            642.46,            448.73,            290.62,            410.34,,,,,,,
Fm Sudan,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,             56.20,,,,,,,
Fm Sudan,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             85.61,             91.58,            122.62,,,,,,,
Fm Sudan,World,All Products,Import,Imports (in US$ Mil),,,,,,,,,,,           9546.27,          11874.76,           7956.32,          12123.70,           9308.46,           7322.41,           7065.96,           3957.13,           2893.67,           2267.95,           1949.73,           1657.48,            992.80,           2058.60,           1633.99,           1072.81,           1184.93,,,,,,,
Fm Sudan,World,Capital goods,Import,Import(US$ Mil),,,,,,,,,,,           2737.60,           3762.52,           2882.80,           4685.78,           4225.13,           3520.41,           2906.10,           1488.60,            975.46,            748.60,            667.13,            505.69,            325.56,            555.26,            372.46,            257.18,            274.22,,,,,,,
Fm Sudan,World,All Products,Export,Exports (in US$ Mil),,,,,,,,,,,           8981.72,          11529.25,           7505.95,          11809.42,           8942.63,           5252.57,           4502.54,           3611.84,           2606.68,           1243.23,           1819.74,           1898.95,            222.06,            534.65,            490.45,            273.15,            685.19,,,,,,,
Fm Sudan,...,...,Import,No. Of Import partners,,,,,,,,,,,            197.00,            199.00,            206.00,            203.00,            201.00,            214.00,            109.00,            128.00,             86.00,            163.00,            128.00,            138.00,            148.00,            140.00,            140.00,            132.00,            128.00,,,,,,,
Fm Sudan,World,Fuels,Export,Export(US$ Mil),,,,,,,,,,,           7406.59,           9784.27,           6793.84,          11121.65,           8391.74,           4769.57,           3742.74,           2792.07,           1969.31,            721.03,           1422.08,           1402.74,              0.00,,              0.00,              0.00,              1.72,,,,,,,
Fm Sudan,World,Chemicals,Export,Export(US$ Mil),,,,,,,,,,,             10.00,              3.69,              0.07,              1.05,              0.29,              0.31,              0.24,              0.10,              0.97,              2.26,              0.87,              0.97,              0.29,              0.80,              0.26,              0.28,              0.04,,,,,,,
Fm Sudan,Singapore,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            191.05,            185.75,,             78.31,,,            113.61,,             53.58,            141.97,            110.99,,,,,,,,,,,,
Fm Sudan,World,Animal,Export,Export(US$ Mil),,,,,,,,,,,            299.87,            178.36,            248.10,             73.55,             54.41,             99.36,            126.69,            158.39,            121.56,            138.79,             19.39,             85.78,             58.72,            128.76,             87.73,             52.05,             63.19,,,,,,,
Fm Sudan,World,Fuels,Export,Export Product share(%),,,,,,,,,,,     82.46,     84.86,     90.51,     94.18,     93.84,     90.80,     83.13,     77.30,     75.55,     58.00,     78.15,     73.87,      0.00,,      0.00,      0.00,      0.25,,,,,,,
Fm Sudan,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,     20.06,     15.06,    -21.39,     23.70,     18.97,      7.00,     14.47,     20.89,     11.70,      7.82,      2.29,     65.77,      6.99,     15.09,     -2.59,     -5.85,      7.98,,,,,,,
Fm Sudan,World,Vegetable,Export,Export Product share(%),,,,,,,,,,,      3.65,      2.49,      3.07,      2.52,      2.50,      2.92,      5.39,      6.59,      5.75,      9.92,      9.58,     11.77,     43.51,     35.22,     41.00,     36.93,     56.27,,,,,,,
Fm Sudan,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,      5.24,      8.54,     10.35,,,,,,,
Fm Sudan,World,Footwear,Export,Export Product share(%),,,,,,,,,,,      0.00,,,      0.00,      0.00,,,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,,      0.00,      0.00,,,,,,,
