Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Senegal,World,Consumer goods,Export,Export(US$ Mil),           1575.51,           1281.09,           1421.67,           1152.58,            981.17,            796.39,            869.69,           1039.62,            991.37,            828.88,            815.86,            775.38,            818.74,           1062.34,            601.78,            643.04,            509.09,            450.74,            408.37,            246.47,            219.47,            162.78,             70.56,            150.99,             28.40,             35.52,,,,,,,,
Senegal,World,Minerals,Export,Export(US$ Mil),            500.85,            376.03,            390.56,            385.66,            399.23,            366.27,            362.37,            273.09,            214.39,            270.17,            282.08,            239.96,            185.71,            164.37,            119.01,            105.68,             79.21,             65.31,             44.00,             47.58,             39.27,             34.82,             45.70,             38.58,             41.55,             47.85,,,,,,,,
Senegal,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,            105.54,             82.54,             54.59,             68.78,             67.46,,,,,,,,,,
Senegal,World,Raw materials,Export,Export(US$ Mil),           1337.11,           1003.10,           1015.32,            838.79,            764.83,            621.31,            555.58,            583.83,            499.15,            379.04,            399.36,            330.81,            291.87,            311.92,            349.92,            345.85,            338.94,            340.92,            245.30,             72.71,            263.60,            253.22,             70.88,             78.56,             78.61,             94.31,,,,,,,,
Senegal,World,Capital goods,Export,Export(US$ Mil),            133.97,            117.25,             91.07,             74.45,             86.53,             78.16,             85.57,             90.34,             55.05,            109.61,             72.10,             77.51,            155.79,            131.14,             62.18,             76.58,            156.17,             42.47,             54.84,             18.52,             30.48,             23.31,             46.76,             24.83,             11.69,             14.92,,,,,,,,
Senegal,World,Plastic or Rubber,Export,Export(US$ Mil),             46.15,             45.02,             38.95,             49.55,             46.16,             45.79,             42.70,             44.90,             38.72,             41.09,             34.45,             38.30,             52.63,             45.63,             41.98,             34.52,             32.37,             28.22,             26.36,             21.27,             16.79,             11.78,             12.43,             15.63,              3.85,              4.72,,,,,,,,
Senegal,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            327.65,            311.09,            234.37,,            292.54,,            220.66,            176.72,,,,,,,,,,,,,,,,,
Senegal,World,Vegetable,Export,Export(US$ Mil),            650.26,            422.12,            508.24,            348.80,            276.47,            238.97,            227.08,            214.48,            214.53,            156.03,            222.21,            142.63,            129.52,             74.46,            140.39,            120.60,             91.95,             73.06,             57.23,             67.55,             84.96,             78.73,             47.37,             63.12,             12.56,             18.03,,,,,,,,
Senegal,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            225.17,            446.15,            258.23,            148.51,            173.37,            176.56,            174.43,            141.34,            132.05,             82.37,             83.76,             83.56,,,,,,,,,,
Senegal,World,Footwear,Export,Export(US$ Mil),             79.27,             67.67,             41.63,             66.39,             55.03,             44.57,             40.31,             38.24,             30.84,             12.18,              4.84,              6.95,              7.69,              8.25,              8.34,              9.37,              5.94,              6.32,              4.83,              2.91,              1.92,              1.00,              1.86,              1.61,              1.02,              2.02,,,,,,,,
Senegal,World,Miscellaneous,Export,Export(US$ Mil),             29.33,             13.38,             14.76,              8.74,             11.64,            115.14,            168.70,             11.06,             11.84,              9.21,              9.31,              9.80,              8.84,             13.22,              9.63,              6.80,             22.27,              8.17,             10.51,              7.65,              5.07,              5.88,              6.35,              2.67,              1.23,              1.54,,,,,,,,
Senegal,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            217.43,,,,            139.52,            135.04,            122.18,,,,,,,,,,,,,,,,,,             15.01,,,,,,,,,
Senegal,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            342.21,            264.37,            276.23,,,            127.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,...,...,Import,No. Of Import products,           3634.00,           3598.00,           3661.00,           3636.00,           3566.00,           3630.00,           3573.00,           3607.00,           3576.00,           3549.00,           3569.00,           3546.00,           3540.00,           3521.00,           3703.00,           3682.00,           3752.00,           3789.00,           3743.00,           3717.00,           3664.00,           3575.00,           3700.00,           3663.00,           3449.00,           3524.00,,,,,,,,
Senegal,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            509.25,            298.83,            361.57,            302.60,            149.16,            208.09,            140.04,,            173.37,            290.61,            356.60,            209.48,            155.20,            251.98,            103.96,             79.19,            190.18,            182.45,            147.62,            197.39,             97.16,             84.91,            131.58,            142.95,            101.14,            110.65,,,,,,,,
Senegal,...,...,Export,No. Of Export products,           1771.00,           1668.00,           1744.00,           1703.00,           1740.00,           1725.00,           1704.00,           1696.00,           1700.00,           1679.00,           1726.00,           1703.00,           1667.00,           1782.00,           1803.00,           1801.00,           1796.00,           1683.00,           1503.00,           1339.00,           1299.00,           1241.00,           1249.00,           1184.00,            905.00,            890.00,,,,,,,,
Senegal,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            748.00,            485.84,            612.94,            541.98,            301.31,            268.40,            225.04,            272.27,            263.07,            334.15,            221.48,            165.45,            157.14,,,,,,,,,,,,,,,,,,,,,
Senegal,Greece,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             57.11,,,,,,,,,,,,,
Senegal,...,...,Export,No. Of Export partners,            124.00,            137.00,            147.00,            142.00,            142.00,            146.00,            134.00,            144.00,            136.00,            140.00,            140.00,            133.00,            132.00,            137.00,            135.00,            127.00,            127.00,            131.00,             84.00,             81.00,             80.00,             86.00,             78.00,             76.00,             73.00,             64.00,,,,,,,,
Senegal,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1141.16,           1223.63,           1366.50,           1023.90,            989.93,            870.97,            917.07,           1069.50,           1012.30,            948.74,           1018.42,            942.20,            955.87,           1121.70,           1113.39,            894.56,            731.99,            688.78,            590.61,            503.56,            478.97,            423.60,            483.93,            537.59,            450.26,            484.33,,,,,,,,
Senegal,World,Intermediate goods,Export,Export(US$ Mil),           2129.93,           1511.37,           1607.52,           1504.99,           1110.79,           1041.16,            938.24,           1034.82,           1113.56,           1213.54,           1254.15,            901.96,            750.99,            663.18,            532.34,            426.08,            466.60,            481.29,            445.71,            352.27,            267.97,            253.51,            204.46,            262.99,            135.11,            174.88,,,,,,,,
Senegal,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            691.99,,,            519.41,            491.07,            417.27,            354.88,            386.20,            413.08,            427.59,,,,,,,,,,,,,,,,            101.29,,,,,,,,
Senegal,World,Textiles and Clothing,Export,Export(US$ Mil),             67.82,             58.39,             47.60,             56.74,             52.95,             46.80,             45.95,             60.10,             50.11,             35.94,             34.17,             30.37,             30.17,             36.32,             41.33,             35.95,             32.58,             39.06,             41.20,             20.44,             13.22,             10.64,             12.75,             27.25,             23.03,             26.56,,,,,,,,
