Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Singapore,World,Consumer goods,Export,Export(US$ Mil),         100956.37,          79275.40,          99419.92,         105496.55,          91650.39,          79093.38,          85890.62,         113109.38,         113677.30,         117617.90,         118951.61,          89267.86,          68259.94,          93647.30,          70363.73,          57792.53,          46934.71,          40618.31,          28555.87,          24578.22,          24991.02,          27192.36,          15681.06,          16033.93,          27090.47,          19793.77,          26951.69,          17232.14,          14090.04,          13190.21,          12219.95,          10924.78,           9330.86,
Singapore,World,Minerals,Export,Export(US$ Mil),            118.91,             82.85,            129.70,            178.63,             79.38,             95.28,            109.21,            140.04,             99.71,            124.72,            129.27,            100.08,             66.76,            136.07,             98.92,             73.14,             54.89,             56.71,             52.32,             49.51,             84.00,             61.56,             59.83,             57.19,             67.05,             69.50,             85.97,             70.47,             60.03,             64.96,             69.34,             77.55,             70.89,
Singapore,World,Raw materials,Export,Export(US$ Mil),           3909.65,           2984.11,           3675.28,           3444.65,           3430.29,           3665.79,           2991.03,           3969.82,           3129.03,           3112.55,           2693.87,           2246.89,           1494.60,           2316.11,           2250.67,           2067.16,           1608.12,           1752.76,           1212.32,           1111.24,           1162.49,           1317.89,           1247.62,           1419.52,           1846.61,           2080.15,           2485.86,           2180.17,           1722.67,           1855.49,           1933.81,           1961.38,           2146.57,
Singapore,World,Capital goods,Export,Export(US$ Mil),         248722.41,         202230.55,         194885.53,         199951.68,         186366.05,         173162.49,         179492.38,         189808.52,         192589.11,         185580.76,         187137.94,         178472.53,         138559.23,         169369.40,         162651.54,          74858.65,          66626.25,         119581.03,          51593.64,          78820.14,          77019.17,          90829.72,          74156.43,          70345.09,          78452.70,          77331.13,          72346.55,          56442.95,          38575.54,          30901.38,          25932.23,          22616.74,          18888.15,
Singapore,World,Plastic or Rubber,Export,Export(US$ Mil),          17815.72,          14519.30,          16565.33,          18089.20,          16757.89,          14888.54,          15101.35,          17857.14,          16019.07,          15827.72,          15510.60,          12870.43,           8327.30,          10418.87,           9594.01,           8794.96,           7602.31,           6542.62,           5138.08,           3925.29,           3424.42,           3730.72,           3082.89,           2802.72,           3191.40,           3226.76,           3351.53,           2726.14,           2259.66,           2172.69,           2286.08,           2159.28,           2255.54,
Singapore,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,          18107.69,          19371.89,          22149.23,          20484.62,          21291.31,          19195.85,,,,          27029.66,          24626.94,          18896.15,          26416.24,          21801.73,          20024.80,          19246.68,          19093.62,          15405.17,          14577.96,          16082.40,          23153.99,          18491.11,          17029.42,          23283.43,          23842.41,          26330.26,          22597.07,          18650.38,          15200.56,          14104.63,          12260.46,          10602.49,
Singapore,World,Vegetable,Export,Export(US$ Mil),            973.61,            838.44,            826.00,            930.04,            947.28,            938.39,           1111.37,           1349.73,           1211.05,           1239.91,           1681.23,           1087.85,            921.67,           1210.52,            920.13,            727.86,            686.38,            795.76,            687.44,            679.57,            651.50,            838.11,           1006.87,           1066.66,           1266.57,           1263.48,           1647.28,           1419.09,           1092.99,           1145.13,           1136.75,           1084.54,           1252.70,
Singapore,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,           5409.05,           5162.25,,           5247.45,           4862.13,           6790.53,           7175.49,           6423.33,           4904.34,           3515.75,,,,,
Singapore,World,Footwear,Export,Export(US$ Mil),            593.01,            493.69,            612.36,            578.42,            502.97,            462.39,            418.37,           1110.74,            354.07,            327.09,            309.89,            260.12,            188.17,            232.56,            213.97,            200.17,            172.06,            200.54,            183.37,            120.15,            124.23,            156.10,            133.50,            121.22,            197.20,            199.58,            151.08,            119.84,            117.22,            114.34,            117.34,             94.18,             77.80,
Singapore,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           6265.36,           8225.40,           5594.04,           4744.50,,,,,,,,,,
