Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Solomon Islands,World,Consumer goods,Export,Export(US$ Mil),,,,             44.97,             24.42,             10.24,              3.06,              7.31,              2.19,              5.57,              2.96,,              2.95,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Minerals,Export,Export(US$ Mil),,,,             21.29,             20.98,              0.62,              2.70,              0.87,              0.53,              0.89,              0.54,              0.23,              0.00,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Raw materials,Export,Export(US$ Mil),,,,            448.57,            367.71,            325.75,            174.41,             26.69,            253.17,             73.91,            134.16,,             37.67,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Capital goods,Export,Export(US$ Mil),,,,              1.73,              3.32,              5.41,              6.06,              2.94,              1.01,              0.20,              0.69,,              0.85,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,World,Plastic or Rubber,Export,Export(US$ Mil),,,,              0.05,              0.03,              0.02,              0.01,              0.40,              0.02,              0.01,              0.10,              0.01,              0.03,,,              0.00,              0.00,              0.00,              0.01,              0.01,,,,,,,,,,,,,,
Solomon Islands,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             30.38,             33.15,,             28.84,,,,,,             23.41,             17.31,,,,,,,,,,             16.36,,,,,,,,
Solomon Islands,World,Vegetable,Export,Export(US$ Mil),,,,             39.68,             54.70,             49.64,             43.63,             48.57,             41.34,             71.18,             71.37,             43.82,             35.97,             41.48,             21.11,              5.12,              3.79,              3.61,              1.47,              0.15,,,,,,,,,,,,,,
Solomon Islands,World,Footwear,Export,Export(US$ Mil),,,,,              0.00,              0.00,              0.00,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,,,              0.00,,              0.00,,,,,,,,,,,,,,,,
Solomon Islands,World,Miscellaneous,Export,Export(US$ Mil),,,,              0.49,              0.37,              2.35,            174.34,              0.32,              2.19,              0.43,              0.33,              0.55,              0.39,,              0.06,             13.37,              0.01,             23.79,             22.16,             17.33,,,,,,,,,,,,,,
Solomon Islands,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             17.58,             16.20,             16.42,             13.01,,             29.26,             30.82,             17.59,             15.01,             25.70,             11.24,,              4.70,              6.63,              6.21,              4.90,,,,,,,,,,,,,,
Solomon Islands,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              2.82,,,,,,,,,,,,,,
