Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
El Salvador,World,Consumer goods,Export,Export(US$ Mil),           4525.41,           3449.39,           4359.17,           4312.22,           4164.85,           3928.46,           3921.49,           3763.65,           3732.87,           3477.31,           3314.13,           3007.71,           2548.90,           2998.51,           2665.56,           2374.41,           2323.28,           2335.78,           2220.56,           2136.64,           1994.09,           1490.86,            532.87,            502.39,            441.21,            367.70,            331.88,            318.51,,,,,,
El Salvador,World,Minerals,Export,Export(US$ Mil),             10.28,              7.21,              6.28,              8.29,             13.47,             12.14,             14.17,             12.47,              9.91,              8.56,              3.31,              2.86,              6.33,             18.39,             12.22,             11.58,              6.33,              8.90,              4.02,              3.99,              2.89,              3.49,              0.34,              2.22,              3.04,              0.54,              0.65,              0.53,,,,,,
El Salvador,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             93.53,,             91.81,,,,,,,
El Salvador,World,Raw materials,Export,Export(US$ Mil),            260.90,            203.41,            233.72,            239.10,            251.30,            233.39,            283.21,            281.74,            420.81,            505.14,            718.49,            412.18,            367.70,            389.08,            293.65,            264.43,            221.28,            180.17,            153.08,            145.42,            147.08,            341.50,            304.14,            397.43,            587.81,            413.79,            455.38,            312.76,,,,,,
El Salvador,Ecuador,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,            168.26,,,,,,,,,,,,,,,
El Salvador,World,Capital goods,Export,Export(US$ Mil),            341.70,            220.15,            230.82,            304.02,            291.57,            258.27,            249.79,            261.94,            269.61,            263.50,            267.52,            264.49,            190.05,            218.16,            210.41,            209.68,            204.67,            216.39,            159.01,            138.15,            136.50,            105.30,             37.41,             36.78,             33.04,             25.47,             20.26,             17.72,,,,,,
El Salvador,World,Plastic or Rubber,Export,Export(US$ Mil),            498.37,            368.47,            402.31,            366.76,            371.31,            334.43,            344.81,            334.75,            320.69,            305.75,            278.51,            242.77,            195.34,            216.95,            176.05,            136.19,            114.73,             90.95,             70.16,             67.11,             62.69,             56.23,             44.25,             39.39,             33.01,             29.71,             26.31,             24.37,,,,,,
El Salvador,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,            126.66,            145.12,,            114.12,            133.60,            142.89,,,,,,
El Salvador,World,Vegetable,Export,Export(US$ Mil),            247.85,            220.02,            243.28,            230.81,            236.53,            233.87,            285.52,            229.32,            372.80,            437.81,            601.02,            305.90,            315.76,            359.08,            276.42,            250.46,            215.53,           2104.61,           2024.30,           1914.07,           1814.94,           1957.66,            280.70,            355.78,            547.99,            367.20,            398.32,            283.58,,,,,,
El Salvador,World,Footwear,Export,Export(US$ Mil),             29.54,             23.20,             31.58,             33.46,             40.63,             47.58,             60.27,             61.88,             52.20,             47.72,             43.09,             37.31,             31.97,             32.52,             30.26,             22.95,             20.97,             20.03,             19.40,             17.90,             19.48,             19.15,             15.12,             18.15,             15.94,             14.74,             13.67,             18.60,,,,,,
