Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Consumer goods,Export,Export(US$ Mil),          45570.30,          37987.56,          46153.78,          50296.40,          48953.44,          39000.43,          45722.89,          57416.03,          43950.53,          57832.82,          61394.15,          48438.36,          27877.86,          29508.49,          24280.18,          28685.23,          23646.22,          21587.85,          18447.94,          13196.97,          13232.00,          13361.18,           7514.18,           7208.90,           6794.22,           5190.95,           5007.10,           3162.55,           2858.54,           2614.98,            151.46,            164.75,,
,World,Minerals,Export,Export(US$ Mil),          28333.77,          20188.42,          20615.76,          19314.88,          17798.32,          13987.63,          14708.93,          18721.50,          21194.09,          19083.34,          20104.83,          15131.40,           9927.43,          13128.82,           8972.89,           5907.79,           4882.03,           4154.71,           2488.63,           2604.77,           2439.10,           2397.12,           2113.28,           2251.71,           2103.79,           2116.01,           2043.13,            971.80,           1106.19,           1074.98,             20.55,             22.43,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          11697.65,          10935.69,          13535.92,          14024.26,          14869.47,          14069.59,          14612.76,          15714.72,          16151.44,          14416.44,          16940.31,          13569.00,          11147.41,          15265.91,          14099.53,          12360.56,          10104.23,           8423.04,           7723.24,           6134.07,           6095.24,           5338.95,           5143.62,           5443.42,           5843.70,           5745.08,           5430.77,           3906.94,           3017.90,           3140.96,             64.07,             72.71,,
,World,Raw materials,Export,Export(US$ Mil),         133503.95,         104948.54,         144923.94,         169003.36,         140040.63,         110033.11,         128154.01,         205820.64,         221307.52,         255384.78,         246352.04,         179763.23,         138582.44,         146606.92,         152184.21,          94660.06,          33641.66,          27243.72,          46846.17,          36425.23,          37085.62,          46617.38,          30219.63,          21934.07,          29356.53,          28918.92,          14592.65,          10634.07,          10213.83,           4174.86,            517.19,            428.58,,
,World,Capital goods,Export,Export(US$ Mil),          19781.91,          15675.54,          17347.83,          19757.46,          19717.92,          21580.17,          26281.52,          26614.81,          24753.44,          21908.24,          22436.77,          18367.16,          13378.53,          17629.07,          13982.80,          11577.94,           9395.37,           7491.28,           6339.76,           5334.92,           4265.01,           3925.18,           3853.13,           3605.74,           3800.45,           2952.90,           2529.44,           1852.56,           1545.12,           1425.33,             12.75,             15.58,,
,World,Plastic or Rubber,Export,Export(US$ Mil),           2838.01,           3428.39,           3896.33,           4039.12,           4125.83,           3485.46,           3516.22,           4070.75,           6609.21,          14128.18,          12004.48,           4276.47,           2556.28,           3534.52,           2296.61,           1926.90,           1563.68,           1335.46,           1124.71,            851.63,            787.01,            798.91,            716.78,            903.40,            756.66,            868.93,            643.10,            267.87,            231.35,            271.94,              2.11,              2.54,,
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           6062.52,           5183.62,           5089.03,           4752.35,           4502.18,           5288.04,           5397.81,           5196.30,           4381.81,           2913.22,           2165.96,           2091.04,            144.26,            159.08,,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,           3534.99,,,           3392.57,           4002.58,           2544.85,           2481.67,           2097.60,             76.24,             79.27,,
,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          23947.72,          18886.84,          22214.52,          23883.72,          22142.96,          21908.00,          26873.74,          28003.90,          30398.34,          29524.91,          30464.62,          22496.17,          24233.29,          19298.30,          16379.65,          12996.72,          11924.37,          12316.31,          11004.17,           9304.39,           7367.74,           7476.54,,,,,,,,,            246.97,            192.33,,
,World,Vegetable,Export,Export(US$ Mil),          18765.54,          18291.53,          17876.91,          18352.64,          19036.67,          16325.58,          16009.59,          14051.77,          16142.84,          13187.63,          13068.67,          12471.82,           9906.11,          10252.47,           8283.49,           7861.76,           6584.91,           5827.62,           4976.79,           3517.89,           3904.77,           4359.56,           4270.97,           4622.92,           4573.89,           3212.36,           3759.32,           2009.29,            982.31,           1505.05,            178.50,            206.76,,
,World,Footwear,Export,Export(US$ Mil),            539.77,            482.52,            628.56,            549.32,            557.01,            506.59,            552.98,            690.81,            743.14,            584.85,            520.67,            736.06,            304.36,            243.57,            228.59,            199.37,            116.62,            160.31,            147.54,            131.66,            138.34,            137.86,            101.26,            100.35,            101.01,             89.48,             75.10,             33.60,             26.07,             22.57,              3.36,              0.40,,
,World,Miscellaneous,Export,Export(US$ Mil),           1976.19,           1718.09,           1998.68,           2917.57,           2498.36,           2937.42,           2915.24,           2668.84,           2915.56,           3637.10,           4444.50,           3140.07,           3321.15,           2737.50,           2769.69,           2286.21,           1552.90,           2842.63,           2606.36,           1572.54,           1022.50,           4466.76,            974.53,           3409.37,           3576.57,           2485.20,           8447.38,           9774.98,           9366.15,           9097.06,              8.17,              8.11,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          53688.14,          39785.59,          48313.76,          52511.68,          40754.83,          27917.74,          29935.66,          46626.96,          55452.64,          60493.95,          54442.60,          44632.36,          32646.23,          21005.23,          30991.28,           8120.15,           5848.52,,,,,,,,,,,,,,,,,
,...,...,Import,No. Of Import products,           4624.00,           4617.00,           4630.00,           4627.00,           4641.00,           4628.00,           4628.00,           4744.00,           4834.00,           4854.00,           4856.00,           4908.00,           4916.00,           4925.00,           4969.00,           4977.00,           4981.00,           4984.00,           4990.00,           5003.00,           5002.00,           5015.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          19876.91,          13505.64,          23762.14,          27159.39,          23357.63,          16853.19,          21379.43,          28672.49,          24627.77,          28828.92,          25276.12,          18771.09,          11956.81,          12287.82,,,,,,           3135.57,           2909.10,           4764.16,           3696.24,,,,,,,,,,,
,...,...,Export,No. Of Export products,           4536.00,           4531.00,           4554.00,           4568.00,           4578.00,           4562.00,           4557.00,           4600.00,           4677.00,           4715.00,           4708.00,           4735.00,           4692.00,           4756.00,           4823.00,           4842.00,           4848.00,           4854.00,           4872.00,           4868.00,           4891.00,           4876.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11361.33,,,,          10800.39,,,,,,,,,,,,,,,,,,,,,,           1784.03,           2497.02,,,,,
,...,...,Export,No. Of Export partners,            227.00,            226.00,            229.00,            230.00,            233.00,            230.00,            231.00,            232.00,            231.00,            235.00,            234.00,            232.00,            232.00,            232.00,            232.00,            227.00,            229.00,            230.00,            229.00,            229.00,            230.00,            228.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,           3272.75,,           2887.03,           2748.73,,,,,,           1130.90,            101.92,             90.82,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,          13380.33,          12042.79,          12168.23,          12659.37,          10048.52,           8489.59,           8417.39,           7158.10,           5288.00,           5002.66,           4794.42,           5061.92,           5698.06,           5153.98,           4681.23,           3700.97,           1869.26,,,            153.36,            190.57,,
,World,Intermediate goods,Export,Export(US$ Mil),         110842.74,          82887.42,          89418.94,          94708.69,          80804.93,          67806.09,          69471.07,          73219.86,          74001.86,          76994.68,          81351.40,          63352.67,          41134.50,          53876.42,          49174.83,          41873.49,          33884.40,          27979.42,          21184.18,          15472.42,          17540.57,          14227.92,          13854.20,           9747.33,          10856.68,          13471.21,          12454.41,           6866.41,           6137.21,           5465.29,             92.02,             91.97,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22914.43,          18739.70,          21816.70,          18638.87,          17018.50,          16971.05,          19010.42,          19794.46,          21916.66,          16714.40,          14848.74,,,,,,,,,,,,,,,,,,,,,,,
,World,Textiles and Clothing,Export,Export(US$ Mil),           5811.64,           4959.90,           6429.33,           6436.80,           6280.90,           5606.00,           5565.10,           6674.44,           6079.81,           6688.53,           6287.90,           5327.80,           4491.27,           5274.34,           4792.49,           4395.66,           4356.52,           6005.19,           5058.91,           3744.07,           3382.11,           3851.81,           3019.59,           3032.46,           3164.09,           2866.62,           2577.17,           1472.89,           1469.09,            693.05,             59.68,             39.72,,
,World,Food Products,Export,Export(US$ Mil),          11182.23,          15655.71,          18753.87,          20130.65,          19293.49,          17853.89,          21137.08,          20911.32,          20868.59,          21825.58,          18639.24,          16355.60,          14394.64,          11793.63,          10369.52,           9557.15,           8562.48,           8838.30,           8065.29,           6203.49,           5616.52,           4993.82,           4631.91,           5038.61,           5117.31,           5551.03,           4319.63,           1483.81,            993.30,            758.23,            408.35,            339.93,,
,World,Consumer goods,Import,Import(US$ Mil),         122250.49,         102233.22,         122732.50,         127867.63,         116199.42,         104021.04,         118973.21,         125549.57,         131093.33,         114188.35,         122549.00,          99523.70,          83542.28,          77996.93,          71437.43,          54423.47,          40797.72,          33231.12,          31270.79,          23691.09,          22840.71,          20953.02,          15741.14,          16435.01,          15207.88,          13048.66,          11310.98,           6284.84,           5235.95,           4032.93,            319.91,            403.64,,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12479.29,,,,,,,,,,,,,,,,,,,,,           3870.22,,,,,,,,,,,,
,World,Transportation,Export,Export(US$ Mil),          17231.23,          14251.71,          17689.94,          16753.13,          19324.73,          17568.97,          22336.47,          19056.85,          17122.85,          14293.64,          15771.12,          12703.50,           9361.46,          12682.74,           8315.88,           7595.97,           6780.38,           5366.08,           4962.52,           3983.38,           2846.64,           2442.24,           2460.90,           1802.75,           1999.66,           1286.50,           1240.47,            909.30,            842.81,            822.89,              5.86,              8.40,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          57420.81,          54797.71,          57544.42,          55581.01,          49774.22,          47526.24,          54286.42,          50230.38,          47771.60,          40611.70,          40745.91,          35239.54,          27603.40,          26743.85,          23145.58,          15545.55,           9812.41,           6769.05,,,,,,,,,,,,,,,,
,World,Raw materials,Import,Import(US$ Mil),          29084.06,          27581.55,          31534.71,          36668.39,          31498.80,          29313.05,          32490.05,          45026.65,          44590.17,          43537.79,          44986.97,          32632.03,          27520.30,          36181.51,          29050.12,          24272.93,          18092.67,          14924.75,          12298.47,           9435.45,           9642.26,           9676.26,           6905.00,           6898.70,           8537.23,           6630.21,           5546.06,           1646.56,           1527.32,           1478.53,             64.94,             66.54,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           5985.91,           4927.71,           4976.71,,,,,,,,           2324.27,           1257.70,           1361.48,           1153.70,             82.65,             74.45,,
,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12482.57,          11527.51,          18693.29,          26472.54,          20006.52,          16965.51,          16435.43,          18746.37,          19946.14,          23497.95,          18716.11,          14330.33,          11030.77,,          10541.58,,,,,,,,,,,,,,,,,,,
