Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sudan,World,Consumer goods,Export,Export(US$ Mil),,,,            107.96,            214.88,            157.81,            138.82,            210.41,            153.26,             15.57,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Minerals,Export,Export(US$ Mil),,,,              1.73,              3.18,              1.61,              4.05,             25.68,             12.58,              3.07,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Raw materials,Export,Export(US$ Mil),,,,           2415.89,           2339.93,           2053.18,           4612.63,           4166.76,           1880.77,            432.87,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Capital goods,Export,Export(US$ Mil),,,,             50.51,              6.78,             27.80,              1.94,              3.97,              1.89,              5.85,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Jordan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            722.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Plastic or Rubber,Export,Export(US$ Mil),,,,              3.78,              3.60,              2.50,              3.09,              3.67,              1.70,              1.33,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Ethiopia(excludes Eritrea),All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            151.11,,,            158.78,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            574.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Vegetable,Export,Export(US$ Mil),,,,           1037.60,            927.36,           1158.62,            941.49,            666.46,            416.85,            319.40,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Footwear,Export,Export(US$ Mil),,,,              0.07,              0.02,              0.10,              0.14,              0.12,              0.07,              0.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            787.20,           1093.60,           1007.50,            469.00,           1017.85,            477.27,            358.85,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Miscellaneous,Export,Export(US$ Mil),,,,              4.82,              0.11,              0.52,              0.33,              1.51,              0.25,              0.62,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            735.69,            734.40,            502.64,           3153.04,           3110.87,           1294.02,             70.40,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Import,No. Of Import products,,,,           3344.00,           3411.00,           3391.00,           3245.00,           3376.00,           3247.00,           3233.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             97.29,,,            204.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Export,No. Of Export products,,,,            558.00,            307.00,            442.00,            330.00,            462.00,            273.00,            317.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Export,No. Of Export partners,,,,            134.00,             98.00,            142.00,             98.00,            145.00,            105.00,            112.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Intermediate goods,Export,Export(US$ Mil),,,,           1044.87,           1679.03,           1643.72,            834.11,           1730.09,          23919.44,           1993.11,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,            873.66,            704.48,            679.76,            717.67,            773.31,            506.09,            657.80,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Textiles and Clothing,Export,Export(US$ Mil),,,,            158.79,            138.92,             81.70,             39.69,             34.97,             55.13,             21.08,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Food Products,Export,Export(US$ Mil),,,,             40.69,             84.01,            134.68,             98.12,            114.33,             84.78,             47.58,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Consumer goods,Import,Import(US$ Mil),,,,           4311.56,           4133.31,           3607.74,           3831.68,           4304.48,           3012.34,           2598.46,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Transportation,Export,Export(US$ Mil),,,,             48.55,,              0.36,              1.70,              5.53,              0.54,              4.31,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            588.49,            600.34,            532.49,            803.70,            468.38,            157.98,             71.47,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1822.62,           2260.46,           1997.87,           1915.01,           1860.96,           1391.22,           1207.19,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            993.83,           1706.63,           1274.62,            805.55,           1566.83,          23908.30,           1844.28,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            580.35,            427.77,            608.65,            151.76,            238.78,            133.77,             95.77,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Raw materials,Import,Import(US$ Mil),,,,           2009.60,            954.49,           2338.04,            281.57,           1391.52,            744.76,            421.63,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Malaysia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            687.81,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1582.16,,           1885.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Hides and Skins,Export,Export(US$ Mil),,,,             16.29,             24.69,             69.24,             33.17,             42.96,             30.37,             36.47,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,...,...,Tariff,No. Of Tariff Agreement,,,,,              5.00,,,,              5.00,              4.00,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            311.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Wood,Export,Export(US$ Mil),,,,              3.87,             12.56,              1.67,            101.29,              1.48,             18.18,              3.09,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,"Egypt, Arab Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            613.26,            545.63,            490.31,            513.08,            464.66,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Mach and Elec,Export,Export(US$ Mil),,,,              7.90,,              1.18,              0.75,              1.94,              1.38,              1.61,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,           1071.24,            709.79,,,,            497.44,            543.98,,,,,,,,,,,,,,,,,,,,,,,,
Sudan,World,Metals,Export,Export(US$ Mil),,,,             22.69,             31.11,             88.83,             23.65,             21.53,             15.16,             22.24,,,,,,,,,,,,,,,,,,,,,,,,
