Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Suriname,World,Consumer goods,Export,Export(US$ Mil),            182.99,             88.44,             69.69,             14.69,            204.56,             19.98,             45.97,            286.11,            248.71,            219.31,            313.09,            303.52,            124.82,            242.64,            106.34,            102.46,             94.37,             61.21,             47.26,             33.16,             21.36,             19.89,              3.47,,,              3.45,             36.10,             31.87,,,,,,
Suriname,World,Minerals,Export,Export(US$ Mil),              6.57,              0.09,             98.04,            143.17,              2.08,            113.95,            449.58,              0.34,              0.28,              0.28,              0.15,              0.18,              0.41,              0.16,              0.13,              0.25,              0.09,              0.22,              0.56,              0.08,              0.17,              0.14,,,,              0.03,              0.05,              0.02,,,,,,
Suriname,World,Raw materials,Export,Export(US$ Mil),            138.89,            126.08,            138.99,            124.42,             82.43,             64.98,             67.22,             64.42,             48.73,             56.70,             40.47,             29.03,             21.16,             28.76,             13.31,              8.47,              9.40,              9.70,             10.36,             17.77,             11.10,             11.74,             52.31,,,            110.52,             29.06,             29.78,,,,,,
Suriname,World,Capital goods,Export,Export(US$ Mil),             93.27,             98.74,             10.00,              2.50,             27.11,              5.67,             12.27,             44.36,             34.59,             32.03,             61.02,             26.33,             21.58,             27.68,             23.53,             19.80,             13.24,              5.17,              7.06,              6.06,              7.49,             11.14,              6.09,,,              3.50,              5.36,              6.60,,,,,,
Suriname,World,Plastic or Rubber,Export,Export(US$ Mil),              3.32,              3.27,              2.93,              3.18,              4.00,              4.85,              6.64,              7.57,              5.79,              5.22,              4.26,              3.44,              3.32,              2.35,              2.94,              2.33,              1.87,              1.68,              1.71,              1.02,              0.87,              0.61,              0.22,,,              0.04,              0.15,              0.11,,,,,,
Suriname,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            114.94,,,            139.82,,,,,,            105.98,             42.42,             45.51,,             34.06,             25.09,             16.49,             11.06,              8.47,,,,,,,,,,,,
Suriname,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,             24.62,,,,,,
Suriname,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             96.82,,,            100.55,            118.48,            151.54,,,,,,
Suriname,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             34.01,,,,,,,,             49.65,             58.21,             43.19,,,             96.62,             49.78,             31.45,             27.23,             41.00,             56.66,,,             13.15,,,,,,,,
Suriname,World,Vegetable,Export,Export(US$ Mil),             38.17,             46.07,             47.96,             55.33,             33.21,             64.76,             77.49,             59.42,             42.46,             73.14,             45.90,             40.43,             32.33,             44.80,             25.20,             19.74,             16.36,             20.36,             18.72,             20.85,             14.58,             14.18,             14.55,,,             42.21,             45.90,             42.44,,,,,,
Suriname,Netherlands Antilles,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             32.90,             40.46,,,,,,,,,,,,,
Suriname,World,Footwear,Export,Export(US$ Mil),              0.44,              0.55,              0.62,              3.58,              0.25,              0.60,              0.27,              0.15,              0.08,              0.27,              0.16,              0.10,              0.15,              0.21,              0.55,              0.36,              0.11,              0.04,              0.22,              0.01,              0.03,              0.05,              0.01,,,              0.00,              0.00,              0.09,,,,,,
Suriname,Netherlands Antilles,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             30.77,,,,,,,,
Suriname,World,Miscellaneous,Export,Export(US$ Mil),              5.90,             36.68,             19.50,             13.03,             69.41,             23.53,             50.08,           1525.82,           1866.52,           2070.24,           2034.59,           1665.13,           1228.41,            763.21,            724.57,            612.34,            540.07,            477.84,            364.39,            345.54,            307.79,            395.34,              2.75,,,              2.82,              0.85,              0.95,,,,,,
Suriname,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,            216.50,            324.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,...,...,Import,No. Of Import products,           2548.00,           2556.00,           1843.00,           1852.00,           2579.00,           1561.00,           1676.00,           2617.00,           2633.00,           2682.00,           2919.00,           2923.00,           2233.00,           1687.00,           1702.00,           1694.00,           1708.00,           1711.00,           1672.00,           1652.00,           1689.00,           1685.00,           1858.00,,,           2062.00,            897.00,            860.00,,,,,,
Suriname,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,             21.19,,,,,,,,,,,,,,,
Suriname,...,...,Export,No. Of Export products,            725.00,            192.00,            186.00,            126.00,            726.00,            140.00,            154.00,            723.00,            584.00,           1033.00,           1074.00,            781.00,            874.00,            773.00,            787.00,            783.00,            772.00,            839.00,            763.00,            678.00,            722.00,            633.00,            276.00,,,            473.00,            444.00,            346.00,,,,,,
Suriname,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1131.85,            804.71,            721.04,           1066.58,           1088.08,            368.98,,            261.24,            494.03,            531.68,            231.10,            179.04,            156.46,            158.77,            138.51,             30.42,,,,,,,,,,,,,,,,,,
Suriname,...,...,Export,No. Of Export partners,             92.00,             80.00,             81.00,             76.00,             93.00,             77.00,             81.00,             98.00,             93.00,            103.00,             90.00,             90.00,             81.00,             86.00,             82.00,             82.00,             86.00,             79.00,             72.00,             74.00,             69.00,             66.00,             54.00,,,             43.00,             38.00,             33.00,,,,,,
Suriname,World,Intermediate goods,Export,Export(US$ Mil),           1874.54,           1571.61,           1381.42,           1684.84,           1691.70,            884.93,            579.86,             14.75,             14.70,             13.54,             25.87,              7.41,             11.43,              8.65,              2.77,              3.45,              2.78,              4.92,              3.03,              1.44,              3.40,              3.89,            291.85,,,            307.52,            412.16,            468.51,,,,,,
Suriname,World,Textiles and Clothing,Export,Export(US$ Mil),              0.68,              0.67,              1.16,              0.95,              0.73,              0.64,              0.94,              0.71,              0.85,              0.93,              0.83,              0.92,              0.75,              0.62,              0.48,              0.39,              0.39,              0.68,              0.76,              0.34,              0.29,              0.35,              0.44,,,              0.09,              0.08,              0.07,,,,,,
Suriname,Trinidad and Tobago,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            198.85,            280.70,            107.77,            172.07,            117.34,            130.82,            121.24,            194.32,            403.59,            319.59,            416.10,            331.60,            276.55,            268.45,            212.67,            227.80,            200.16,            131.38,            137.28,             80.25,             76.84,             90.43,             53.29,,,             62.01,             42.93,             56.31,,,,,,
Suriname,World,Food Products,Export,Export(US$ Mil),             78.47,             73.49,             66.56,             48.01,             35.18,             28.80,             45.67,             40.83,             32.78,             33.50,             48.74,              7.62,             28.67,             28.30,             24.63,             26.26,             54.52,             26.47,             23.22,             13.66,              8.76,              7.33,              0.30,,,              0.21,              0.18,              0.17,,,,,,
Suriname,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             57.50,             52.95,             55.12,,,,,,,,,,,,,,,             36.48,,,,,,,
Suriname,World,Consumer goods,Import,Import(US$ Mil),            560.09,            629.71,            673.90,            541.40,            535.27,            470.06,            728.00,            899.22,           1068.81,            846.60,            885.32,            721.96,            659.13,            553.09,            436.87,            418.59,            417.30,            295.26,            301.60,            225.81,            205.09,            210.21,            220.97,,,            168.22,            254.26,            222.31,,,,,,
Suriname,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            308.14,            577.31,            390.61,,            260.37,           1109.26,,,,,,,            754.61,            720.42,            608.79,            537.48,            475.66,            362.06,            341.05,            303.95,            393.19,,,,,,,,,,,,
Suriname,World,Transportation,Export,Export(US$ Mil),             21.45,             19.40,             23.79,             17.45,              5.37,              4.81,             60.73,              7.34,             10.89,              3.50,              9.90,              4.01,              6.59,             10.97,             15.69,             10.52,              3.84,              1.39,              3.02,              2.46,              2.64,              4.01,              0.80,,,              1.30,              0.53,              1.21,,,,,,
Suriname,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            117.76,            124.60,            154.01,            119.81,            103.43,             60.14,            103.86,            122.55,,            113.11,            106.62,            100.76,             87.37,            103.78,             65.34,             48.36,             52.75,             31.62,             23.20,,,,,,,,,,,,,,,
Suriname,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            597.90,            401.91,            535.50,            292.39,            106.96,            407.77,            415.92,            421.91,            748.67,            802.50,            642.95,            278.35,            110.38,,,,             53.37,             63.37,             47.85,,,,,,,,,,,,,,,
Suriname,World,Raw materials,Import,Import(US$ Mil),             55.00,             46.08,             43.50,             40.03,             47.77,             36.79,             52.24,             63.41,             64.08,             64.37,             63.87,             61.10,             38.61,             40.07,             32.49,             28.50,             31.38,             24.74,             26.78,             23.22,             22.60,             26.09,             25.52,,,             21.91,             30.00,             42.60,,,,,,
Suriname,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            228.45,            182.73,            180.30,            168.98,            167.00,            135.03,            176.96,            263.71,            311.31,            319.78,            262.50,            245.20,            261.75,            260.30,            238.08,            198.99,            185.52,            147.80,            156.92,            123.81,            103.21,            120.54,            116.80,,,            123.27,            115.54,            103.84,,,,,,
Suriname,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             20.45,,,             41.31,             28.92,             36.17,,,,,,
Suriname,Venezuela,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,             15.74,             17.41,             16.37,,,,,,
Suriname,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             20.42,,,,,,,,,,,,
Suriname,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            252.67,            208.22,,            269.89,            538.32,,,,,,,,,            110.76,            122.16,,,,,,             20.11,,,,,,,,,,,
Suriname,World,Hides and Skins,Export,Export(US$ Mil),              0.08,              0.25,              0.23,              0.18,              0.18,              0.36,              0.14,              0.14,              0.07,              0.09,              0.12,              0.12,              0.18,              0.12,              0.19,              0.05,              0.04,              0.05,              0.06,              0.12,              0.14,              0.07,,,,              0.00,              0.00,              0.02,,,,,,
Suriname,...,...,Development,Trade Balance (current US$ Mil),,           1028.10,           -265.35,            149.28,             60.37,           -202.13,           -478.82,,,,,            617.40,             12.75,            164.30,            201.82,            192.44,,,,,,,,,,,,,,,,,,
Suriname,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             46.15,,,,,,,,,,,
Suriname,...,...,Tariff,No. Of Tariff Agreement,              6.00,              5.00,              5.00,              5.00,,,,,              2.00,              2.00,              1.00,              1.00,              1.00,,              4.00,,,,,,,              1.00,              1.00,,,              1.00,,,,,,,,
Suriname,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             57.65,,             35.21,,,,,,,,,,,,,,,,,,,,,,,,             24.53,,,,,,,
Suriname,World,Wood,Export,Export(US$ Mil),             72.52,             89.50,             71.73,             70.07,             59.86,             38.91,             32.31,             27.92,             20.89,             20.32,             16.19,              9.63,              7.15,              6.45,              6.73,              9.29,              3.82,              2.95,              3.90,              5.15,              5.08,              3.47,              3.26,,,              5.85,              3.40,              2.31,,,,,,
Suriname,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,             33.74,,,,,,
Suriname,Curaçao,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            117.02,            150.81,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,World,Mach and Elec,Export,Export(US$ Mil),             71.44,             89.31,              5.97,              0.40,             17.38,              1.81,              4.60,             22.53,             16.65,             19.48,             50.10,             17.52,             14.19,             17.03,             12.94,             15.24,             40.47,              9.03,              6.79,              4.79,              5.69,              9.25,              5.21,,,              1.92,              4.68,              4.01,,,,,,
Suriname,Panama,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             13.53,,,,,,,,,,,,
Suriname,...,...,Development,GDP (current US$ Mil),,           3807.92,           4221.37,           3996.25,           3591.62,           3317.44,           5126.29,           5240.61,           5145.76,           4980.00,           4422.28,           4368.40,           3875.41,           3532.97,           2936.61,           2626.38,           1793.39,           1484.09,           1274.19,           1093.57,            834.28,            947.67,            886.29,           1110.85,            926.42,            861.41,            691.59,            605.49,            428.76,            404.60,            448.10,            388.40,            542.60,           1161.00
