Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Slovak Republic,World,Consumer goods,Export,Export(US$ Mil),          53215.23,          46654.14,          47632.91,          48166.50,          41244.22,          39083.16,          36995.42,          42526.20,          41770.21,          38573.50,          39291.17,          32975.08,          29414.32,          35977.75,          30126.60,          20567.14,          14437.84,          12725.79,          10587.75,           7005.00,           6004.22,           5759.84,           4143.03,           4296.79,           3151.90,           2912.57,           2587.16,           2077.74,,,,,,
Slovak Republic,World,Minerals,Export,Export(US$ Mil),            425.07,            358.36,            354.84,            380.73,            329.13,            283.11,            303.33,            368.03,            364.54,            354.42,            442.89,            375.05,            335.78,            457.88,            324.97,            247.35,            248.12,            225.44,            185.34,            158.34,            150.03,            136.96,            150.55,            144.68,            144.58,            145.65,            162.96,            133.32,,,,,,
Slovak Republic,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          20073.86,          15894.94,          15126.06,          16807.32,          13989.97,          12809.96,          11529.50,          12690.46,          12894.07,          12803.01,          12853.95,          10353.52,           8493.29,          14396.19,          11080.89,           8683.93,           7055.67,           6883.78,           5756.41,           3761.51,           3644.21,           3199.99,           2909.17,           3357.00,           2309.56,           1501.83,           1238.18,            888.01,,,,,,
Slovak Republic,World,Raw materials,Export,Export(US$ Mil),           3058.56,           2327.84,           2340.94,           2461.85,           2295.69,           2030.28,           2115.68,           2617.88,           3018.57,           3092.97,           3002.67,           2450.33,           1905.62,           2190.42,           1796.67,           1372.44,           1164.18,            872.22,            493.57,            375.43,            348.62,            316.67,            335.32,            335.98,            340.11,            250.82,            389.04,            325.55,,,,,,
Slovak Republic,World,Capital goods,Export,Export(US$ Mil),          30570.86,          26306.06,          27213.08,          28615.94,          26923.72,          24651.10,          24423.02,          26873.96,          26494.26,          23660.71,          21695.84,          17628.39,          14296.66,          17312.09,          13670.20,           9547.67,           8121.88,           7138.47,           5508.96,           3009.29,           2701.62,           2385.75,           2208.29,           2170.22,           2088.18,           1708.16,           1610.90,           1292.66,,,,,,
Slovak Republic,World,Plastic or Rubber,Export,Export(US$ Mil),           5861.76,           4613.30,           4982.57,           5494.98,           5062.06,           4677.05,           4630.50,           4777.06,           4619.38,           4180.33,           4490.18,           3452.47,           2645.43,           3340.48,           3037.05,           2346.97,           1860.37,           1498.87,           1137.36,            839.49,            672.21,            640.59,            565.33,            623.52,            652.93,            635.06,            728.08,            525.75,,,,,,
Slovak Republic,Poland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,           4953.60,           5276.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovak Republic,World,Vegetable,Export,Export(US$ Mil),           1606.45,           1373.38,           1122.91,           1201.09,           1162.85,           1208.55,           1198.21,           1311.00,           1754.04,           2066.23,           1640.43,           1028.50,           1092.34,            946.65,            768.11,            599.67,            452.32,            341.91,            233.59,            179.54,            155.92,            137.30,            174.79,            188.29,            163.01,            153.47,            257.63,            143.60,,,,,,
Slovak Republic,World,Footwear,Export,Export(US$ Mil),           1068.61,           1007.78,           1117.82,           1242.59,           1187.89,           1110.17,           1164.07,           1402.82,           1292.87,           1051.41,           1322.16,            956.61,            829.62,            930.03,            685.79,            492.58,            471.74,            461.08,            412.47,            292.15,            237.40,            215.57,            193.40,            189.71,            185.15,            143.28,            131.84,            120.24,,,,,,
Slovak Republic,World,Miscellaneous,Export,Export(US$ Mil),           3858.02,           3260.89,           3559.90,           3896.15,           3442.10,           2960.51,           2936.09,           3267.17,           3050.72,           2886.34,           2899.08,           2506.79,           2341.11,           3995.74,           3221.46,           2639.93,           1882.74,           1304.42,           1230.41,            755.65,            553.38,            464.89,            338.66,            376.13,            371.47,            369.13,            402.88,            317.88,,,,,,
