Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Slovenia,World,Consumer goods,Export,Export(US$ Mil),          23299.26,          19277.92,          18498.75,          16885.40,          14678.58,          12664.16,          12212.76,          14230.23,          12954.91,          11941.09,          12805.48,          11261.42,          10853.81,          13087.49,          11775.94,           8952.17,           8036.63,           6972.88,           5798.86,           4781.91,           4196.47,           4014.20,           4061.42,           4404.71,           4110.92,           4155.61,           4022.81,           3417.04,,,,,,
Slovenia,World,Minerals,Export,Export(US$ Mil),            143.00,            123.05,            129.44,            118.10,            130.34,            120.10,            118.36,            170.09,            144.46,             76.60,             89.87,             76.45,             60.48,             83.41,             72.76,             55.87,             41.16,             32.49,             29.60,             20.79,             17.80,             15.05,             14.83,             16.03,             14.57,             13.36,             15.69,             13.97,,,,,,
Slovenia,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           6403.34,           5130.02,           5535.41,           5908.47,           5320.54,           4685.22,           4453.40,           4955.18,           5023.31,           4591.89,           5051.72,           4273.04,           3957.82,           5770.08,           5149.21,           4142.63,           3383.17,           3104.26,           2571.25,           2021.80,           1876.91,           1872.11,           2071.55,           2088.97,           1935.48,           2043.89,           2205.92,           1734.20,,,,,,
Slovenia,World,Raw materials,Export,Export(US$ Mil),           1857.41,           1409.45,           1467.95,           1540.71,           1429.13,           1212.60,           1161.78,           1366.93,           1248.53,           1145.19,           1295.50,            995.88,            692.41,            963.73,            782.10,            598.16,            395.64,            286.62,            204.06,            168.85,            166.35,            153.29,            158.14,            167.90,            160.76,            156.74,            160.64,            168.94,,,,,,
Slovenia,World,Capital goods,Export,Export(US$ Mil),          10810.25,           9179.62,           9743.21,           9894.49,           8721.17,           7444.92,           6944.88,           7698.18,           7367.67,           7009.48,           7274.37,           6110.15,           5619.69,           7705.29,           6824.00,           5397.06,           4481.93,           4157.12,           3290.09,           2598.30,           2329.54,           2127.83,           2018.07,           2087.49,           1846.74,           1831.41,           1780.19,           1443.84,,,,,,
Slovenia,World,Plastic or Rubber,Export,Export(US$ Mil),           2902.43,           2191.94,           2242.68,           2304.22,           2033.79,           1808.20,           1731.93,           2013.28,           1933.40,           1784.88,           1974.36,           1559.71,           1340.74,           1754.01,           1631.93,           1339.94,           1132.11,           1002.87,            820.69,            629.75,            549.90,            487.11,            465.39,            453.47,            431.24,            402.30,            407.19,            292.53,,,,,,
Slovenia,World,Vegetable,Export,Export(US$ Mil),            522.68,            429.10,            402.20,            366.63,            331.44,            267.92,            247.62,            249.32,            223.83,            221.96,            328.93,            266.83,            168.62,            277.73,            137.63,             85.81,             81.58,             47.57,             45.06,             34.80,             33.97,             34.01,             42.40,             50.48,             53.29,             55.59,             54.89,             59.94,,,,,,
Slovenia,World,Footwear,Export,Export(US$ Mil),            251.53,            192.24,            198.70,            207.86,            194.74,            167.12,            155.62,            184.61,            155.26,            134.52,            160.83,            142.27,            141.81,            155.57,            142.27,            119.44,            108.18,             96.35,             85.93,             85.15,             95.43,             90.59,            101.77,            115.19,            120.67,            136.38,            164.69,            167.61,,,,,,
Slovenia,World,Miscellaneous,Export,Export(US$ Mil),           2722.76,           2327.06,           2477.31,           2493.85,           2164.44,           1936.28,           1720.91,           1944.04,           1780.83,           1709.82,           1892.70,           1639.58,           1654.51,           2299.84,           2175.01,           1959.15,           1854.21,           1846.43,           1474.81,           1183.12,           1055.60,           1003.94,           1020.04,            973.28,            873.80,            887.21,            865.20,            707.40,,,,,,
Slovenia,Croatia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3648.47,           3003.23,           3234.24,           2959.62,           2546.81,           2299.05,           2064.58,           2357.59,           1972.57,           1743.51,           1956.39,           1640.75,           1729.06,           2505.91,           2135.20,           1821.21,           1620.22,           1446.87,           1140.69,            901.98,            798.77,            688.04,            671.16,            815.18,            837.15,            854.95,            891.02,            737.67,,,,,,
