Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Sweden,World,Consumer goods,Export,Export(US$ Mil),          64606.01,          54794.59,          55508.00,          56513.59,          49706.38,          44445.85,          44258.54,          51472.46,          51538.90,          54501.44,          55510.50,          49402.36,          42891.69,          56886.00,          51970.46,          47308.15,          39789.43,          37622.63,          31927.24,          24593.06,          23238.39,          23799.07,          18289.14,          20431.54,          19780.11,          19937.01,          18578.38,          15696.09,          13217.79,          14694.64,,,,
Sweden,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14664.11,          11668.76,          11066.88,          11441.96,          10445.67,           9690.41,           9510.98,          11271.35,          11359.37,          11010.54,          11487.33,          10306.14,           9618.22,          13580.08,          12466.50,          10598.54,           8969.33,           8223.11,           6543.40,           5058.87,           4618.28,           5017.63,           4766.36,           5412.83,           5094.16,           5329.32,           5077.11,,,           3784.68,,,,
Sweden,World,Minerals,Export,Export(US$ Mil),           5774.78,           3859.94,           3468.17,           3435.45,           3330.03,           2370.81,           2277.77,           3549.98,           3551.09,           4042.12,           4322.56,           3248.33,           1819.71,           2850.30,           2293.97,           2076.77,           1522.41,           1008.10,            773.93,            617.92,            549.84,            689.46,            657.30,            837.87,            945.67,            846.74,            876.87,            693.79,            698.56,            787.19,,,,
Sweden,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          31739.72,          26978.66,          28208.44,          30438.16,          28813.21,          26403.31,          24728.94,          28182.62,          27992.32,          28357.93,          32328.56,          26758.23,          21472.50,          29875.83,          27986.16,          22926.76,          20199.92,          18864.41,          15639.19,          12381.31,          11280.90,          12752.60,          11354.91,          13146.14,          12130.60,          12566.30,          12725.51,           9433.89,           7584.02,           9191.52,,,,
Sweden,World,Raw materials,Export,Export(US$ Mil),          13199.45,           9982.58,           9614.49,           9811.81,           9407.65,           8262.39,           7467.32,           9507.85,           9130.89,           9123.41,           9378.37,           7598.45,           5195.85,           6905.64,           5718.58,           4874.89,           3765.70,           2925.59,           2291.59,           1774.33,           1590.91,           1734.27,           1595.53,           1852.65,           2094.92,           1898.24,           1736.31,           1301.62,           1155.85,           1458.58,,,,
Sweden,World,Capital goods,Export,Export(US$ Mil),          55180.73,          47349.43,          50243.51,          51907.75,          49473.22,          46613.48,          46761.65,          54823.80,          55912.55,          56297.89,          64658.67,          52904.35,          42652.13,          62383.05,          57970.57,          50841.49,          46393.89,          44836.53,          36651.52,          31159.81,          28135.45,          36235.34,          32778.66,          35169.52,          32722.63,          33028.88,          28584.95,          24285.15,          18759.96,          20732.54,,,,
Sweden,World,Plastic or Rubber,Export,Export(US$ Mil),           8190.63,           6266.51,           6441.79,           6670.79,           6381.51,           5905.50,           5975.49,           7092.45,           7183.92,           6874.10,           7303.00,           6327.53,           5310.71,           6951.59,           6497.88,           5432.80,           4917.99,           4496.52,           3790.89,           3088.21,           2826.03,           3021.01,           2956.08,           3072.40,           2490.48,           2460.75,           2339.75,           2401.57,           2019.12,           2159.86,,,,
Sweden,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,          10016.13,           9593.76,          10719.09,          10449.61,           8336.32,           6858.35,          10834.51,          11099.33,           7964.98,           7695.07,           7510.13,           6724.70,           5916.71,           5689.20,           6968.30,           6839.87,           7308.52,           6451.61,           6832.97,           6087.39,           4954.85,           4009.64,           4286.93,,,,
Sweden,Norway,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          20254.23,          16337.10,          16982.09,          17251.72,          15441.32,          14102.14,          14107.67,          17036.35,          17670.76,          17546.13,          17507.71,          15623.25,          13828.39,          17471.45,          15907.05,          13460.13,          11305.42,          10651.37,           8824.74,           7209.26,           6510.35,           6556.33,           6333.10,           7244.45,           6935.73,           7147.08,           6102.56,           4668.66,           3787.96,           4389.91,,,,
Sweden,World,Vegetable,Export,Export(US$ Mil),           1923.47,           1702.01,           1500.65,           1477.06,           1614.18,           1492.23,           1506.83,           1782.31,           1654.38,           1644.02,           1598.96,           1285.61,           1200.55,           1565.44,           1216.57,            889.10,            859.01,            776.99,            701.59,            572.19,            531.52,            458.22,            490.59,            591.10,            681.79,            582.44,            421.91,            357.23,            244.13,            351.69,,,,
