Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Eswatini,World,Consumer goods,Export,Export(US$ Mil),            428.95,            321.64,            410.10,            400.66,            352.83,            341.94,            368.89,            383.72,            424.74,            407.99,            417.16,            419.78,            401.82,            255.97,            150.19,            296.04,            301.30,            531.74,            657.13,            316.88,            335.32,            349.45,,,,,,,,,,,,
Eswatini,World,Minerals,Export,Export(US$ Mil),              0.01,              0.02,              0.05,              0.06,              0.01,              0.01,              0.02,             34.54,             70.05,             98.88,              3.32,              0.43,              0.05,              0.16,              0.06,              0.65,              0.58,              0.74,              0.07,              0.43,              1.99,              3.01,,,,,,,,,,,,
Eswatini,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             25.38,,,,,,,,,,,,,,,,,,
Eswatini,World,Raw materials,Export,Export(US$ Mil),             99.07,             72.22,             84.99,             79.29,             72.15,             41.75,             37.91,             91.35,            137.65,            148.08,             63.78,             55.99,             35.65,             61.10,             62.66,             57.89,             61.56,             62.67,             55.95,             39.38,             31.36,             63.54,,,,,,,,,,,,
Eswatini,World,Capital goods,Export,Export(US$ Mil),             32.91,             36.45,             41.24,             45.43,             26.92,             20.37,             26.83,             30.97,             31.69,             27.85,             46.02,             52.06,             51.40,             52.33,             42.87,             49.50,             52.84,             58.24,             48.30,             34.78,             28.21,             81.40,,,,,,,,,,,,
Eswatini,World,Plastic or Rubber,Export,Export(US$ Mil),              8.60,              6.95,              8.78,              9.53,              7.26,              7.46,              7.38,              8.45,              8.19,              9.06,             12.35,             21.69,             19.88,             15.94,             17.34,             11.74,              6.28,              5.35,              4.47,              2.84,              2.80,              3.62,,,,,,,,,,,,
Eswatini,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             12.72,             13.66,,,,             32.64,,,             19.22,             29.75,,,,,,,,,,,,,
Eswatini,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             23.39,,             23.57,,,,,,,,,,              6.77,             30.09,             26.08,,,,             20.84,             22.38,              8.09,,,,,,,,,,,,
Eswatini,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1536.90,           1146.53,           1337.05,           1391.27,           1262.04,           1200.91,           1194.60,           1471.82,           1669.92,           1735.66,           2603.63,           1834.72,           1289.61,           1192.41,           1033.24,            995.23,           1339.29,           1567.75,           1199.34,            847.83,            740.15,           1022.13,,,,,,,,,,,,
Eswatini,World,Vegetable,Export,Export(US$ Mil),             19.83,             17.94,             20.48,             22.20,             14.32,             13.74,             12.83,             13.96,             21.63,             13.79,             29.52,             23.30,             15.87,             21.79,             19.67,             22.89,             29.91,             22.35,             20.84,             20.07,             18.91,             23.89,,,,,,,,,,,,
Eswatini,World,Footwear,Export,Export(US$ Mil),              0.26,              0.11,              0.26,              0.20,              0.22,              0.05,              0.12,              0.09,              0.44,              0.06,              0.21,              0.28,              0.44,              0.48,              0.14,              0.49,              0.31,              0.61,              0.75,              0.27,              0.28,              0.19,,,,,,,,,,,,
Eswatini,Nigeria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             79.65,            102.63,             99.75,             78.24,             84.34,             79.23,             84.49,             89.65,,,,,,,,,,,,,             19.32,,,,,,,,,,,,,
Eswatini,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            582.41,,,,,,,,,,,,,,,
Eswatini,World,Miscellaneous,Export,Export(US$ Mil),             14.02,             11.45,             14.11,             14.05,             12.25,             11.07,              9.49,             11.02,             12.42,             11.33,             12.73,             12.68,             11.83,             17.44,             12.87,             22.11,             23.07,            611.05,             37.12,             28.24,             26.32,             34.75,,,,,,,,,,,,
Eswatini,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            500.84,,,,,,,,,,,,,,
Eswatini,Mozambique,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             34.04,,             43.82,             26.27,,,,,,,,,,,,,             57.31,,             37.99,,,,,,,,,,,,,,,
Eswatini,Finland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             83.78,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,            246.67,,,,,,,,,,,,,,,,,,
Eswatini,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             67.75,             78.38,,,,,,,,,,,,,
Eswatini,Switzerland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             18.14,,,,,,,,,,,,,,
Eswatini,...,...,Import,No. Of Import products,           3827.00,           3797.00,           3870.00,           3924.00,           3939.00,           3968.00,           3985.00,           3950.00,           3985.00,           4052.00,           4016.00,           4007.00,           4030.00,           4032.00,           4416.00,           4435.00,           4487.00,           4447.00,           4457.00,           4404.00,           4383.00,           4399.00,,,,,,,,,,,,
Eswatini,...,...,Export,No. Of Export products,           1815.00,           1786.00,           1875.00,           1822.00,           1849.00,           2052.00,           2112.00,           2102.00,           2139.00,           2376.00,           2498.00,           2439.00,           2411.00,           2703.00,           2400.00,           2923.00,           2972.00,           2990.00,           3067.00,           3211.00,           3035.00,           2859.00,,,,,,,,,,,,
Eswatini,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             37.67,             34.96,             35.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,...,...,Export,No. Of Export partners,            106.00,            103.00,            108.00,            111.00,             91.00,            104.00,            102.00,             96.00,             94.00,             90.00,             98.00,             99.00,            109.00,             98.00,             31.00,             41.00,             33.00,             32.00,             35.00,             37.00,             30.00,             76.00,,,,,,,,,,,,
Eswatini,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,            112.61,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,World,Intermediate goods,Export,Export(US$ Mil),           1506.82,           1321.22,           1464.66,           1316.12,           1348.59,           1024.99,           1051.91,           1150.32,           1145.63,           1026.47,           1128.94,           1005.99,            818.80,            737.71,            855.84,           1057.55,            860.03,            905.76,            887.85,            693.37,            384.61,            392.95,,,,,,,,,,,,
Eswatini,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             56.93,             54.34,             37.96,             68.75,             36.07,             38.09,             61.23,             26.03,             19.26,             17.15,             26.92,             34.69,             13.54,,,,,,,,,,,,,,,,,,,,,
Eswatini,World,Textiles and Clothing,Export,Export(US$ Mil),            262.06,            199.52,            241.57,            231.68,            225.34,            197.25,            179.61,            222.40,            190.95,            191.63,            198.96,            174.90,            137.32,            110.09,             53.45,            157.61,            185.55,            383.74,            523.43,            214.36,            112.93,            159.79,,,,,,,,,,,,
Eswatini,World,Food Products,Export,Export(US$ Mil),            612.61,            552.83,            582.22,            477.62,            444.92,            488.40,            535.30,            566.92,            654.22,            599.48,            609.88,            459.57,            457.90,            310.29,            223.34,            374.17,            232.13,            263.83,            218.30,            130.87,            266.03,            261.76,,,,,,,,,,,,
Eswatini,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             14.31,,,,,,,,,,,,,,,
Eswatini,Ireland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             13.63,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,World,Consumer goods,Import,Import(US$ Mil),            883.55,            723.50,            853.37,            886.12,            780.00,            730.13,            716.27,            852.69,            893.97,            896.25,           1785.88,           1016.82,            685.28,            652.19,            605.01,            564.08,            732.33,            683.66,            553.82,            420.58,            388.03,            482.25,,,,,,,,,,,,
Eswatini,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            575.86,,,,,,,,,,,,,,,,
Eswatini,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,             19.16,             24.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eswatini,World,Transportation,Export,Export(US$ Mil),              5.43,              9.06,             12.45,              8.44,              5.76,              4.32,              6.49,              4.89,              7.78,              8.16,              7.18,             20.90,             12.07,             13.23,              7.76,             12.43,             14.08,             21.32,             19.99,             11.87,             11.12,             12.59,,,,,,,,,,,,
Eswatini,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,             29.44,,,,,,,,,,,,,,,,,,,,
Eswatini,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            206.14,            117.96,            131.20,            115.28,            104.90,             66.44,             62.33,             68.27,             69.79,             78.75,            171.72,             46.16,             38.20,             14.62,             50.75,             24.60,             65.91,             17.96,             21.79,,,,,,,,,,,,,,,
