Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Seychelles,World,Consumer goods,Export,Export(US$ Mil),           1802.38,            796.78,            729.26,            673.75,           3020.85,            431.85,            388.31,           1551.61,           1576.19,           1748.81,           1444.23,           1047.31,             42.84,            529.43,            987.23,            986.88,            720.40,            761.35,            584.44,            212.01,            144.64,            176.65,            101.98,             81.02,             62.50,             37.32,             45.68,             45.17,,,,,,
Seychelles,Denmark,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             24.76,             41.11,             73.60,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,World,Minerals,Export,Export(US$ Mil),,,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,              0.00,              0.05,              0.28,              0.40,              0.00,              0.00,              0.63,              1.61,              0.00,              0.00,,,,              0.00,,              0.00,              0.05,              0.13,              0.18,              0.00,,,,,,
Seychelles,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            139.10,,,,,,,,,,,,            190.47,            243.71,,            288.55,,,,,,,,,,,,,,,,,
Seychelles,World,Raw materials,Export,Export(US$ Mil),            113.85,             80.71,             64.39,             83.83,             42.71,             21.38,              2.88,              5.91,             60.34,             15.11,             36.25,             78.35,            178.75,              6.35,             17.53,             24.14,             22.41,             29.46,             38.30,              4.61,              4.03,              7.08,              7.00,              9.12,              8.63,              4.97,              3.78,              2.02,,,,,,
Seychelles,World,Capital goods,Export,Export(US$ Mil),             13.85,             52.87,              5.67,             48.94,             69.45,              6.12,              5.45,             16.22,             21.15,             45.93,            891.03,             18.83,             18.21,             15.00,             14.23,             44.94,             23.15,              5.83,              4.54,              2.70,              3.86,              1.06,              0.63,              1.45,              1.02,             64.20,              2.37,              2.35,,,,,,
Seychelles,World,Plastic or Rubber,Export,Export(US$ Mil),              1.82,              1.18,              0.39,              0.15,              0.37,              0.06,              1.27,              1.20,              0.20,              0.10,              1.26,              0.64,              0.19,              0.10,              0.23,              0.04,              0.21,              0.10,              0.09,              0.03,              0.00,              0.01,              0.04,              0.01,              0.04,              0.02,              0.00,              0.01,,,,,,
Seychelles,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            134.53,,,,,,,,,             29.68,,             43.67,             40.79,             42.37,             35.31,             36.28,,,,,,
Seychelles,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            345.11,,             74.41,,,             89.33,             67.83,            157.84,            160.91,            168.93,            216.03,            206.70,            188.02,            171.65,,            165.08,,            130.97,            142.78,             45.41,,             37.99,             46.23,             49.84,             49.63,             39.27,             31.30,             27.49,,,,,,
Seychelles,World,Vegetable,Export,Export(US$ Mil),              5.00,              5.62,              6.58,             20.69,              3.46,              4.87,              3.91,             10.43,             13.37,             13.61,             11.23,             12.67,             12.75,             12.02,              8.26,              3.77,              2.01,              0.72,              1.09,              0.48,              0.45,              0.55,              0.64,              0.64,              1.16,              1.04,              0.97,              0.64,,,,,,
Seychelles,World,Footwear,Export,Export(US$ Mil),              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.00,              0.01,              0.00,              0.01,              0.01,              0.01,              0.04,,              0.00,              0.01,              0.00,              0.00,              0.01,              0.00,              0.00,              0.00,              0.00,              0.00,,,,,,
Seychelles,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            292.13,            286.73,            318.74,            416.89,            344.79,            249.56,            254.11,            990.34,            801.20,           1094.19,           2729.74,           1704.29,            556.01,            328.41,,,,,,,,,,,,,,,,,,,,
