Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Togo,World,Consumer goods,Export,Export(US$ Mil),            503.09,            469.90,            392.60,            384.92,            362.92,            336.64,            313.74,            316.24,            390.53,            338.11,            278.79,            206.81,            196.75,            224.53,             38.71,,            102.69,             70.73,             72.60,             33.53,             22.70,             23.13,             69.76,             54.39,             62.46,            124.24,            114.01,              9.11,,,,,,
Togo,World,Minerals,Export,Export(US$ Mil),            205.23,            172.56,            161.02,            190.24,            166.12,            137.06,            152.10,            233.63,            321.86,            289.18,            281.70,            215.84,            250.35,            197.85,            154.01,,            134.49,            146.42,            159.54,            108.01,            109.71,             77.95,             97.39,            143.95,             90.76,             90.50,             74.17,             70.04,,,,,,
Togo,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,             25.71,             20.45,             15.79,             14.05,,,,             32.43,             29.72,             21.85,,,,,,
Togo,World,Raw materials,Export,Export(US$ Mil),            255.41,            221.08,            222.66,            218.66,            175.39,            165.95,            222.23,            253.22,            258.25,            248.68,            224.65,            164.03,            200.37,            178.02,             70.55,,             91.64,            141.50,            117.82,             95.88,             69.89,             97.64,            164.97,            226.51,            201.29,            204.41,            194.97,            136.36,,,,,,
Togo,World,Capital goods,Export,Export(US$ Mil),            115.50,             92.14,             81.68,             74.41,             80.71,             93.51,             57.25,             66.29,            184.13,            132.04,             65.92,             59.18,             42.58,             24.90,              0.96,,              6.40,              5.76,            112.13,              6.92,              6.28,              3.40,             12.69,             10.48,              8.04,              5.67,              7.19,              1.21,,,,,,
Togo,World,Plastic or Rubber,Export,Export(US$ Mil),            125.35,            126.71,            105.58,            102.43,             82.96,             96.96,             90.87,             88.43,             76.31,             78.49,             68.80,             48.52,             48.60,             33.61,              3.86,,             34.46,             16.56,             12.04,              2.88,              1.99,              0.39,              2.84,              1.95,              2.93,              2.80,              2.28,              1.63,,,,,,
Togo,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            108.70,             94.01,,,             84.13,             74.63,             73.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             84.89,,,,,,,             75.43,,,,,,,,,             28.72,,,,,,,,,,,
Togo,World,Vegetable,Export,Export(US$ Mil),            120.58,            128.92,             89.12,             72.63,             64.20,             46.83,             66.97,             65.87,             94.39,             81.22,             43.86,             34.61,             35.47,             33.79,             16.37,,             28.82,             36.52,             30.43,             26.80,             22.64,             24.11,             43.55,             37.35,             36.53,             46.87,             30.87,             14.14,,,,,,
Togo,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             61.65,,,,,,,,,,,,,,,,,,,,,,
