Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Thailand,World,Consumer goods,Export,Export(US$ Mil),          87087.52,          74983.76,          82760.93,          86593.77,          79291.54,          74231.25,          75041.94,          77383.27,          77394.87,          75285.73,          79535.22,          67723.83,          54703.33,          63839.86,          49472.43,          42799.19,          36914.31,          32426.77,          26819.13,          23941.92,          23027.85,          23399.82,          20135.79,          19475.29,          20836.19,          20594.48,          23641.50,          19492.87,          17064.38,          15267.70,          13554.37,          10865.65,           9658.61,
Thailand,World,Minerals,Export,Export(US$ Mil),           1030.83,            970.66,           1148.78,           1113.62,            982.45,           1052.09,           1138.44,           1144.34,            942.65,           1059.15,            969.43,           1052.67,            878.45,            942.28,            954.46,            730.47,            616.65,            438.23,            417.39,            462.66,            467.46,            414.33,            436.24,            332.98,            424.57,            342.08,            300.59,            244.10,            205.08,            111.09,            110.41,            108.66,            120.10,
Thailand,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,           2956.29,           3654.49,           3749.02,           3182.11,           2482.18,           2164.06,           2095.73,           1622.42,           1321.72,           1089.95
Thailand,World,Raw materials,Export,Export(US$ Mil),          19673.10,          14297.02,          14878.63,          14656.52,          15450.82,          12594.33,          12675.63,          14729.92,          16763.09,          18630.81,          22442.86,          15440.30,          10615.13,          14012.38,          11961.91,          11273.54,           8656.53,           7668.93,           6984.31,           5427.02,           5241.61,           5591.04,           4715.44,           4860.34,           5783.90,           6513.58,           6707.76,           5646.51,           4702.95,           4781.77,           4278.47,           3693.89,           3529.58,
Thailand,World,Capital goods,Export,Export(US$ Mil),         102899.07,          88774.51,          83809.03,          96711.76,          91775.71,          82819.69,          82900.63,          86166.41,          83303.04,          81492.01,          73348.95,          69659.71,          52833.92,          63116.77,          58701.06,          49332.89,          41696.50,          36290.10,          30128.76,          25279.89,          23887.93,          26652.91,          21923.75,          19120.96,          18936.87,          17722.53,          16085.88,          12451.73,           8974.50,           6915.08,           5566.83,           4196.05,           2980.44,
Thailand,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          12276.40,          11167.60,          11607.89,          12958.15,          11585.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,World,Plastic or Rubber,Export,Export(US$ Mil),          35263.09,          27722.79,          28854.62,          30494.95,          29086.52,          23818.97,          24412.81,          27942.88,          29642.02,          29380.16,          34185.68,          23917.01,          15831.32,          19738.48,          17146.99,          15269.16,          12222.17,          10034.61,           7881.07,           5807.87,           4950.17,           5357.17,           4062.55,           3936.09,           4273.39,           4505.76,           5788.56,           3390.60,           3167.45,           2105.84,           1771.68,           1539.64,           1540.49,
Thailand,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          35572.36,          27711.67,          30297.00,          35259.62,          32053.69,          30672.85,          31235.86,          35710.53,          41082.11,          49579.95,          42162.11,          37856.13,          25023.29,          33420.40,          30032.90,          25842.61,          26049.68,          22381.17,          18260.39,          14889.17,          13811.06,          15285.32,          12253.49,          10179.96,          15974.35,          20444.74,          21622.12,          16435.08,          13961.98,          11906.78,          11036.72,          10143.53,           7813.40,           5886.60
Thailand,World,Vegetable,Export,Export(US$ Mil),          15211.23,          11452.81,          11489.99,          12645.98,          11702.40,           9753.58,          10134.32,          11436.63,          10025.12,           9717.08,          11308.31,           8792.71,           7906.98,           9047.35,           5969.63,           4599.41,           3874.99,           4404.21,           3069.12,           2665.37,           2680.81,           2664.72,           3016.69,           3062.10,           3412.23,           3358.38,           3259.60,           2799.28,           2557.86,           2981.39,           2640.33,           2540.99,           3215.48,
Thailand,World,Footwear,Export,Export(US$ Mil),            680.05,            596.22,            673.86,            736.83,            725.49,            723.73,            783.79,            877.48,            820.84,            845.44,           1028.18,            923.01,            886.85,           1064.86,           1084.92,           1035.71,            990.27,            862.11,            907.93,            874.16,            947.86,            955.54,            972.45,           1052.13,           1265.29,           1473.89,           2334.87,           1739.73,           1275.54,           1160.41,           1076.08,            927.92,            661.34,
Thailand,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,          10695.32,,,           8164.99,          12718.49,          17286.32,          15645.23,          14468.79,           8654.89,           6666.49,          11165.18,           6842.63,           7190.49,           5695.94,,,,,,,,,,,,,,,,,
Thailand,World,Miscellaneous,Export,Export(US$ Mil),           9188.33,           8217.10,          10430.02,           9166.77,           9135.65,           8342.03,           8349.67,           7938.49,           7794.96,           7171.41,           6986.48,           6464.04,           5217.32,           5787.38,           6392.75,           6524.92,           5977.93,           5665.59,           5280.39,           5377.56,           5249.37,           5049.51,           4395.19,           3493.57,           4468.70,           3699.37,           3527.44,           2967.17,           2764.24,           2399.88,           1987.80,           1483.82,           1056.56,
Thailand,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          11291.90,          10962.52,          12522.95,          12298.86,          11471.60,          11830.37,          12609.97,          13188.98,          13100.14,          16479.03,          13131.80,           9484.39,           9938.04,           8702.24,           7214.64,           6127.86,,           4326.66,           3684.18,           3294.51,           3475.21,           2974.75,           2791.20,           3468.88,           3240.39,           2920.72,           2385.40,           1958.68,           1507.07,           1347.89,,,
Thailand,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          36577.25,          29756.61,          28068.46,          30175.45,          29506.00,          23799.61,          23732.46,          25084.37,          27238.22,          26899.63,          27402.40,          21473.20,          16123.83,          15997.87,          14872.55,          11774.18,           9134.20,           7097.95,           5701.48,           3554.36,           2862.72,           2816.30,,,,,,,,,,,,
Thailand,...,...,Import,No. Of Import products,           4444.00,           4446.00,           4453.00,           4476.00,           4474.00,           4487.00,           4495.00,           4480.00,           4493.00,           4497.00,           4515.00,           4504.00,           4484.00,           4507.00,           4529.00,           4697.00,           4698.00,           4699.00,           4672.00,           4670.00,           4697.00,           4672.00,           4683.00,           4696.00,           4785.00,           4785.00,           4783.00,           4774.00,           4707.00,           4661.00,           4640.00,           4626.00,           4598.00,           4598.00
Thailand,...,...,Export,No. Of Export products,           4276.00,           4280.00,           4301.00,           4356.00,           4321.00,           4320.00,           4329.00,           4313.00,           4348.00,           4365.00,           4392.00,           4285.00,           4258.00,           4243.00,           4301.00,           4324.00,           4322.00,           4271.00,           4248.00,           4212.00,           4257.00,           4274.00,           4299.00,           4289.00,           4245.00,           4176.00,           4206.00,           4185.00,           4089.00,           3964.00,           3762.00,           3700.00,           3749.00,
Thailand,...,...,Export,No. Of Export partners,            224.00,            221.00,            226.00,            229.00,            226.00,            226.00,            228.00,            228.00,            223.00,            223.00,            220.00,            219.00,            224.00,            217.00,            222.00,            219.00,            215.00,            221.00,            217.00,            218.00,            221.00,            221.00,            205.00,            199.00,            194.00,            197.00,            201.00,            195.00,            192.00,            174.00,            169.00,            163.00,            165.00,
Thailand,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1591.77,           1479.66,           1427.69,           1468.76,           1188.28,            817.60,
Thailand,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           7880.35,,,           7282.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,World,Intermediate goods,Export,Export(US$ Mil),          56942.38,          53289.51,          52181.80,          54456.38,          49999.52,          45742.03,          43691.18,          49293.16,          51066.44,          54135.96,          53394.99,          42438.09,          34318.23,          34927.48,          32415.90,          25509.41,          21267.78,          18338.72,          14589.67,          11430.04,          10575.87,          11280.35,           9258.48,           8690.28,          10179.27,           9565.50,           9274.49,           7114.09,           5587.43,           4992.81,           4560.57,           3953.77,           3622.06,
Thailand,World,Textiles and Clothing,Export,Export(US$ Mil),           6527.73,           5880.38,           6999.53,           7265.44,           6814.67,           6571.60,           6957.12,           7572.76,           7585.92,           7318.94,           8356.32,           7772.24,           6523.64,           7211.22,           7042.28,           6949.97,           6728.80,           6433.54,           5537.13,           5184.67,           5289.64,           5553.54,           5150.93,           5120.98,           5549.22,           5476.94,           6539.05,           6046.45,           5201.80,           4945.10,           4757.15,           3681.03,           3220.00,
