Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tajikistan,World,Consumer goods,Export,Export(US$ Mil),             40.58,             36.91,             35.67,             33.10,             33.85,             32.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Minerals,Export,Export(US$ Mil),            391.21,            218.54,            365.27,            465.81,            433.44,            255.48,,,,,,,,,,,,,,,,              1.19,,,,,,,,,,,,
Tajikistan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            106.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Raw materials,Export,Export(US$ Mil),            687.08,            363.10,            493.44,            616.86,            558.21,            406.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Capital goods,Export,Export(US$ Mil),             12.32,              9.40,             14.90,             20.81,             41.94,             63.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Plastic or Rubber,Export,Export(US$ Mil),              1.82,              0.54,              0.92,              0.46,              0.75,              0.55,,,,,,,,,,,,,,,,              0.05,,,,,,,,,,,,
Tajikistan,World,Vegetable,Export,Export(US$ Mil),             39.91,             25.99,             27.01,             20.19,             25.92,             28.30,,,,,,,,,,,,,,,,             18.07,,,,,,,,,,,,
Tajikistan,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            360.08,            152.21,            218.38,            299.97,            324.34,            194.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Footwear,Export,Export(US$ Mil),              0.05,              0.02,              0.04,              0.04,              0.03,              0.07,,,,,,,,,,,,,,,,              0.04,,,,,,,,,,,,
Tajikistan,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             49.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Miscellaneous,Export,Export(US$ Mil),              1.85,              1.39,              1.54,              0.85,              6.87,             17.57,,,,,,,,,,,,,,,,              0.76,,,,,,,,,,,,
Tajikistan,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             55.42,             57.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Import,No. Of Import products,           3376.00,           3273.00,           3439.00,           3321.00,           3142.00,           3145.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Export,No. Of Export products,            736.00,            575.00,            794.00,            809.00,            994.00,            769.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            354.06,,,,,             99.31,,,,,,,,,,,,,,,,             72.24,,,,,,,,,,,,
Tajikistan,Turkmenistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             92.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,...,...,Export,No. Of Export partners,             46.00,             47.00,             60.00,             52.00,             55.00,             59.00,,,,,,,,,,,,,,,,             36.00,,,,,,,,,,,,
Tajikistan,World,Intermediate goods,Export,Export(US$ Mil),            736.82,            308.50,            347.97,            403.09,            349.11,            397.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Textiles and Clothing,Export,Export(US$ Mil),            279.34,            196.27,            200.47,            226.45,            181.81,            153.11,,,,,,,,,,,,,,,,            107.27,,,,,,,,,,,,
Tajikistan,World,Food Products,Export,Export(US$ Mil),              7.10,              8.80,              5.05,              3.77,              5.03,              4.05,,,,,,,,,,,,,,,,             11.57,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            126.67,             82.37,            171.98,            155.27,             57.08,,,,,,,,,,,,,,,,,             97.76,,,,,,,,,,,,
Tajikistan,World,Consumer goods,Import,Import(US$ Mil),           1845.30,           1400.23,           1552.87,           1380.19,           1295.21,           1254.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            816.59,            757.57,            739.33,            533.90,            514.29,            481.08,,,,,,,,,,,,,,,,             82.39,,,,,,,,,,,,
Tajikistan,Afghanistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             69.40,,             72.34,             98.07,             74.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Transportation,Export,Export(US$ Mil),              8.87,              6.00,             15.95,             16.28,             25.90,             39.16,,,,,,,,,,,,,,,,             41.22,,,,,,,,,,,,
Tajikistan,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            679.72,            438.39,            605.47,            594.15,            556.18,            841.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Raw materials,Import,Import(US$ Mil),            403.62,            361.09,            339.02,            277.41,            196.14,            301.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Uzbekistan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            326.07,            238.45,            169.95,            126.26,,,,,,,,,,,,,,,,,,            185.20,,,,,,,,,,,,
Tajikistan,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1280.50,            932.59,           1009.13,            967.94,            903.85,            985.86,,,,,,,,,,,,,,,,            104.06,,,,,,,,,,,,
Tajikistan,World,Hides and Skins,Export,Export(US$ Mil),              4.11,              2.89,              2.66,              2.54,              2.46,              2.54,,,,,,,,,,,,,,,,              0.10,,,,,,,,,,,,
Tajikistan,...,...,Development,Trade Balance (current US$ Mil),,          -1734.93,          -2165.27,          -2103.94,          -1803.41,,,          -3304.84,          -4187.69,          -3711.29,          -3058.44,          -2460.84,          -1844.21,          -2397.47,          -2001.45,           -703.07,           -428.03,           -225.21,           -152.54,           -159.55,           -112.13,            -15.89,            -15.35,           -121.04,            -62.24,            -36.10,            -78.17,           -155.57,           -215.19,,,,,
Tajikistan,Russian Federation,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             41.03,             44.30,,,             50.60,,,,,,,,,,,,,,,,            258.77,,,,,,,,,,,,
Tajikistan,...,...,Tariff,No. Of Tariff Agreement,             12.00,             12.00,,,              9.00,              9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             19.54,,,,,,,,,,,,
Tajikistan,Turkey,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            158.29,            119.62,            143.48,            124.91,            105.37,            114.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,Wood,Export,Export(US$ Mil),              1.02,              0.74,              1.36,              1.17,              0.46,              0.30,,,,,,,,,,,,,,,,              0.06,,,,,,,,,,,,
Tajikistan,World,Mach and Elec,Export,Export(US$ Mil),              9.99,              5.32,              6.95,             10.56,             14.87,             18.41,,,,,,,,,,,,,,,,             13.10,,,,,,,,,,,,
Tajikistan,...,...,Development,GDP (current US$ Mil),,           8194.15,           8300.78,           7765.01,           7536.44,           6992.39,           8271.45,           9112.54,           8448.47,           7633.05,           6522.73,           5642.18,           4979.48,           5161.34,           3719.51,           2830.22,           2312.33,           2076.18,           1555.30,           1221.12,           1080.77,            860.52,           1086.61,           1320.24,            921.57,           1043.65,           1231.04,           1518.80,           1644.33,           2156.67,           1352.00,           2629.40,,
Tajikistan,World,Metals,Export,Export(US$ Mil),            266.04,            187.09,            217.94,            235.41,            229.42,            225.43,,,,,,,,,,,,,,,,            372.88,,,,,,,,,,,,
Tajikistan,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            178.21,,,,,,,,,,,,
Tajikistan,World,All Products,Tariff,Duty Free Imports (US$ Thousand),        2180793.72,        1948139.20,,,        1272221.67,        1098862.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Azerbaijan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             63.11,,,,,,,,,,,,
Tajikistan,World,Stone and Glass,Export,Export(US$ Mil),            356.46,              2.35,              2.19,              2.35,              1.78,             99.38,,,,,,,,,,,,,,,,             24.43,,,,,,,,,,,,
Tajikistan,World,Intermediate goods,Import,Import(US$ Mil),           1057.45,            917.92,            869.56,            898.64,            769.95,            852.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,Turkey,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            232.17,            203.03,            233.80,            276.52,            233.23,            200.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,World,All Products,Import,Imports (in US$ Mil),           4215.54,           3139.02,           3327.28,           3141.65,           2774.08,           3031.46,,,,,,,,,,,,,,,,            643.97,,,,,,,,,,,,
Tajikistan,World,Capital goods,Import,Import(US$ Mil),            909.16,            459.78,            565.83,            585.40,            418.17,            622.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
