Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turkmenistan,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,           1810.30,            629.80,,,,,,,,,,,
Turkmenistan,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,              2.00,              4.07,             12.15,              9.40,,,,,,,,,
Turkmenistan,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             78.52,,,,,,,,,,
Turkmenistan,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,            500.49,            371.98,,,,,,,,,,,
Turkmenistan,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,             12.51,             17.58,,,,,,,,,,,
Turkmenistan,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,              0.16,              0.13,              0.09,              0.20,,,,,,,,,
Turkmenistan,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            144.35,,,,,,,,,,,,
Turkmenistan,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,             14.60,              7.39,              2.90,              3.94,,,,,,,,,
Turkmenistan,Kazakhstan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,             30.79,,,,,,,,,
Turkmenistan,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,,              0.19,              0.48,              0.17,,,,,,,,,
Turkmenistan,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,            146.63,            149.15,,,,,,,,,,,
Turkmenistan,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,             38.53,             43.58,              0.12,              0.06,,,,,,,,,
Turkmenistan,...,...,Import,No. Of Import products,,,,,,,,,,,,,,,,,,,,,,           3128.00,           3170.00,,,,,,,,,,,
Turkmenistan,...,...,Export,No. Of Export products,,,,,,,,,,,,,,,,,,,,,,            418.00,            398.00,,,,,,,,,,,
Turkmenistan,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,             66.24,             49.03,,,,,,,,,,
Turkmenistan,...,...,Export,No. Of Export partners,,,,,,,,,,,,,,,,,,,,,,             58.00,             56.00,             51.00,             50.00,,,,,,,,,
Turkmenistan,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,            144.21,            124.14,,,,,,,,,,,
Turkmenistan,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,            375.65,            332.02,            209.87,            136.49,,,,,,,,,
Turkmenistan,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,              1.35,              0.68,              1.66,              3.27,,,,,,,,,
Turkmenistan,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,            542.27,            522.83,,,,,,,,,,,
Turkmenistan,Kazakhstan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             86.86,,,,,,,,,
Turkmenistan,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            274.50,,,,,,,,,
Turkmenistan,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,,,,,,,,,,,,             14.22,             18.24,              0.20,              0.42,,,,,,,,,
Turkmenistan,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             31.93,,,,,,,,,,
Turkmenistan,World,Raw materials,Import,Import(US$ Mil),,,,,,,,,,,,,,,,,,,,,,             58.98,             41.98,,,,,,,,,,,
