Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
East Timor,World,Consumer goods,Export,Export(US$ Mil),,,,,             18.40,,,,             36.47,,,,,,,,             14.66,             33.72,,,,,,,,,,,,,,,,
East Timor,World,Minerals,Export,Export(US$ Mil),,,,,              0.01,,,,,,,,,,,,              0.00,              0.00,,,,,,,,,,,,,,,,
East Timor,World,Raw materials,Export,Export(US$ Mil),,,,,              4.56,,,,              1.36,,,,,,,,              7.85,              6.79,,,,,,,,,,,,,,,,
East Timor,World,Capital goods,Export,Export(US$ Mil),,,,,              0.84,,,,             11.08,,,,,,,,              7.51,             52.09,,,,,,,,,,,,,,,,
East Timor,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,              0.05,,,,              0.04,,,,,,,,              0.14,              1.48,,,,,,,,,,,,,,,,
East Timor,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             10.53,,,,,,,,,,,,,,,,,
East Timor,World,Vegetable,Export,Export(US$ Mil),,,,,             16.01,,,,             16.15,,,,,,,,              7.82,              6.96,,,,,,,,,,,,,,,,
East Timor,World,Footwear,Export,Export(US$ Mil),,,,,              0.01,,,,              0.24,,,,,,,,              0.15,              0.12,,,,,,,,,,,,,,,,
East Timor,World,Miscellaneous,Export,Export(US$ Mil),,,,,              0.50,,,,              0.67,,,,,,,,              0.98,             16.27,,,,,,,,,,,,,,,,
East Timor,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Timor,...,...,Import,No. Of Import products,,,,,           3305.00,,,,           1753.00,,,,,,,,           3043.00,           3213.00,,,,,,,,,,,,,,,,
East Timor,...,...,Export,No. Of Export products,,,,,            416.00,,,,            173.00,,,,,,,,            803.00,            899.00,,,,,,,,,,,,,,,,
East Timor,...,...,Export,No. Of Export partners,,,,,             36.00,,,,             47.00,,,,,,,,             81.00,             79.00,,,,,,,,,,,,,,,,
East Timor,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,              3.30,,,,              7.71,,,,,,,,              1.69,,,,,,,,,,,,,,,,,
East Timor,World,Intermediate goods,Export,Export(US$ Mil),,,,,              0.38,,,,              4.14,,,,,,,,             13.43,             12.93,,,,,,,,,,,,,,,,
East Timor,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,              4.60,,,,             17.26,,,,,,,,              1.16,              5.13,,,,,,,,,,,,,,,,
East Timor,World,Food Products,Export,Export(US$ Mil),,,,,              0.10,,,,              0.20,,,,,,,,              0.13,              1.34,,,,,,,,,,,,,,,,
East Timor,World,Consumer goods,Import,Import(US$ Mil),,,,,            356.02,,,,            322.09,,,,,,,,             62.35,             65.66,,,,,,,,,,,,,,,,
