Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Trinidad and Tobago,World,Consumer goods,Export,Export(US$ Mil),           1789.25,           1741.14,           2450.03,           4961.16,           4187.35,           2874.47,           4982.25,           7269.55,          10410.20,           5718.32,           7303.27,           5705.48,           6263.42,          11526.58,           7660.57,           9083.65,           5738.08,           3455.33,           3078.42,           2080.02,           2435.79,           2570.03,            585.08,            417.73,            387.63,            335.18,            281.55,            209.60,            204.36,            183.79,            157.61,,,
Trinidad and Tobago,World,Minerals,Export,Export(US$ Mil),             36.11,             52.93,             60.20,             45.69,             38.47,            240.90,            307.77,            157.39,            320.74,            623.82,            669.01,            546.35,            254.83,            531.02,            374.02,             50.65,             35.42,             20.49,              9.08,             18.50,             17.57,             17.82,             22.45,             20.79,             19.69,             21.91,             17.84,             16.66,             16.86,             15.52,             14.32,,,
Trinidad and Tobago,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,            481.88,            227.45,            252.27,,,,,            137.58,            110.42,            101.56,,             91.39,,,,,
Trinidad and Tobago,World,Raw materials,Export,Export(US$ Mil),           1288.62,            894.76,           1216.64,            701.15,            549.84,            528.36,            696.80,           1495.28,           1637.62,           2104.53,           2262.02,           1969.91,           1404.32,           2653.36,           2123.08,           2177.24,           1524.28,            856.66,            485.77,            642.62,            522.14,            606.34,            400.53,            300.95,            485.43,            476.23,            421.04,            377.10,            380.41,            462.29,            628.26,,,
Trinidad and Tobago,World,Capital goods,Export,Export(US$ Mil),            481.11,            378.99,            362.77,           1215.83,            553.78,            662.65,           1034.21,            534.38,            847.93,           1338.13,            182.44,            359.20,            254.81,            343.19,            276.35,            147.40,            144.25,            128.79,             80.71,            101.53,            835.12,             53.41,            105.94,             73.18,            101.08,             97.31,             55.34,             25.77,             38.29,             22.55,             17.54,,,
Trinidad and Tobago,Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,            398.25,            668.31,           1123.59,           2255.02,           1912.98,           1234.42,           1288.80,            836.02,            483.63,            586.38,            520.97,,,,            197.35,,,            123.94,,,,,,,,,,,,
Trinidad and Tobago,World,Plastic or Rubber,Export,Export(US$ Mil),             66.84,             48.98,             51.83,             51.16,             46.27,             47.62,             48.24,             42.18,             48.28,             36.65,             36.27,             28.60,             35.74,             42.27,            302.09,             39.09,             35.43,             29.35,             28.72,             26.68,             43.44,             25.66,             23.93,             21.41,             17.98,             17.78,             18.00,             14.55,             10.22,              8.60,              7.36,,,
Trinidad and Tobago,Chile,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,            329.11,            437.82,            382.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,Guyana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            577.20,            495.69,            409.61,            414.12,            308.87,,,,,,,,,,,,            274.33,,            150.93,,,,,             83.86,            110.20,             90.11,             80.61,             59.77,             58.52,,,,,
Trinidad and Tobago,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            214.58,,,,,,,,,,,,,,,            259.92,,,            191.39,            118.56,,            147.72,            149.95,            131.78,            124.70,             94.17,            112.63,            100.37,            125.63,,,
