Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Turkey,World,Consumer goods,Export,Export(US$ Mil),          99754.13,          78603.50,          85821.59,          81881.51,          76461.67,          68871.58,          70373.13,          80623.35,          77644.03,          66402.55,          62058.05,          52789.93,          47043.38,          58355.87,          51875.97,          43054.77,          38531.09,          33357.86,          26108.81,          19868.41,          16281.75,          15004.49,          13991.91,          14549.62,          13821.92,          12297.31,          11367.47,           8664.80,           7756.54,           7537.59,           6261.63,           5754.83,           4835.36,
Turkey,World,Minerals,Export,Export(US$ Mil),           5587.56,           4187.37,           4014.50,           4022.87,           4032.67,           3152.18,           3297.58,           3955.86,           4518.74,           3872.34,           3519.69,           3641.76,           2866.71,           3316.17,           2339.24,           1666.07,           1402.05,           1120.07,            841.82,            725.28,            625.04,            621.30,            548.56,            538.13,            592.48,            515.00,            545.32,            414.84,            326.37,            407.71,            393.93,            402.89,            445.57,
Turkey,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          21726.30,          21732.80,          19280.40,          21535.22,          22281.37,          22647.55,          22735.87,          23482.15,          25598.45,          21400.61,          22985.57,          17549.11,          14096.96,          18687.20,          17539.96,          14765.65,          13631.61,          12513.82,           9451.84,           7039.90,           5335.44,           7198.21,           5880.02,           7310.72,           8021.15,           7582.99,           5547.55,           3645.55,           4533.01,           3754.44,           3232.00,           3496.76,           2203.89,
Turkey,World,Raw materials,Export,Export(US$ Mil),          15774.28,          12316.54,          12309.11,          12488.60,          12092.43,          10706.11,          11187.83,          12618.02,          12241.87,          10260.30,           9715.60,           8850.12,           7070.55,           7311.11,           6472.15,           5465.85,           4869.01,           3865.12,           3044.27,           2534.95,           2546.13,           2385.90,           2876.84,           2968.30,           2929.27,           2615.80,           2516.24,           2613.95,           2434.58,           2337.84,           2782.47,           2456.11,           2378.20,
Turkey,World,Capital goods,Export,Export(US$ Mil),          43757.69,          35097.41,          37954.55,          37279.63,          33782.57,          30169.20,          29831.95,          32596.52,          31143.41,          25749.26,          25796.75,          21061.41,          18663.87,          26832.84,          22461.39,          16104.97,          13019.67,          10669.14,           7458.32,           5106.66,           4591.54,           3726.54,           3236.56,           2696.57,           2355.34,           1915.74,           1571.05,           1247.80,            901.51,            820.26,            568.95,            493.30,            395.33,
Turkey,World,Plastic or Rubber,Export,Export(US$ Mil),          13472.44,           9629.95,           9710.98,           9526.56,           8404.94,           7617.86,           7867.02,           8948.92,           8306.32,           7438.70,           7174.72,           5613.10,           4563.00,           5372.25,           4557.89,           3406.68,           2730.79,           2165.16,           1610.13,           1194.00,           1069.03,            882.13,            764.60,            771.47,            717.02,            608.32,            610.66,            482.44,            396.68,            392.89,            331.12,            250.15,            325.27,
Turkey,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,           3500.02,,,,,           2681.41,           2763.11,           2486.26,,,,,,,,
Turkey,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1620.76,,,,,
Turkey,World,Vegetable,Export,Export(US$ Mil),          12180.06,           9994.14,           9409.05,           9139.52,           9237.88,           9298.98,           9324.70,           9416.76,           9017.23,           7649.61,           7689.12,           6512.71,           5730.19,           5674.18,           4813.01,           4385.21,           4360.79,           3128.96,           2604.10,           1989.17,           2188.95,           1918.76,           2324.31,           2642.49,           2751.72,           2354.43,           2466.33,           2156.62,           1919.33,           2154.86,           2158.64,           1829.21,           1483.28,
Turkey,World,Footwear,Export,Export(US$ Mil),           1167.52,            893.40,           1011.77,            973.42,            843.24,            769.68,            733.72,            782.87,            782.57,            575.96,            471.63,            422.32,            312.27,            381.08,            346.53,            256.69,            230.71,            217.19,            193.11,            137.95,            130.84,            120.07,            114.45,            191.48,            215.89,            158.82,            119.04,            162.01,             96.29,             85.61,             61.17,             38.21,             49.75,
