Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Tanzania,World,Consumer goods,Export,Export(US$ Mil),            970.15,            598.41,            555.30,           1570.04,            501.45,            456.08,           1234.26,            918.88,            622.11,            556.77,            490.40,            588.26,            387.72,            465.23,            315.18,            210.99,            182.04,            160.94,             95.95,             89.89,             79.72,             75.05,             93.36,            109.88,             75.48,,,,,,,,,
Tanzania,World,Minerals,Export,Export(US$ Mil),            247.55,            466.15,             94.44,            156.40,            107.06,            352.20,            525.05,            771.29,            457.02,            915.02,           1076.91,            866.96,            532.89,            383.99,            236.95,            181.21,            106.62,            112.06,             66.90,             80.90,             52.99,              4.16,              4.34,              4.02,              7.89,,,,,,,,,
Tanzania,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,            108.88,,,,,,,
Tanzania,World,Raw materials,Export,Export(US$ Mil),           1604.05,           1639.90,           1368.13,            399.01,           1488.34,           1909.03,           2127.64,           2354.51,           1409.93,           2052.99,           1840.94,           1738.27,           1192.67,           1114.76,            841.13,            776.91,            700.87,            589.80,            477.23,            446.05,            376.12,            362.73,            427.99,            356.95,            449.09,,,,,,,,,
Tanzania,World,Capital goods,Export,Export(US$ Mil),            101.70,             78.31,            124.49,            742.93,             41.46,             74.91,             69.52,            160.57,            243.08,            299.77,            173.17,            158.15,            119.09,            141.69,             67.03,             51.50,             25.42,             19.57,              2.74,              2.69,              4.00,              4.01,             32.33,             33.26,              7.71,,,,,,,,,
Tanzania,Vietnam,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            308.09,,            314.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,World,Plastic or Rubber,Export,Export(US$ Mil),             68.46,             30.82,             31.02,            169.61,             32.51,             40.69,             33.81,             39.68,             56.20,             51.57,             74.20,             91.20,             27.81,             39.42,             54.70,             49.39,             16.09,              9.44,              2.98,              2.12,              0.97,              2.54,              1.99,              2.26,              0.59,,,,,,,,,
Tanzania,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            110.12,            102.70,            122.69,            129.65,            120.84,            137.88,            406.38,,,,,,,
Tanzania,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            654.71,,,,,,,,,,,,             96.25,,,            106.22,             96.07,             96.57,             92.59,,,,,,,,
Tanzania,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            469.01,            375.98,            485.18,,,            371.01,,,,,,            568.11,            422.15,,            262.78,            260.11,            208.52,            182.65,            170.18,            140.23,            150.55,            140.12,            130.77,            180.15,,             94.53,            126.24,,,,,,,
