Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Vietnam,World,Consumer goods,Export,Export(US$ Mil),         112802.20,         103344.89,          99337.81,          87790.83,          79168.35,          70751.25,          66257.88,          61518.23,          52461.86,          46531.25,          44430.32,          36128.06,          28210.05,          27968.52,          22042.74,          17642.60,          14954.21,          12729.62,           9915.51,           8071.67,           6615.85,           6028.22,,,,,,,,,,,,
Vietnam,World,Minerals,Export,Export(US$ Mil),           2126.55,           1906.63,           1854.71,           1640.81,           1137.51,            918.18,           1081.33,           1335.50,           1180.56,            858.74,            651.09,            343.26,            272.11,            318.14,            236.04,            183.47,            129.75,            152.44,             76.30,             59.57,             69.59,             40.14,,,,,,,,,,,,
Vietnam,World,Raw materials,Export,Export(US$ Mil),          20549.66,          18033.69,          20125.45,          21349.87,          22044.39,          18715.92,          18107.58,          23742.04,          22530.35,          24229.24,          22756.23,          16830.17,          15657.19,          20999.57,          17318.59,          15300.77,          12641.38,           9911.01,           7182.61,           6242.39,           5787.21,           5955.25,,,,,,,,,,,,
Vietnam,World,Capital goods,Export,Export(US$ Mil),         147613.32,         123264.82,         107022.96,          97779.86,          86380.88,          65090.04,          56234.27,          44636.88,          39534.63,          27581.17,          16436.76,           9565.17,           6046.95,           5959.01,           4402.38,           3307.74,           2367.80,           1829.72,           1220.32,            884.38,            937.57,           1007.17,,,,,,,,,,,,
Vietnam,World,Plastic or Rubber,Export,Export(US$ Mil),          13473.97,           9875.18,           9133.73,           8050.99,           7152.76,           5648.95,           5189.86,           5484.42,           5731.08,           5813.01,           5702.98,           4306.74,           2599.24,           3066.22,           2501.21,           2080.17,           1352.19,            961.23,            691.28,            484.04,            339.27,            294.53,,,,,,,,,,,,
Vietnam,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          22601.56,          20276.83,          19532.76,          19040.86,          16916.81,          15098.32,          14182.10,          12857.05,          11558.30,          11602.06,          10400.67,           9016.09,           7468.09,           8240.31,           6188.91,           4702.12,           4074.12,           3552.59,           2982.06,           2504.65,           2183.08,           2300.95,,,,,,,,,,,,
Vietnam,World,Vegetable,Export,Export(US$ Mil),          14754.95,          13211.52,          13487.23,          14652.74,          15322.95,          13342.86,          12115.66,          12615.00,          10454.70,          12279.83,          10669.06,           8011.39,           6862.99,           7267.85,           5229.42,           3847.35,           3372.49,           2683.95,           2049.34,           1791.17,           1863.48,           1968.18,,,,,,,,,,,,
Vietnam,Thailand,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,          10702.32,           8855.14,           8269.57,           7053.28,           6283.43,,,           5602.28,           4514.07,,,,,,,,,,,,,,,,,,,,,
Vietnam,World,Footwear,Export,Export(US$ Mil),          18866.78,          17784.33,          19530.84,          17275.20,          15618.74,          13877.37,          12783.64,          11006.25,           8985.56,           7746.28,           6936.66,           5404.35,           4284.18,           5009.39,           4210.09,           3781.80,           3184.43,           2829.48,           2369.57,           1973.14,           1669.66,           1507.92,,,,,,,,,,,,
Vietnam,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,            756.63,,,,,,,,,,,,
Vietnam,World,Miscellaneous,Export,Export(US$ Mil),          26194.01,          21845.90,          21723.75,          20960.95,          16146.59,          11916.97,          10821.57,           9678.18,           8053.64,           7367.90,           5696.61,           4837.42,           4017.92,           3932.65,           3309.14,           2371.93,           1830.32,           1374.10,            953.65,            711.45,            531.76,            812.64,,,,,,,,,,,,
Vietnam,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11985.20,          10435.73,           7161.56,           7957.60,           7574.31,           6088.08,           6959.27,           5264.73,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          55922.82,          48879.76,          41434.24,          41366.46,          35394.31,          21950.44,          16567.69,          14928.32,          13177.69,          12835.98,          11613.32,           7742.95,           5402.98,           4850.11,           3646.13,           3242.84,           3246.38,           2899.13,           1883.11,           1518.33,           1417.42,           1536.39,,,,,,,,,,,,
Vietnam,...,...,Import,No. Of Import products,           4327.00,           4341.00,           4359.00,           4342.00,           4399.00,           4399.00,           4381.00,           4321.00,           4321.00,           4324.00,           4281.00,           4261.00,           4287.00,           4266.00,           4570.00,           4550.00,           4480.00,           4448.00,           4433.00,           4129.00,           3875.00,           2533.00,,,,,,,,,,,,
Vietnam,...,...,Export,No. Of Export products,           3740.00,           3732.00,           3784.00,           3798.00,           3831.00,           3783.00,           3688.00,           3589.00,           3501.00,           3536.00,           3320.00,           3316.00,           3298.00,           3256.00,           3391.00,           3399.00,           3252.00,           3167.00,           2882.00,           2796.00,           2397.00,           1141.00,,,,,,,,,,,,
Vietnam,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           2499.72,,,,,,,,,,,,,,,,,,,,,
Vietnam,...,...,Export,No. Of Export partners,             97.00,             97.00,             97.00,             97.00,            143.00,            143.00,            143.00,            154.00,            147.00,            140.00,            131.00,            157.00,            137.00,            146.00,            163.00,            178.00,            207.00,            182.00,            204.00,            218.00,            210.00,            182.00,,,,,,,,,,,,
Vietnam,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,           3366.90,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,"Korea, Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          56112.23,          46861.78,          46941.93,          47582.22,          46943.33,          32193.12,          27578.53,          21728.47,          20677.90,          15535.36,          13175.93,           9757.63,           6976.36,           7255.18,           5340.39,           3908.43,           3594.07,           3359.37,           2625.44,           2279.60,           1886.83,           1753.55,,,,,,,,,,,,
Vietnam,World,Intermediate goods,Export,Export(US$ Mil),          49911.58,          33909.42,          33652.02,          32893.17,          27237.92,          21777.51,          20798.34,          19769.14,          16978.31,          15817.89,          12719.66,           9287.72,           6813.59,           7330.44,           4455.34,           3424.68,           2344.90,           1895.62,           1615.76,           1297.08,           1259.49,           1028.34,,,,,,,,,,,,
Vietnam,World,Textiles and Clothing,Export,Export(US$ Mil),          41296.20,          37104.71,          39428.37,          36664.15,          31811.81,          28705.70,          27270.08,          25241.13,          21535.48,          18150.52,          16760.02,          13303.73,          10416.65,          10150.69,           8603.18,           6526.24,           5308.42,           4785.12,           3873.85,           3006.42,           2215.80,           2095.36,,,,,,,,,,,,
Vietnam,World,Food Products,Export,Export(US$ Mil),           7565.66,           6903.71,           6314.96,           5887.49,           5264.83,           4714.90,           4746.83,           4461.77,           4165.41,           3067.97,           2861.02,           2078.86,           1540.57,           1446.04,           1082.40,            924.24,            729.16,            599.90,            473.45,            435.79,            382.76,            193.56,,,,,,,,,,,,
Vietnam,World,Consumer goods,Import,Import(US$ Mil),          46211.54,          38756.54,          39694.72,          37416.07,          33523.30,          28432.27,          26383.36,          26396.54,          23926.40,          24027.64,          23917.71,          17946.42,          15739.37,          20140.21,          14945.14,          11455.83,           9621.88,           7813.72,           5448.62,           4221.67,           3671.70,           4132.67,,,,,,,,,,,,
Vietnam,"Korea, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          21934.46,          19125.19,          19729.25,          18240.59,          14807.16,          11406.06,           8915.38,           7167.48,           6682.94,           5580.89,           4866.73,           3092.23,,,,,,,,,,,,,,,,,,,,,,
Vietnam,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,           6690.98,           6390.58,,,           9377.98,           7613.75,           6273.87,           4482.31,           3618.38,           2875.83,           2533.49,           2478.28,           2694.25,,,,,,,,,,,,
Vietnam,World,Transportation,Export,Export(US$ Mil),           5298.01,           4564.50,           4163.92,           4047.91,           3500.79,           3137.17,           3111.99,           3186.77,           2494.98,           2418.28,           1815.87,           1281.35,            832.21,           1058.50,            749.59,            487.15,            396.25,            383.18,            232.64,            186.21,            171.37,             99.87,,,,,,,,,,,,
Vietnam,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         109850.67,          84197.79,          75586.14,          65516.14,          58532.57,          50037.69,          49441.12,          43647.57,          36886.48,          29034.97,          24866.39,          20203.64,          16673.28,          15973.55,          12709.95,           7391.30,           5899.67,           4595.11,           3138.55,           2158.84,           1606.22,           1401.14,,,,,,,,,,,,
Vietnam,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           2704.00,           2386.09,           4351.58,           3802.21,           3688.93,           2722.59,           1884.74,           1420.86,           1328.33,           1041.80,           1272.48,,,,,,,,,,,,
Vietnam,World,Raw materials,Import,Import(US$ Mil),          39037.56,          27053.39,          26300.31,          24268.46,          19006.94,          14536.29,          12611.57,          11864.61,          10507.49,           9107.75,           8559.59,           6083.62,           4232.03,           4487.95,           3037.07,           2238.79,           1776.77,           1484.54,           1067.24,            932.94,            683.74,            642.39,,,,,,,,,,,,
Vietnam,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          20117.89,          19269.48,          20426.60,          18833.67,          16792.13,          14671.49,          14100.34,          14674.92,          13544.24,          13064.52,          11091.71,           7727.66,           6335.60,           8467.75,           6089.98,           5240.09,           4340.27,           3542.13,           2908.60,           2436.96,           2509.80,           2575.20,,,,,,,,,,,,
Vietnam,World,Hides and Skins,Export,Export(US$ Mil),           3067.95,           3144.94,           3986.02,           3701.84,           3671.58,           3536.56,           3286.46,           2730.57,           2064.02,           1639.70,           1406.34,           1104.44,            825.89,            879.12,            659.55,            453.37,            420.24,            338.34,            292.18,            228.49,            222.56,            195.90,,,,,,,,,,,,
Vietnam,...,...,Development,Trade Balance (current US$ Mil),,           7925.29,           8357.53,           8231.69,           6270.96,           5258.35,           1528.70,           6098.21,           3695.05,           5458.85,          -5601.58,          -9521.08,         -10059.25,         -13525.43,         -10504.85,          -1911.50,          -1911.04,          -6157.48,          -4343.43,          -2531.14,           -598.82,          -1114.14,           -818.89,          -1987.56,          -2184.83,          -2704.62,          -1886.07,          -1538.57,          -1155.53,           -403.13,           -491.90,           -597.89,           -642.28,          -2811.85
Vietnam,...,...,Tariff,No. Of Tariff Agreement,             20.00,             18.00,             18.00,             12.00,             12.00,             10.00,             10.00,             10.00,              8.00,              5.00,,              7.00,              2.00,              2.00,              4.00,              6.00,              6.00,              2.00,              2.00,              2.00,              1.00,,,,,,,,,,,,,
Vietnam,"Other Asia, nes",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          20758.40,          16704.27,          15180.87,          13230.91,          12709.68,          11241.78,          10943.32,          11063.58,           9402.00,           8534.20,           8556.78,           6976.93,           6252.56,           8362.64,           6946.72,           4824.89,           4304.23,           3698.30,           2915.52,           2525.28,           2008.68,           1879.69,,,,,,,,,,,,
Vietnam,World,Wood,Export,Export(US$ Mil),           6893.57,           5397.20,           5073.65,           4522.60,           3576.77,           3149.91,           3270.83,           2937.97,           2816.27,           2181.73,           1870.77,           1411.24,            938.47,           1036.98,            899.61,            681.94,            540.44,            458.24,            351.50,            337.14,            296.02,            262.69,,,,,,,,,,,,
Vietnam,World,Mach and Elec,Export,Export(US$ Mil),         155409.24,         129451.85,         110195.18,          98260.97,          86488.17,          66845.45,          57413.13,          45399.63,          40517.16,          28274.22,          17020.74,          10221.16,           6569.68,           6331.33,           4882.89,           3714.86,           2736.46,           2181.73,           1564.31,           1131.38,           1232.23,           1151.17,,,,,,,,,,,,
Vietnam,...,...,Development,GDP (current US$ Mil),,         271158.44,         261921.24,         245213.69,         223779.87,         205276.17,         193241.11,         186204.65,         171222.03,         155820.00,         135539.44,         115931.75,         106014.66,          99130.30,          77414.43,          66371.66,          57633.26,          45427.85,          39552.51,          35064.11,          32685.20,          31172.52,          28683.66,          27209.60,          26843.70,          24657.47,          20736.16,          16286.43,          13180.95,           9866.99,           9613.37,           6471.74,           6293.30,          25423.81
Vietnam,World,Metals,Export,Export(US$ Mil),          21629.78,          12533.75,          11414.67,          11053.54,           8328.70,           6274.85,           5713.53,           5748.57,           4781.53,           4255.62,           3899.62,           2791.48,           1441.95,           3029.39,           1293.80,            889.53,            678.78,            492.70,            328.97,            244.40,            181.87,            126.93,,,,,,,,,,,,
Vietnam,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      206095852.06,      203694461.31,      190711168.68,       63197387.35,      110679279.58,      101509507.31,       83528587.08,       64787414.25,       56946448.13,       58838088.86,,       35606585.39,       26362249.37,       29169743.67,       21888405.37,       13674798.99,       11170799.55,       10150318.15,       10297634.08,        6052613.85,        4858933.37,,,,,,,,,,,,,
Vietnam,World,Stone and Glass,Export,Export(US$ Mil),           3567.43,           4821.62,           4126.36,           2674.76,           2576.37,           2653.29,           2421.62,           2308.54,           1889.84,           1768.06,           3596.21,           3666.31,           3410.54,           1500.54,            867.26,            620.60,            475.79,            416.88,            305.77,            268.47,            230.12,            214.25,,,,,,,,,,,,
Vietnam,World,Intermediate goods,Import,Import(US$ Mil),          93454.51,          71588.78,          76102.90,          75835.48,          67023.05,          57961.30,          56750.45,          54772.14,          48538.65,          42185.11,          43821.24,          36672.79,          28572.55,          33917.32,          27193.03,          20558.54,          16787.34,          14574.05,          10786.22,           8444.91,           6562.61,           5894.38,,,,,,,,,,,,
Vietnam,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          96327.54,          77072.44,          61403.97,          47580.11,          41549.71,          38473.18,          33475.03,          28649.81,          23869.95,          19680.93,          16970.42,          14250.85,          11415.62,          11902.83,          10111.43,           7850.42,           5927.44,           5026.61,           3939.56,           2453.23,           1065.69,,,,,,,,,,,,,
Vietnam,Malaysia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,           4984.47,           4500.28,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          15179.12,          13763.93,          14376.81,          12755.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,World,All Products,Import,Imports (in US$ Mil),         330752.26,         261309.45,         253442.02,         236868.82,         213215.30,         174978.35,         165775.86,         147839.05,         132032.53,         113780.43,         106749.85,          84838.55,          69948.81,          80713.83,          62764.69,          44891.12,          36761.12,          31968.82,          25255.78,          19745.55,          16217.93,          15636.53,,,,,,,,,,,,
Vietnam,World,Capital goods,Import,Import(US$ Mil),         147564.19,         121769.93,         107742.29,          96088.89,          93371.63,          73842.57,          69264.07,          54063.60,          48403.12,          38107.72,          30103.33,          23846.64,          21154.62,          21774.82,          17349.52,          10449.99,           8432.65,           7951.09,           6986.52,           5242.97,           4509.80,           4458.21,,,,,,,,,,,,
Vietnam,World,All Products,Export,Exports (in US$ Mil),         335792.60,         281441.46,         264610.32,         243698.70,         215118.61,         176580.79,         162016.74,         150217.14,         132032.85,         114529.17,          96905.67,          72236.66,          57096.27,          62685.13,          48561.34,          39826.22,          32447.13,          26485.03,          20149.32,          16706.05,          15029.19,          14482.74,,,,,,,,,,,,
Vietnam,...,...,Import,No. Of Import partners,             97.00,             97.00,             97.00,             97.00,            141.00,            143.00,            138.00,            144.00,            139.00,            140.00,            130.00,            140.00,            129.00,            141.00,            131.00,            173.00,            155.00,            155.00,            186.00,            176.00,            164.00,            145.00,,,,,,,,,,,,
Vietnam,World,Fuels,Export,Export(US$ Mil),           3292.66,           2672.02,           3648.47,           3938.32,           4847.08,           3579.06,           4996.62,           9238.54,           9685.33,          11353.45,          11007.88,           7979.70,           8507.05,          12645.45,          10061.00,           9709.41,           8358.05,           6233.32,           4151.18,           3547.74,           3442.39,           3824.76,,,,,,,,,,,,
Vietnam,World,Chemicals,Export,Export(US$ Mil),           6004.69,           4465.76,           4239.67,           3982.16,           3225.38,           2669.80,           2592.48,           2752.18,           2327.24,           2210.81,           1845.74,           1234.40,            840.35,            979.80,            558.09,            443.57,            340.76,            289.68,            230.49,            210.56,            171.95,            111.85,,,,,,,,,,,,
