Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Vanuatu,World,Consumer goods,Export,Export(US$ Mil),,,,,,,,,,,              4.47,              4.33,              3.84,,              1.07,              1.55,,,,,,,,,,,,              0.76,,,,,,
Vanuatu,World,Minerals,Export,Export(US$ Mil),,,,,,,,,,,              0.00,              0.01,              0.01,,              0.00,              0.16,,,,,,              0.01,,,,,,              0.00,,,,,,
Vanuatu,World,Raw materials,Export,Export(US$ Mil),,,,,,,,,,,             34.88,             25.83,             23.92,,             13.66,             17.64,,,,,,,,,,,,             16.40,,,,,,
Vanuatu,World,Capital goods,Export,Export(US$ Mil),,,,,,,,,,,              1.08,              2.02,              3.56,,              1.15,              0.61,,,,,,,,,,,,              0.11,,,,,,
Vanuatu,World,Plastic or Rubber,Export,Export(US$ Mil),,,,,,,,,,,              0.04,              0.01,              0.01,,              0.03,              0.00,,,,,,              0.00,,,,,,              0.00,,,,,,
Vanuatu,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,              4.45,,,,,,              7.93,              5.95,,,,,
Vanuatu,World,Vegetable,Export,Export(US$ Mil),,,,,,,,,,,             37.16,             22.59,             15.43,,             14.39,             11.56,,,,,,             12.56,,,,,,              9.32,,,,,,
Vanuatu,World,Footwear,Export,Export(US$ Mil),,,,,,,,,,,              0.00,              0.00,              0.01,,              0.00,              0.02,,,,,,              0.02,,,,,,,,,,,,
Vanuatu,World,Miscellaneous,Export,Export(US$ Mil),,,,,,,,,,,              1.67,              2.27,              4.01,,              8.80,             14.79,,,,,,              2.16,,,,,,              1.55,              1.36,,,,,
Vanuatu,Philippines,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             11.46,              5.92,              4.55,,              4.16,,,,,,,,,,,,,,,,,,,
Vanuatu,Uganda,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0.02,,,,,
Vanuatu,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,              1.37,,,,,,,,,,,,
Vanuatu,...,...,Import,No. Of Import products,,,,,,,,,,,           2984.00,           3042.00,           3127.00,,           3096.00,           3112.00,,,,,,              1.00,,,,,,              1.00,,,,,,
Vanuatu,...,...,Export,No. Of Export products,,,,,,,,,,,            390.00,            426.00,            420.00,,            281.00,            343.00,,,,,,              1.00,,,,,,             86.00,,,,,,
Vanuatu,...,...,Export,No. Of Export partners,,,,,,,,,,,             52.00,             56.00,             59.00,,             36.00,             44.00,,,,,,             44.00,,,,,,             32.00,             29.00,,,,,
Vanuatu,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             22.41,             21.84,             25.23,,             18.36,             14.21,,,,,,              7.92,,,,,,,,,,,,
Vanuatu,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,              5.88,              4.56,,,,,
Vanuatu,World,Intermediate goods,Export,Export(US$ Mil),,,,,,,,,,,             21.84,             12.50,              5.25,,              5.74,              3.37,,,,,,,,,,,,              2.54,,,,,,
Vanuatu,New Caledonia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,              5.01,,,,,,              5.07,              4.77,,,,,
Vanuatu,World,Textiles and Clothing,Export,Export(US$ Mil),,,,,,,,,,,              0.01,              0.02,              0.10,,              0.11,              0.06,,,,,,              0.02,,,,,,              0.01,,,,,,
Vanuatu,World,Food Products,Export,Export(US$ Mil),,,,,,,,,,,              6.13,              6.38,              5.19,,              2.24,              2.57,,,,,,              1.11,,,,,,              2.03,,,,,,
Vanuatu,World,Consumer goods,Import,Import(US$ Mil),,,,,,,,,,,            184.41,            171.00,            159.84,,            118.19,             94.06,,,,,,,,,,,,,,,,,,
Vanuatu,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              7.25,              3.17,              2.59,,,,,,,,,,,,,,,,              0.13,,,,,
Vanuatu,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,              7.98,             13.31,,,,,,,,,,,,,,,,,,
Vanuatu,Singapore,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             51.06,             35.21,             27.78,,             25.07,              8.63,,,,,,,,,,,,,,,,,,
Vanuatu,World,Transportation,Export,Export(US$ Mil),,,,,,,,,,,              0.22,              0.12,              0.58,,              0.22,              0.19,,,,,,              0.28,,,,,,              0.00,,,,,,
Vanuatu,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             19.43,             27.27,             27.85,,             13.35,              8.28,,,,,,,,,,,,,,,,,,
Vanuatu,Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              7.18,              5.63,,,,              2.85,,,,,,              1.41,,,,,,              1.58,              0.60,,,,,
Vanuatu,Indonesia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              7.44,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,World,Raw materials,Import,Import(US$ Mil),,,,,,,,,,,             11.54,             10.36,              7.36,,              6.51,              4.75,,,,,,,,,,,,,,,,,,
Vanuatu,New Caledonia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,              3.81,              4.03,,              2.92,              2.66,,,,,,,,,,,,,,,,,,
