Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Samoa,World,Consumer goods,Export,Export(US$ Mil),             16.72,,             23.09,             23.31,             22.14,             31.35,             38.56,             25.39,             52.49,             59.45,             49.82,             60.13,             33.90,             62.98,             82.74,             53.51,             73.10,             67.65,             71.62,             47.57,             44.23,,,,,,,,,,,,,
Samoa,World,Minerals,Export,Export(US$ Mil),              0.08,,              0.12,              0.11,              0.12,              0.10,              0.00,              0.01,              0.16,              0.00,              0.02,,              0.01,              0.03,              0.09,              0.11,              0.02,              0.11,              0.02,              0.03,              0.05,,,,,,,,,,,,,
Samoa,World,Raw materials,Export,Export(US$ Mil),              7.49,,             19.63,             19.65,             19.42,             20.59,             17.86,              4.81,              6.71,              9.03,              9.40,              7.60,              7.21,              6.33,              9.76,              9.14,             10.79,             12.41,              8.89,             14.50,             16.16,,,,,,,,,,,,,
Samoa,World,Capital goods,Export,Export(US$ Mil),              3.01,,              0.71,              0.65,              0.25,              2.55,              0.71,              1.62,              0.79,              1.50,              1.93,              0.53,              0.35,              0.82,              0.40,              0.88,              0.83,              0.73,              1.35,              3.87,              0.72,,,,,,,,,,,,,
Samoa,World,Plastic or Rubber,Export,Export(US$ Mil),              0.13,,              0.38,              1.42,              0.47,              0.11,              0.21,              0.07,              0.19,              0.08,              0.16,              0.02,              0.05,              0.00,              0.04,              0.04,              0.11,              0.05,              0.03,              0.01,              0.04,,,,,,,,,,,,,
Samoa,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,             32.61,             26.00,,,,             26.58,             16.60,             13.49,              7.78,              7.55,             15.64,,,,,,,,,,,,,
Samoa,World,Vegetable,Export,Export(US$ Mil),              6.12,,              6.12,              4.79,              6.11,              4.12,              5.01,              3.63,              2.29,              4.95,              4.74,              3.36,              2.04,              1.81,              1.92,              2.07,              2.78,              3.15,              3.57,              2.69,              2.34,,,,,,,,,,,,,
Samoa,World,Footwear,Export,Export(US$ Mil),              0.08,,              0.08,              0.18,              0.14,              0.11,              0.11,              0.19,              0.21,              0.20,              0.19,              0.11,              0.03,              0.03,              0.00,              0.00,              0.01,              0.04,              0.00,              0.01,              0.01,,,,,,,,,,,,,
Samoa,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,              2.95,              2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,World,Miscellaneous,Export,Export(US$ Mil),              0.23,,              0.25,              0.46,              0.54,              0.31,              0.28,             17.55,              1.25,              2.03,              1.41,              0.09,              3.86,              1.38,              0.16,              0.08,              0.15,              3.56,              4.33,              2.94,              0.23,,,,,,,,,,,,,
Samoa,...,...,Import,No. Of Import products,           2564.00,,           2772.00,           2817.00,           2791.00,           2795.00,           2869.00,           2877.00,           2686.00,           2620.00,           2584.00,           2530.00,           2075.00,           1516.00,           1540.00,           1564.00,           1580.00,           1614.00,           1616.00,           1665.00,           2131.00,,,,,,,,,,,,,
Samoa,...,...,Export,No. Of Export products,            695.00,,            727.00,            755.00,            682.00,            659.00,            657.00,            460.00,            679.00,            446.00,            422.00,            463.00,            364.00,            362.00,            479.00,            502.00,            513.00,            499.00,            515.00,            578.00,            829.00,,,,,,,,,,,,,
Samoa,American Samoa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              6.08,,             15.31,             12.29,             11.82,             14.45,             10.81,              3.20,              5.55,              4.58,              3.46,              3.14,              2.90,              2.62,              4.53,              9.55,             11.71,             10.43,              8.29,             13.14,,,,,,,,,,,,,,
Samoa,Tonga,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,              1.87,,,,,,,,,,              0.36,,,,,,,,,,,,,
Samoa,...,...,Export,No. Of Export partners,             34.00,,             50.00,             54.00,             46.00,             43.00,             34.00,             33.00,             37.00,             37.00,             30.00,             30.00,             36.00,             29.00,             29.00,             27.00,             36.00,             33.00,             35.00,             35.00,             35.00,,,,,,,,,,,,,
Samoa,Fiji,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,             15.62,,             24.41,,             17.72,             13.69,             11.84,             19.05,             11.31,,,,,,,,,,,,,
Samoa,World,Intermediate goods,Export,Export(US$ Mil),              1.61,,              4.59,              2.18,              2.13,              1.50,              1.76,              1.96,              1.14,              4.11,              3.99,              1.98,              0.68,              0.67,              3.19,              0.60,              1.21,              1.00,              1.11,              2.65,              1.56,,,,,,,,,,,,,
Samoa,World,Textiles and Clothing,Export,Export(US$ Mil),              0.22,,              0.26,              0.20,              0.15,              0.07,              0.05,              0.10,              0.28,              0.15,              0.22,              0.26,              0.17,              0.09,              0.40,              0.44,              0.72,              0.90,              5.10,              0.50,              1.45,,,,,,,,,,,,,
Samoa,World,Food Products,Export,Export(US$ Mil),              8.79,,              8.04,              8.75,              5.31,              5.69,              7.06,              5.38,              8.02,              5.32,              4.45,              2.76,              1.49,              2.92,              4.04,              4.05,              6.82,              5.24,              4.22,              2.37,              2.23,,,,,,,,,,,,,
Samoa,World,Consumer goods,Import,Import(US$ Mil),            199.27,,            212.79,            206.25,            193.28,            181.52,            203.07,            229.54,            205.89,            193.12,            179.37,            156.18,            114.74,            153.84,            123.58,            116.66,            104.88,             94.63,             65.39,             55.69,             65.69,,,,,,,,,,,,,
Samoa,New Zealand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              6.71,,              7.86,              8.16,              8.74,              6.70,              8.81,              9.74,              5.50,              7.35,             10.30,              6.50,              8.41,              7.33,              8.73,              2.69,              1.72,              2.30,,              3.52,              1.82,,,,,,,,,,,,,
Samoa,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,             14.88,             17.63,             11.87,             10.74,,,,,,,,,,,,,,,,,,,,,,
