Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,World,Consumer goods,Export,Export(US$ Mil),        7624588.14,        6100076.09,        6612512.88,        6636951.27,        6175219.66,        5652822.46,        5852849.17,        6751570.23,        6621867.72,        6337004.18,        6142981.19,        5119440.67,        4397297.91,        5557332.69,        4812976.32,        4121531.67,        3610505.16,        3177172.72,        2684106.56,        2294083.03,        2126794.19,        2108495.57,        1630166.94,        1592525.17,        1590366.67,        1473367.87,        1382796.61,        1146523.08,         842779.56,         711461.64,         512796.02,         409443.07,         351264.67,         239574.78
 World,World,Minerals,Export,Export(US$ Mil),         447596.18,         304353.39,         286309.04,         266774.57,         247045.41,         196450.60,         199900.43,         264935.12,         287330.48,         270618.43,         299828.38,         228467.95,         147912.90,         190123.85,         155771.27,         127591.83,          99436.97,          71176.46,          51179.07,          44429.31,          42531.58,          43761.19,          37550.89,          40211.34,          42104.29,          40254.98,          37704.20,          28151.34,          23604.07,          24946.97,          20528.46,          17884.13,          15412.54,           5489.40
 World,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1538830.20,        1291639.48,        1367050.12,        1442346.35,        1342854.80,        1238742.73,        1243069.59,        1396577.18,        1355357.81,        1311009.47,        1377089.63,        1173763.63,        1048698.37,        1376579.92,        1251553.86,        1043912.73,         927069.99,         862460.58,         714276.59,         589437.35,         542688.73,         528871.32,         507796.89,         503666.86,         478380.67,         477685.65,         467903.67,         348752.50,         209670.23,         190486.41,         121689.86,          94023.24,          74625.43,          41497.30
 World,World,Raw materials,Export,Export(US$ Mil),        2620159.73,        1865214.01,        2135704.60,        2194504.51,        1905387.89,        1753260.49,        1832641.58,        2652872.96,        2915190.10,        2830164.61,        2874994.77,        2173814.00,        1599560.45,        2316270.79,        1754018.27,        1508575.32,        1238135.49,         978969.48,         808355.79,         678671.67,         641868.20,         672350.58,         479559.54,         440896.63,         486964.76,         514583.52,         442711.85,         366442.55,         295969.91,         277003.76,         222513.38,         130918.93,         107456.10,          35998.60
 World,World,Capital goods,Export,Export(US$ Mil),        7781662.37,        6500582.04,        6795763.28,        6941612.92,        6403889.78,        5830535.99,        5909941.64,        6310477.30,        6165958.93,        6006415.97,        5927408.15,        5201518.68,        4347663.78,        5492735.84,        5039093.83,        4345675.87,        3768913.51,        3461595.25,        2843453.88,        2504518.59,        2426381.99,        2574841.18,        1989558.73,        1885010.74,        1839037.07,        1672499.98,        1581359.51,        1280038.07,         951551.10,         821502.73,         679259.49,         460570.28,         406410.12,         299762.15
 World,World,Plastic or Rubber,Export,Export(US$ Mil),        1123952.04,         864963.46,         878828.40,         921922.42,         852812.64,         767235.54,         778669.61,         876849.42,         871142.24,         849346.12,         863073.77,         709825.38,         568132.91,         689514.55,         643393.97,         553158.38,         481675.38,         420288.82,         340918.93,         286790.25,         267110.47,         274300.85,         226631.94,         223497.15,         221938.35,         207676.47,         206879.49,         151744.04,         106421.88,          95392.16,          72334.12,          53376.44,          47355.10,          32144.08
 World,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,         220893.50,,,         124421.92,,,,
 World,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         850187.99,         721069.68,         795029.19,         831891.68,         787221.81,         728482.30,         714588.50,         781230.17,         806986.72,         883364.66,         897524.45,         829607.54,         647371.99,         858122.95,         787596.89,         716597.29,         664493.65,         626411.11,         523318.16,         461915.80,         446906.02,         513854.40,         441234.59,         409281.33,         440917.75,         406740.68,         424117.07,         375225.19,         321435.00,         260250.70,         223807.53,         110588.18,          95278.99,          52129.43
 World,World,Vegetable,Export,Export(US$ Mil),         836788.24,         693051.62,         635288.96,         641722.08,         632506.70,         585674.70,         578164.95,         630329.35,         623691.91,         602297.99,         593133.48,         468832.21,         410210.75,         484295.09,         367154.55,         285898.11,         255773.89,         241856.36,         216427.76,         181998.19,         166468.12,         163775.81,         159851.10,         170353.11,         174580.01,         171833.53,         161604.74,         131820.14,          95431.92,          92307.92,          66751.38,          40943.67,          37146.85,           9656.27
 World,World,Footwear,Export,Export(US$ Mil),         193919.05,         158182.22,         178520.16,         172776.84,         163457.01,         152798.66,         159429.91,         168211.60,         154706.25,         141507.48,         137336.26,         114914.21,         101117.48,         113689.74,         102141.31,          90605.53,          81307.95,          75132.13,          67470.01,          61146.93,          59461.48,          58654.81,          50209.48,          51046.88,          54551.38,          52652.82,          49820.12,          45070.33,          31882.48,          21794.34,          14702.99,          13427.14,          10980.56,           6834.14
