Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
South Africa,World,Consumer goods,Export,Export(US$ Mil),          18567.71,          15743.90,          20068.60,          20111.88,          18757.44,          17162.06,          18625.76,          18909.79,          18116.38,          18875.87,          19050.61,          17339.73,           9422.87,          11754.48,           8888.23,           8384.07,           8766.51,           7721.25,           7030.90,           5434.82,           5346.54,           5225.71,           3686.94,           2959.58,           2889.39,           2626.75,           2555.43,           2025.28,           1786.50,           1744.99,,,,
South Africa,World,Minerals,Export,Export(US$ Mil),          18622.02,          13213.75,          13592.80,          12215.39,          11728.11,           8069.94,           8814.21,          12354.43,          14159.41,          13375.05,          14912.55,          10319.58,           6144.54,           7627.06,           4686.29,           3479.22,           2534.84,           1650.55,           1369.32,           1220.51,           1203.92,           1236.36,           1252.05,           1191.14,           1055.47,           1101.55,           1176.09,            804.60,            927.33,           1017.38,,,,
South Africa,Botswana,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           3732.80,,           4763.65,           4601.73,           5047.38,,           4175.00,,,,,,,,,,,,,,,,,,,,,,
South Africa,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           7544.99,           6293.69,           8692.06,           9131.22,           9573.00,           8873.69,           9623.27,          10014.23,          10691.60,          10237.64,          10684.78,           9175.30,           7438.29,           9914.01,           9316.86,           8584.46,           7716.12,           6751.10,           5109.39,           4077.63,           3768.23,           3523.81,           3533.38,           3589.46,           3780.88,           4041.71,           4411.44,           3626.80,           2837.91,           3005.85,,,,
South Africa,World,Raw materials,Export,Export(US$ Mil),          35947.41,          24998.26,          25779.37,          26934.63,          26631.61,          19587.42,          20050.48,          25655.81,          28192.33,          27968.26,          30643.70,          22835.41,          15880.76,          19551.43,          15959.81,          12161.80,          10912.03,           8530.47,           6957.39,           6059.79,           5973.11,           5689.83,           5840.66,           5631.65,           7828.73,           7172.57,           6693.27,           6288.35,           6475.95,           3776.73,,,,
South Africa,World,Capital goods,Export,Export(US$ Mil),          14259.82,          10812.46,          12633.81,          12880.87,          11954.08,          11718.17,          12499.24,          14219.17,          14359.78,          15404.28,          14539.11,          12115.31,           7770.11,          11633.64,          10602.22,           8495.99,           6688.95,           5485.42,           4405.95,           3562.99,           3617.32,           3379.67,           3112.84,           2990.13,           3051.40,           2563.44,           2271.67,           1789.22,           1499.24,           1399.44,,,,
South Africa,World,Plastic or Rubber,Export,Export(US$ Mil),           1997.14,           1615.10,           1874.13,           1908.76,           1785.76,           1636.23,           1717.94,           2161.39,           2104.58,           2291.26,           2117.74,           1754.22,           1049.77,           1281.81,            974.74,            918.68,            933.64,            823.11,            673.16,            542.48,            504.07,            486.41,            483.90,            555.41,            425.37,            375.54,            384.50,            253.14,            225.90,            261.22,,,,
South Africa,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,           3863.49,,,           3256.72,           2989.61,           2372.86,           2143.90,           2250.96,           2286.71,           2427.65,           2841.47,           3094.58,           2934.59,           2455.25,           1977.42,           1875.20,,,,
South Africa,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,           3137.24,,,           4609.01,           4736.17,           4254.54,           3093.70,           4882.61,           5249.38,           4458.14,           3715.89,           3257.01,           2424.93,           1819.22,           1721.71,           2131.23,           1873.27,           1954.23,           2079.25,           2098.30,           2718.98,           2217.71,           2279.05,           1948.22,,,,
South Africa,World,Vegetable,Export,Export(US$ Mil),           6902.89,           5875.08,           5063.39,           5450.12,           5171.64,           4491.90,           4374.12,           4765.91,           4732.51,           4530.48,           4599.27,           3821.26,           2703.25,           3105.16,           2043.05,           1579.36,           1902.79,           1575.98,           1343.99,           1029.73,            898.60,            889.68,           1084.52,           1065.81,           1142.32,           1268.83,           1027.23,           1234.59,            798.61,            857.33,,,,
