Reporter,Partner,Product categories,Indicator Type,Indicator,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zambia,World,Consumer goods,Export,Export(US$ Mil),            614.80,            413.86,            432.59,            803.09,            562.52,            437.27,            435.68,            482.98,            860.81,            869.39,            462.09,            370.84,            248.90,            468.34,            494.91,            280.17,            308.10,            361.16,            122.48,            128.83,            109.77,            113.01,             93.57,             66.57,             34.21,             28.70,             25.85,,,,,,,
Zambia,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            297.74,,            231.25,           1391.93,           1015.42,            729.93,            448.56,           1855.27,           1848.00,           1265.35,           1340.47,           1268.55,            494.76,            534.73,            163.86,,,,,,,,,,,,,,,,,,,
Zambia,World,Minerals,Export,Export(US$ Mil),            408.14,            505.20,            268.81,            226.69,            195.46,            199.81,            146.28,            192.18,            368.40,            192.42,            293.64,            447.41,            228.72,            619.10,            331.32,            520.98,            161.95,             64.66,             25.75,             17.64,             12.52,             31.18,            115.90,             51.78,             29.65,              9.04,              7.16,,,,,,,
Zambia,World,Raw materials,Export,Export(US$ Mil),            557.68,            588.42,            346.91,            373.92,            434.11,            515.47,            543.17,            564.28,            772.62,           1225.35,            682.84,            622.37,            397.41,            798.84,            568.41,            712.40,            365.06,            391.45,            221.90,            188.09,            185.04,            185.29,            321.58,            161.10,            225.50,             87.53,             32.11,,,,,,,
Zambia,World,Capital goods,Export,Export(US$ Mil),            138.04,            140.68,            192.49,            183.02,            139.40,            395.16,            165.13,            252.68,            393.53,            208.95,            105.51,             94.69,            105.06,             85.30,             82.08,             81.14,             14.14,             13.08,             11.10,             26.08,             19.79,             12.61,             71.60,             25.70,              7.90,              9.03,             10.52,,,,,,,
Zambia,World,Plastic or Rubber,Export,Export(US$ Mil),             30.65,             24.78,             31.81,             26.85,             24.51,             18.81,             19.99,             24.35,             34.69,             30.13,              8.93,             21.28,             22.21,             15.83,              7.63,             12.80,              8.51,              3.94,              4.46,              5.51,              3.09,              2.22,              0.80,              6.10,              4.29,              2.19,              1.84,,,,,,,
Zambia,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,            134.84,,,            114.34,            312.69,            326.19,             97.95,             97.52,            107.77,             78.55,            125.39,            100.58,,             79.97,             71.01,,,,,,,
Zambia,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            774.00,            712.98,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             35.66,             27.39,             22.04,             31.73,             37.70,             37.08,,             45.15,,,,,,,
Zambia,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           2015.21,           1771.87,           2223.68,           2740.86,           2464.51,           2410.41,           2592.51,           3092.45,           3081.87,           2965.24,           2575.74,           1825.88,           1518.10,           2149.46,           1761.54,           1418.83,           1169.61,           1017.41,            782.48,            816.94,            612.04,            532.27,            352.24,            444.38,            399.72,            301.35,            253.81,,,,,,,
Zambia,World,Vegetable,Export,Export(US$ Mil),            161.81,            146.01,            101.44,            110.51,            220.22,            295.04,            325.07,            234.98,            389.22,            585.82,            329.88,            126.12,            116.54,            151.71,            178.57,            105.83,             93.97,            146.83,             55.38,             46.91,             60.18,             56.86,             36.80,             49.00,             37.51,             31.13,              9.22,,,,,,,
Zambia,World,Footwear,Export,Export(US$ Mil),              3.74,              1.46,              1.27,              1.82,              1.24,              4.54,              0.83,              1.27,              2.22,              2.47,              2.02,              1.69,              2.41,              2.49,              1.97,              2.51,              2.42,              6.73,              2.61,              3.56,              0.80,              1.08,              0.45,              4.08,              0.45,              0.38,              0.10,,,,,,,
Zambia,United Arab Emirates,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            363.90,            456.53,            744.67,            606.01,            476.31,,,,,,,,,,            248.11,            314.65,             96.43,            139.67,             67.53,,,,,,            175.71,,,,,,,,,
Zambia,World,Miscellaneous,Export,Export(US$ Mil),             10.70,             10.66,              7.75,             12.24,              8.05,              8.56,             21.30,             13.72,             67.07,             17.34,              9.31,             11.99,             10.44,              8.82,             24.37,              2.32,              1.84,              2.23,              1.08,              6.91,              3.11,              3.59,              6.47,             12.76,              2.35,              1.84,              0.83,,,,,,,
Zambia,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            355.69,            574.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Thailand,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,            273.84,            284.71,             98.94,,,,,,,,            102.09,            111.89,            128.86,,,,,,,
Zambia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1911.10,           1466.29,           1504.05,           1304.41,           1332.69,           1209.43,            951.88,           1789.81,           2257.46,           1809.05,           1517.87,           1451.17,            482.28,            278.95,,            273.44,            192.12,,,,,,,,,,,,,,,,,
Zambia,...,...,Import,No. Of Import products,           3843.00,           3897.00,           3919.00,           3938.00,           3899.00,           3929.00,           3941.00,           3989.00,           4039.00,           4044.00,           3996.00,           3960.00,           3887.00,           3920.00,           3969.00,           4038.00,           3995.00,           3947.00,           3909.00,           3924.00,           3992.00,           3868.00,           3900.00,           3957.00,           3914.00,           4109.00,           3894.00,,,,,,,
Zambia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,            103.10,             75.33,,,,,,,,
Zambia,Tanzania,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             20.77,,,,,,,,,,,
Zambia,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             32.82,,,,,,             86.80,,,,,,,
Zambia,...,...,Export,No. Of Export products,           1953.00,           1975.00,           1893.00,           1777.00,           1735.00,           1689.00,           1811.00,           1888.00,           1975.00,           2012.00,           1875.00,           2003.00,           2175.00,           2162.00,           2030.00,           1781.00,           1545.00,           1497.00,           1397.00,           1577.00,           1399.00,           1361.00,           1516.00,           1239.00,            789.00,            843.00,            757.00,,,,,,,
Zambia,Tanzania,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,            123.95,            123.32,             55.12,,,,,,,,,,,,,,
Zambia,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           4249.44,           3529.36,           2895.77,           3797.76,           3562.34,           2482.32,           2810.59,           4329.00,           3917.97,           3966.89,           4591.26,           3117.94,           1723.06,           2443.45,           1978.19,           1496.29,            755.67,            253.25,             77.36,             57.44,             59.70,            103.66,            136.43,,,,,,,,,,,
Zambia,...,...,Export,No. Of Export partners,            119.00,            118.00,            121.00,            115.00,            109.00,            110.00,            105.00,            109.00,            125.00,            129.00,            124.00,            129.00,            125.00,            119.00,            109.00,             94.00,             95.00,             89.00,             97.00,             96.00,            104.00,            105.00,            104.00,             89.00,             67.00,             68.00,             64.00,,,,,,,
Zambia,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             93.39,             71.83,,,,,,,,,,,,,,,,
Zambia,World,Intermediate goods,Export,Export(US$ Mil),           8786.27,           6773.86,           6062.81,           7657.46,           6885.51,           5020.92,           5414.34,           8380.25,           8535.40,           7310.48,           7525.66,           5417.48,           3102.04,           3522.30,           3544.38,           2731.47,           1518.54,            850.49,            663.81,            655.62,            699.81,            574.27,            566.37,            769.91,            853.89,            800.23,            986.39,,,,,,,
Zambia,Norway,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,            111.58,,,,,,,,,,,,,,,,,,
Zambia,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            402.96,            285.26,            347.77,            443.14,,,,            406.15,,            305.32,            249.19,            144.42,,            191.54,            165.50,,,,,             44.30,,,,,,,,,,,,,,
Zambia,World,Textiles and Clothing,Export,Export(US$ Mil),             33.14,             26.26,             59.71,             55.11,             41.09,             67.86,             65.04,             73.53,            115.31,            313.51,            120.94,             49.44,             47.54,             49.11,             68.19,             82.51,             84.85,            152.15,             56.70,             55.80,             44.34,             43.38,            115.20,             64.27,             64.06,             42.57,             36.51,,,,,,,
Zambia,World,Food Products,Export,Export(US$ Mil),            560.60,            435.94,            392.09,            435.66,            357.23,            290.94,            323.84,            489.18,            757.41,            494.79,            332.64,            312.87,            215.07,            155.03,            166.27,            146.10,            166.02,            116.10,             62.55,             59.64,             55.07,             43.25,             58.48,             38.11,             27.85,             32.85,             20.59,,,,,,,
Zambia,World,Consumer goods,Import,Import(US$ Mil),           2104.69,           1677.37,           2245.23,           2567.85,           2175.40,           2137.45,           2722.65,           2881.99,           2835.34,           2074.47,           1530.08,            981.48,            895.73,           1244.78,           1009.54,            850.77,            923.71,            802.05,            533.51,            612.23,            442.87,            433.03,            309.81,            290.06,            293.74,            215.28,            154.72,,,,,,,
Zambia,World,Transportation,Export,Export(US$ Mil),             32.29,             36.81,             37.83,             35.25,             22.44,             19.89,             39.46,             75.99,             98.20,             68.66,             64.97,             21.53,             34.04,             22.91,             26.94,              6.22,              2.81,              2.38,              3.60,              3.79,              6.80,              5.32,              9.22,             14.02,              5.26,              5.42,              5.53,,,,,,,
Zambia,Saudi Arabia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,             98.08,            128.38,            100.24,            114.25,,,,,,,
Zambia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            810.82,            869.60,           1018.86,           1302.03,           1123.42,            600.42,            657.05,            857.66,            957.56,            869.90,            723.41,            289.63,            180.16,            227.37,            241.53,,,,             44.77,,             36.19,,,,,,,,,,,,,
Zambia,United Arab Emirates,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,            542.20,,,            176.25,            141.04,,,,,,,,,,,,            162.44,,,,,,,,,
